fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,loglikelihood,mhl_norm,mhl_mean
1,1,0,1,6.347426909645689,51.1493844179084,6,0.6929757831121399,100.8453638477903,0.7088463764920425,5.340094805510946,7.533500886240184,0.8698773986978243,0.9999999999999928,1.0000001478193206,0.9999999999999988,0.10625,0.0775,1.3709677419354838,0.26125,0.065,4.019230769230769,0.4037499999999999,0.0475,8.499999999999998,2.9748778266742004e-05,3.629916814124265e-05,4.735555808988039e-05,0.0001669597706194,0.000431316978984,0.0005158661857359,0.0006639174447294,0.0021660144831364,-0.8845439898132921,-0.8845381955329249,-0.8845284153786991,-0.8844226170439785,-0.0618380922969579,-0.0618328616792529,-0.0618237025213343,-0.0617307756250861,0.5861644589418458,0.7737737737737733,4.391800892596086e-05,-2.5955955955955954,0.5125313283208021,0.9407930002263062,0.9347518824938252,0.988642560323099,0.1394057360471503,-0.1045265305385572,0.0014400257,0.0151258583,0.0065874535,2.0414190512,0.2221584979,0.0110632338,0.0002645325,426.781614819,6.9899256591,2.3123943296
1,1,1,1,5.810525373962579,39.26054013377056,8,0.8017264642353172,101.5044270305226,0.0245239052477255,4.208176533221694,171.59487816941288,0.868495145874477,0.9999999999999912,1.0000001238198006,0.9999999999999976,0.0787499999999999,0.0849999999999999,0.926470588235294,0.2525,0.0424999999999999,5.941176470588236,0.3924999999999999,0.0412499999999999,9.515151515151516,7.5689565045664334e-06,7.5689565045664334e-06,1.0628396079738417e-05,4.440713330131101e-05,0.0001155043728824,0.0001155043728824,0.0001607752827697,0.0006223451284103,-0.7713393289182315,-0.7713393289182315,-0.7713369690343008,-0.771310913968591,-0.0489695819912106,-0.0489695819912106,-0.0489673648375861,-0.048944759344152,0.5512303778022012,0.7077077077077075,1.0617591834829993e-05,-2.441441441441442,0.4611528822055137,0.9472349719424816,0.9404944071716544,0.9878967699332396,0.2232900263643391,-0.095060752816621,0.0002618952,0.009779684,0.0042966361,0.7850626438,-0.2297664347,0.0048800263,-0.0013327084,511.6917790139,9.1500375903,3.0683162907
1,1,2,1,5.804398504883646,42.31914550801175,7,0.6613736178251537,94.8995687041668,1.9769858459737195,4.6485974797817535,2.351355974170969,0.8311003774798897,0.999999999999989,1.0000002087708584,0.9999999999999962,0.09875,0.06,1.6458333333333337,0.2575,0.0424999999999999,6.058823529411765,0.3675,0.05,7.35,1.3801666738428918e-05,1.728748948642153e-05,2.4890104847859995e-05,0.0001320024487339,8.344755961147304e-05,0.0001026318708609,0.000145143383702,0.0006703925528882,-1.064961952056996,-1.0649582397371615,-1.064950143129319,-1.064836070984099,-0.1767174601184312,-0.1767140696327453,-0.1767065564792159,-0.1766137280338008,0.5579782583225901,0.6196196196196196,2.052637752709252e-05,-2.023023023023023,0.5037593984962406,0.961099000068278,0.9455553733269636,0.991597073322184,0.1185525717930321,-0.1126182614195123,0.0010099586,0.0104826435,0.00455997,1.5968656001,-0.0463203805,0.0052991329,-0.0005814675,455.6648809967,7.8465136675,2.5785294601
1,1,3,1,6.040946304922961,44.02971083350492,9,0.3638958645009919,92.84533243940209,1.530690850175885,4.043854445336015,2.6418492309347466,0.7433668065192952,0.9999999999999868,1.000000392255041,0.9999999999999968,0.11875,0.06875,1.727272727272727,0.2774999999999999,0.0649999999999999,4.269230769230769,0.3875,0.0425,9.117647058823527,1.597031343626148e-05,2.3200231727172063e-05,4.066776866137683e-05,0.0001788647096634,0.0001481125809384,0.0002180812272453,0.0003741950112836,0.0015263446442927,-0.7272972012425839,-0.7272919428592677,-0.7272792385656512,-0.7271787267120343,-0.0763745572780144,-0.0763692126620245,-0.0763572877746577,-0.0762692798214335,0.5825182128155922,0.7297297297297298,0.0001340068896363,-2.5295295295295293,0.5263157894736842,0.9624773788494972,0.9484503028238128,0.9889976478427444,0.1265680649120114,-0.1125739348120284,0.0006349157,0.0119344529,0.005248629,0.8761303214,0.0691744377,0.0062196037,0.0003618652,468.2053530668,9.0063575924,2.9758170082
1,1,4,1,7.743744397073541,81.25114735382911,7,0.4183475275881887,97.47147718654296,0.0073079606961235,4.060336920317329,555.604646652124,0.7099285517694999,0.9999999999999828,1.000000418007377,0.999999999999997,0.1012499999999999,0.0699999999999999,1.4464285714285714,0.265,0.0525,5.047619047619048,0.41375,0.03875,10.67741935483871,1.8323062052461067e-05,2.90658458970395e-05,4.537142604787251e-05,0.0001848915963539,0.0001657172068381,0.0002530602616646,0.0003996850746541,0.0015629057431379,-0.8200541724666072,-0.8200453626404686,-0.8200319909364208,-0.819917574742163,-0.0924899086371562,-0.0924818289470515,-0.0924682653837783,-0.0923606613785902,0.5572825642822672,0.6196196196196196,3.2397426295281954e-05,-2.551551551551552,0.4987468671679197,0.9677391182954392,0.9464767580162072,0.9923714575617528,0.1464967327031517,-0.1154523080093875,0.0008727065,0.0141319408,0.0062673766,1.4868859991,0.0051092779,0.0105815188,0.0001126154,448.0774674254,7.4061979746,2.4520853019
1,1,5,1,8.695678763561803,92.04321924634914,8,0.7058534795908853,102.3334519342197,0.4550443103047386,4.95995928221132,10.89994791691755,0.9004246014606933,0.9999999999999885,1.000000507852986,0.999999999999998,0.1012499999999999,0.07,1.4464285714285712,0.255,0.065,3.923076923076923,0.3662499999999999,0.0424999999999999,8.617647058823529,9.05294644939648e-06,1.5151358362099106e-05,2.0963298031378296e-05,8.810343706655033e-05,9.330467687280166e-05,0.0001507704008928,0.0002051288696835,0.0007789372867465,-0.648959357923401,-0.6489554002660933,-0.6489516285193118,-0.6489080569033412,-0.0642994582157526,-0.0642957628560378,-0.0642922673097943,-0.064255368296607,0.5923774674905212,0.6636636636636631,1.951148346846616e-05,-2.85985985985986,0.4962406015037593,0.9580081210573383,0.9521805694967842,0.9947491000031166,0.1537557276761497,-0.0828910948445213,0.0005140248,0.009383861,0.0040986526,1.9751829278,-0.2244355835,0.0098867659,-0.0007318272,486.9362938196,10.190852254,3.2526215921
1,1,6,1,6.336208104887274,47.72177741784137,8,0.6357768736361769,100.65257138138232,0.2986136482002002,5.274985423223866,17.664917377411182,0.7618686834138275,0.9999999999999856,1.0000004026924278,0.9999999999999968,0.09,0.075,1.2,0.26375,0.03125,8.440000000000001,0.4,0.04,10.0,8.107485179251715e-06,8.107485179251715e-06,1.1145678808475668e-05,5.758344145136548e-05,8.934175664839674e-05,8.934175664839674e-05,0.0001181880348947,0.0005101962773422,-0.7453147764054883,-0.7453147764054883,-0.745312511976524,-0.7452779009452346,-0.0671518467340729,-0.0671518467340729,-0.0671499094801395,-0.0671235830506748,0.5299917246303455,0.6636636636636631,1.4393226447194064e-05,-2.3533533533533526,0.4411027568922305,0.9651118308417626,0.9465471058278164,0.9885987261608228,0.2217216883995817,-0.1194692600335706,0.0002312208,0.0144807722,0.0063175837,2.278632403,0.6297433511,0.0167804659,0.0043716001,501.7024824615,7.5829827801,2.5993870358
1,1,7,1,4.9659158574607964,25.80355546183392,7,0.4387158537619928,95.84620974175296,0.1867384904484089,4.11887207437389,22.056899273863564,0.6918669445537534,0.9999999999999792,1.000000193893036,0.9999999999999964,0.13625,0.0875,1.5571428571428576,0.28375,0.0475,5.973684210526316,0.41375,0.04375,9.457142857142856,5.9839832635617125e-05,7.492524369845984e-05,0.0001129502636835,0.0002975420694246,0.0006738982575764,0.0008349508313088,0.0012356180408384,0.0032680271874294,-0.6879918305227498,-0.6879814512620852,-0.6879552887934223,-0.6878282835391178,-0.0609345083053273,-0.0609246880280679,-0.0609002571047044,-0.0607763297382454,0.5860895853270143,0.6636636636636631,8.490415204088756e-05,-2.4634634634634627,0.4974937343358396,0.9757969684005384,0.9568047300797304,0.9956443403135804,0.1320025750140679,-0.1210943308387595,0.0027366658,0.0126676739,0.0055298088,0.9772347438,-0.0079707955,0.0060971211,0.0004763537,408.0364712601,8.5322355721,2.9229337475
1,1,8,1,7.807889309411505,79.33908904471163,9,0.6808643987034935,88.90741953791478,0.3935984492290718,5.952794977473971,15.124030567532754,0.8559911220775033,0.9999999999999912,1.0000002695543693,0.9999999999999978,0.0962499999999999,0.07875,1.222222222222222,0.26375,0.04375,6.02857142857143,0.3737499999999999,0.04625,8.08108108108108,1.4270663341987446e-05,1.4270663341987446e-05,2.166775148243755e-05,8.283484451434157e-05,0.0001036822227427,0.0001036822227427,0.000156920168277,0.0005760433623997,-0.7727950932029468,-0.7727950932029468,-0.7727893766879493,-0.7727421063840102,-0.1043142406255703,-0.1043142406255703,-0.104308686573853,-0.104264961522619,0.5670243802828874,0.7737737737737733,1.762975375287204e-05,-2.3753753753753752,0.5037593984962406,0.9721087957284412,0.951751405618242,0.9910533249016968,0.1334186239386441,-0.1088350740429793,0.000561555,0.0107069716,0.0047003442,1.6071410304,0.1377825951,0.0076010609,0.000308778,477.6364795148,8.2891632513,2.8048434848
1,1,9,1,8.309061524724093,81.08283435198425,6,0.7349962846566064,101.1886308750585,1.8776249152289084,5.611343527473762,2.988532737269127,0.8910880696273141,0.9999999999999892,1.0000004071392472,0.999999999999998,0.1,0.08,1.25,0.25875,0.0325,7.961538461538461,0.355,0.04625,7.675675675675675,8.92588765170197e-06,8.92588765170197e-06,1.7392851641363356e-05,5.56981704759005e-05,5.483717651766829e-05,5.483717651766829e-05,0.0001056848510205,0.0003088179621307,-0.6741887354487273,-0.6741887354487273,-0.6741830270660296,-0.6741572018210504,-0.1078785549791533,-0.1078785549791533,-0.107873069304685,-0.1078511543964383,0.5832622346410876,0.641641641641642,1.6758078645307688e-05,-2.0450450450450446,0.4686716791979949,0.9493490230641386,0.9457126522741016,0.9929165483606538,0.213881919236176,-0.0970424169508214,0.0003002298,0.010273672,0.0045056846,0.7354902557,0.1596270205,0.0034502779,0.0011172331,504.5029083973,7.1114744608,2.2297650776
