fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,700,BFGS,550.1002969472818
1,1,1,700,BFGS,531.4709486093036
1,1,2,700,BFGS,384.0948456792153
1,1,3,700,BFGS,268.74789275582054
1,1,4,700,BFGS,258.2333878586017
1,1,5,700,BFGS,141.91781121468574
1,1,6,700,BFGS,465.27991445414204
1,1,7,700,BFGS,308.9399572826129
1,1,8,700,BFGS,403.6234934328539
1,1,9,700,BFGS,220.6601629615152
1,1,10,700,BFGS,266.7006040181277
1,1,11,700,BFGS,196.76623787373663
1,1,12,700,BFGS,346.544570822195
1,1,13,700,BFGS,387.0640439313554
1,1,14,700,BFGS,381.10625499471377
1,1,15,700,BFGS,502.78453708808763
1,1,16,700,BFGS,186.873091223142
1,1,17,700,BFGS,555.7213416867787
1,1,18,700,BFGS,484.48008804927434
1,1,19,700,BFGS,247.19303523868354
1,2,0,700,BFGS,942.5343330815299
1,2,1,700,BFGS,853.1392932217309
1,2,2,700,BFGS,1143.4267572339995
1,2,3,700,BFGS,557.3150261787657
1,2,4,700,BFGS,736.8880759084429
1,2,5,700,BFGS,830.6064712163015
1,2,6,700,BFGS,1028.8439525321337
1,2,7,700,BFGS,630.1833888690845
1,2,8,700,BFGS,1320.2608943785822
1,2,9,700,BFGS,924.2326994274374
1,2,10,700,BFGS,1128.318877868793
1,2,11,700,BFGS,1011.3124036624558
1,2,12,700,BFGS,1084.090353504295
1,2,13,700,BFGS,975.9910933996779
1,2,14,700,BFGS,830.1407235417319
1,2,15,700,BFGS,630.7222431128419
1,2,16,700,BFGS,583.2813385876918
1,2,17,700,BFGS,1176.6310073804639
1,2,18,700,BFGS,1064.3546963665954
1,2,19,700,BFGS,1329.31740312959
1,3,0,700,BFGS,763.4648895429472
1,3,1,700,BFGS,614.3631685546183
1,3,2,700,BFGS,550.7903066385071
1,3,3,700,BFGS,603.6600062031587
1,3,4,700,BFGS,542.9785097272345
1,3,5,700,BFGS,765.6475155617682
1,3,6,700,BFGS,405.4961303636336
1,3,7,700,BFGS,868.5965837211166
1,3,8,700,BFGS,804.3543507893737
1,3,9,700,BFGS,594.9651130002557
1,3,10,700,BFGS,511.50571156081514
1,3,11,700,BFGS,930.9289679770791
1,3,12,700,BFGS,621.8228311422828
1,3,13,700,BFGS,870.7990262697839
1,3,14,700,BFGS,843.3157251228599
1,3,15,700,BFGS,490.1724541956608
1,3,16,700,BFGS,637.3653094274122
1,3,17,700,BFGS,760.4992660499273
1,3,18,700,BFGS,1336.6988594812142
1,3,19,700,BFGS,488.91792038700106
1,4,0,700,BFGS,743.2091767965194
1,4,1,700,BFGS,841.5967912120245
1,4,2,700,BFGS,669.3521887338691
1,4,3,700,BFGS,1118.8186935779277
1,4,4,700,BFGS,588.2762240183316
1,4,5,700,BFGS,725.4553780946333
1,4,6,700,BFGS,645.8809022011384
1,4,7,700,BFGS,280.72319287990473
1,4,8,700,BFGS,982.7365488186424
1,4,9,700,BFGS,361.7259859744238
1,4,10,700,BFGS,533.4706137792731
1,4,11,700,BFGS,1142.1854001951676
1,4,12,700,BFGS,861.8338596170681
1,4,13,700,BFGS,741.7861885562291
1,4,14,700,BFGS,831.1295873148975
1,4,15,700,BFGS,1184.5654715894327
1,4,16,700,BFGS,802.6659239927094
1,4,17,700,BFGS,828.5296240061552
1,4,18,700,BFGS,817.9983303906461
1,4,19,700,BFGS,764.6718907358888
1,5,0,700,BFGS,1352.4082314291388
1,5,1,700,BFGS,341.18388895798853
1,5,2,700,BFGS,588.0597933153307
1,5,3,700,BFGS,771.0821486698558
1,5,4,700,BFGS,991.9527853920205
1,5,5,700,BFGS,605.175534445541
1,5,6,700,BFGS,628.3474532221989
1,5,7,700,BFGS,693.7944176006581
1,5,8,700,BFGS,977.509469607068
1,5,9,700,BFGS,605.4917036930696
1,5,10,700,BFGS,389.806482423985
1,5,11,700,BFGS,579.3766167380112
1,5,12,700,BFGS,457.489566344135
1,5,13,700,BFGS,972.5647093563647
1,5,14,700,BFGS,1014.9435263359763
1,5,15,700,BFGS,477.6245608601905
1,5,16,700,BFGS,294.1976000872719
1,5,17,700,BFGS,483.0950369154069
1,5,18,700,BFGS,486.6121886315989
1,5,19,700,BFGS,596.2403554021531
1,6,0,700,BFGS,582.2565850474236
1,6,1,700,BFGS,311.6180437496814
1,6,2,700,BFGS,907.1029911202786
1,6,3,700,BFGS,564.1706073185807
1,6,4,700,BFGS,681.7844514357585
1,6,5,700,BFGS,640.6579140688181
1,6,6,700,BFGS,440.07411144650405
1,6,7,700,BFGS,493.5151677066085
1,6,8,700,BFGS,872.4818957185341
1,6,9,700,BFGS,483.6414166638012
1,6,10,700,BFGS,355.41827191435704
1,6,11,700,BFGS,538.9121350693429
1,6,12,700,BFGS,703.6273509057421
1,6,13,700,BFGS,319.221945349988
1,6,14,700,BFGS,601.130268591444
1,6,15,700,BFGS,516.3888463264041
1,6,16,700,BFGS,418.30278324223667
1,6,17,700,BFGS,345.33115473856947
1,6,18,700,BFGS,374.01816527266027
1,6,19,700,BFGS,624.552568808112
1,7,0,700,BFGS,333.5529239431625
1,7,1,700,BFGS,415.1309698571614
1,7,2,700,BFGS,737.0394322093781
1,7,3,700,BFGS,672.1909611385669
1,7,4,700,BFGS,427.67912099178574
