fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,900,MLSL,550.1002969534829
1,1,1,900,MLSL,531.4709486055722
1,1,2,900,MLSL,384.09484565198886
1,1,3,900,MLSL,268.74789275846206
1,1,4,900,MLSL,258.23338781712073
1,1,5,900,MLSL,141.91781121597944
1,1,6,900,MLSL,465.2799144542228
1,1,7,900,MLSL,308.93995723877936
1,1,8,900,MLSL,403.62349343447465
1,1,9,900,MLSL,220.6601629590649
1,1,10,900,MLSL,266.7006040115882
1,1,11,900,MLSL,196.76623786250846
1,1,12,900,MLSL,346.5445708236575
1,1,13,900,MLSL,387.06404392184044
1,1,14,900,MLSL,381.10625512970967
1,1,15,900,MLSL,502.7845370422611
1,1,16,900,MLSL,186.8730912130523
1,1,17,900,MLSL,555.7213416806177
1,1,18,900,MLSL,484.4800879738476
1,1,19,900,MLSL,247.1930352268619
1,2,0,900,MLSL,942.5343330659974
1,2,1,900,MLSL,853.13929320152
1,2,2,900,MLSL,1143.4267572488734
1,2,3,900,MLSL,557.315026164634
1,2,4,900,MLSL,736.8880758982524
1,2,5,900,MLSL,830.6064712427017
1,2,6,900,MLSL,1028.8439525305807
1,2,7,900,MLSL,630.1833888341274
1,2,8,900,MLSL,1320.2608943453595
1,2,9,900,MLSL,924.2326994250345
1,2,10,900,MLSL,1128.3188778356339
1,2,11,900,MLSL,1011.3124036720345
1,2,12,900,MLSL,1084.090353462414
1,2,13,900,MLSL,975.9910933971764
1,2,14,900,MLSL,830.1407234912195
1,2,15,900,MLSL,630.7222430531926
1,2,16,900,MLSL,583.2813385576864
1,2,17,900,MLSL,1176.631007332811
1,2,18,900,MLSL,1064.3546963463439
1,2,19,900,MLSL,1329.3174031266558
1,3,0,900,MLSL,763.4648895448775
1,3,1,900,MLSL,614.3631685484066
1,3,2,900,MLSL,550.7903066329685
1,3,3,900,MLSL,603.6600062010606
1,3,4,900,MLSL,542.9785097275045
1,3,5,900,MLSL,765.6475155118832
1,3,6,900,MLSL,405.496130362843
1,3,7,900,MLSL,868.5965834871826
1,3,8,900,MLSL,804.3543507866716
1,3,9,900,MLSL,594.9651129998063
1,3,10,900,MLSL,511.5057115609851
1,3,11,900,MLSL,930.9289679392624
1,3,12,900,MLSL,621.8228311566259
1,3,13,900,MLSL,870.7990262482268
1,3,14,900,MLSL,843.3157250869556
1,3,15,900,MLSL,490.1724541832388
1,3,16,900,MLSL,637.3653094224377
1,3,17,900,MLSL,760.4992660469347
1,3,18,900,MLSL,1336.6988594284041
1,3,19,900,MLSL,488.91792038394124
1,4,0,900,MLSL,743.2091767849173
1,4,1,900,MLSL,841.5967912081269
1,4,2,900,MLSL,669.3521887153834
1,4,3,900,MLSL,1118.818693574433
1,4,4,900,MLSL,588.2762238628728
1,4,5,900,MLSL,725.4553780789065
1,4,6,900,MLSL,645.8809021868145
1,4,7,900,MLSL,280.7231928604597
1,4,8,900,MLSL,982.736548801689
1,4,9,900,MLSL,361.7259859671067
1,4,10,900,MLSL,533.4706137764027
1,4,11,900,MLSL,1142.185400176408
1,4,12,900,MLSL,861.8338594974873
1,4,13,900,MLSL,741.7861885543473
1,4,14,900,MLSL,831.1295873996736
1,4,15,900,MLSL,1184.565471483
1,4,16,900,MLSL,802.6659236931802
1,4,17,900,MLSL,828.5296240027794
1,4,18,900,MLSL,817.9983303065368
1,4,19,900,MLSL,764.671890721745
1,5,0,900,MLSL,1352.4082314242487
1,5,1,900,MLSL,341.18388895770397
1,5,2,900,MLSL,588.0597932923789
1,5,3,900,MLSL,771.0821486422573
1,5,4,900,MLSL,991.9527853844668
1,5,5,900,MLSL,605.1755342901662
1,5,6,900,MLSL,628.3474532211955
1,5,7,900,MLSL,693.7944176033102
1,5,8,900,MLSL,977.50946959777
1,5,9,900,MLSL,605.4917036959148
1,5,10,900,MLSL,389.8064824180383
1,5,11,900,MLSL,579.3766167184336
1,5,12,900,MLSL,457.48956634841704
1,5,13,900,MLSL,972.5647093526676
1,5,14,900,MLSL,1014.9435260566272
