fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,50,BFGS,8.526512829121202e-14
1,1,1,50,BFGS,1.4210854715202004e-14
1,1,2,50,BFGS,1.5631940186722204e-13
1,1,3,50,BFGS,1.1368683772161603e-13
1,1,4,50,BFGS,5.684341886080802e-14
1,1,5,50,BFGS,1.8474111129762605e-13
1,1,6,50,BFGS,1.8474111129762605e-13
1,1,7,50,BFGS,1.4210854715202004e-14
1,1,8,50,BFGS,8.526512829121202e-14
1,1,9,50,BFGS,1.1368683772161603e-13
1,1,10,50,BFGS,1.9895196601282805e-13
1,1,11,50,BFGS,1.1368683772161603e-13
1,1,12,50,BFGS,1.2789769243681803e-13
1,1,13,50,BFGS,1.2789769243681803e-13
1,1,14,50,BFGS,1.4210854715202004e-14
1,1,15,50,BFGS,1.2789769243681803e-13
1,1,16,50,BFGS,8.526512829121202e-14
1,1,17,50,BFGS,7.105427357601002e-14
1,1,18,50,BFGS,7.105427357601002e-14
1,1,19,50,BFGS,1.4210854715202004e-13
1,2,0,50,BFGS,2.8421709430404007e-12
1,2,1,50,BFGS,1.9326762412674725e-12
1,2,2,50,BFGS,3.808509063674137e-12
1,2,3,50,BFGS,1.0800249583553523e-12
1,2,4,50,BFGS,6.30961949354969e-12
1,2,5,50,BFGS,2.2737367544323206e-13
1,2,6,50,BFGS,1.6484591469634324e-12
1,2,7,50,BFGS,1.8758328224066645e-12
1,2,8,50,BFGS,9.094947017729282e-13
1,2,9,50,BFGS,9.094947017729282e-13
1,2,10,50,BFGS,1.4210854715202004e-12
1,2,11,50,BFGS,3.126388037344441e-12
1,2,12,50,BFGS,1.3642420526593924e-12
1,2,13,50,BFGS,2.8421709430404007e-13
1,2,14,50,BFGS,2.5011104298755527e-12
1,2,15,50,BFGS,2.7853275241795927e-12
1,2,16,50,BFGS,1.8758328224066645e-12
1,2,17,50,BFGS,3.751665644813329e-12
1,2,18,50,BFGS,2.1032064978498966e-12
1,2,19,50,BFGS,7.958078640513122e-13
1,3,0,50,BFGS,3.694822225952521e-13
1,3,1,50,BFGS,1.1368683772161603e-13
1,3,2,50,BFGS,3.979039320256561e-13
1,3,3,50,BFGS,8.526512829121202e-14
1,3,4,50,BFGS,1.1368683772161603e-13
1,3,5,50,BFGS,3.126388037344441e-13
1,3,6,50,BFGS,2.2737367544323206e-13
1,3,7,50,BFGS,8.810729923425242e-13
1,3,8,50,BFGS,4.263256414560601e-13
1,3,9,50,BFGS,4.831690603168681e-13
1,3,10,50,BFGS,4.831690603168681e-13
1,3,11,50,BFGS,3.410605131648481e-13
1,3,12,50,BFGS,1.7053025658242404e-13
1,3,13,50,BFGS,7.389644451905042e-13
1,3,14,50,BFGS,3.979039320256561e-13
1,3,15,50,BFGS,3.694822225952521e-13
1,3,16,50,BFGS,3.694822225952521e-13
1,3,17,50,BFGS,6.536993168992922e-13
1,3,18,50,BFGS,1.0800249583553523e-12
1,3,19,50,BFGS,7.105427357601002e-13
1,4,0,50,BFGS,2.8421709430404007e-13
1,4,1,50,BFGS,1.3926637620897964e-12
1,4,2,50,BFGS,5.684341886080801e-13
1,4,3,50,BFGS,3.126388037344441e-13
1,4,4,50,BFGS,5.400124791776761e-13
1,4,5,50,BFGS,2.8421709430404007e-13
1,4,6,50,BFGS,8.526512829121202e-14
1,4,7,50,BFGS,4.547473508864641e-13
1,4,8,50,BFGS,3.410605131648481e-13
1,4,9,50,BFGS,2.5579538487363607e-13
1,4,10,50,BFGS,1.7053025658242404e-13
1,4,11,50,BFGS,1.9895196601282805e-13
1,4,12,50,BFGS,2.2737367544323206e-13
1,4,13,50,BFGS,6.821210263296962e-13
1,4,14,50,BFGS,5.400124791776761e-13
1,4,15,50,BFGS,3.410605131648481e-13
1,4,16,50,BFGS,2.5579538487363607e-13
1,4,17,50,BFGS,2.842170943040401e-14
1,4,18,50,BFGS,6.252776074688882e-13
1,4,19,50,BFGS,5.684341886080801e-13
1,5,0,50,BFGS,3.552713678800501e-15
1,5,1,50,BFGS,7.105427357601002e-15
1,5,2,50,BFGS,1.4210854715202004e-14
1,5,3,50,BFGS,1.0658141036401503e-14
1,5,4,50,BFGS,3.552713678800501e-15
1,5,5,50,BFGS,1.0658141036401503e-14
1,5,6,50,BFGS,1.0658141036401503e-14
1,5,7,50,BFGS,0.0
1,5,8,50,BFGS,3.552713678800501e-15
1,5,9,50,BFGS,3.552713678800501e-15
1,5,10,50,BFGS,0.0
1,5,11,50,BFGS,3.552713678800501e-15
1,5,12,50,BFGS,7.105427357601002e-15
1,5,13,50,BFGS,7.105427357601002e-15
1,5,14,50,BFGS,0.0
1,5,15,50,BFGS,7.105427357601002e-15
1,5,16,50,BFGS,2.4868995751603507e-14
1,5,17,50,BFGS,0.0
1,5,18,50,BFGS,1.4210854715202004e-14
1,5,19,50,BFGS,3.552713678800501e-15
1,6,0,50,BFGS,6.821210263296962e-13
1,6,1,50,BFGS,3.694822225952521e-13
1,6,2,50,BFGS,7.673861546209082e-13
1,6,3,50,BFGS,3.126388037344441e-13
1,6,4,50,BFGS,2.8421709430404007e-13
1,6,5,50,BFGS,3.126388037344441e-13
1,6,6,50,BFGS,1.4210854715202004e-13
1,6,7,50,BFGS,1.9895196601282805e-13
1,6,8,50,BFGS,1.9895196601282805e-13
1,6,9,50,BFGS,2.8421709430404007e-13
1,6,10,50,BFGS,4.263256414560601e-13
1,6,11,50,BFGS,1.1368683772161603e-13
1,6,12,50,BFGS,3.126388037344441e-13
1,6,13,50,BFGS,1.1368683772161603e-13
1,6,14,50,BFGS,4.547473508864641e-13
1,6,15,50,BFGS,1.9895196601282805e-13
1,6,16,50,BFGS,2.8421709430404007e-13
1,6,17,50,BFGS,2.8421709430404007e-13
1,6,18,50,BFGS,4.831690603168681e-13
1,6,19,50,BFGS,6.821210263296962e-13
1,7,0,50,BFGS,1.9326762412674725e-12
1,7,1,50,BFGS,1.2505552149377763e-12
1,7,2,50,BFGS,3.524291969370097e-12
1,7,3,50,BFGS,8.412825991399586e-12
