fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,300,DE,2.2737367544323206e-13
1,1,1,300,DE,2.5579538487363607e-13
1,1,2,300,DE,2.8421709430404007e-13
1,1,3,300,DE,1.7053025658242404e-13
1,1,4,300,DE,1.2789769243681803e-13
1,1,5,300,DE,3.410605131648481e-13
1,1,6,300,DE,2.984279490192421e-13
1,1,7,300,DE,2.7000623958883807e-13
1,1,8,300,DE,4.831690603168681e-13
1,1,9,300,DE,2.1316282072803006e-13
1,1,10,300,DE,2.4158453015843406e-13
1,1,11,300,DE,1.7053025658242404e-13
1,1,12,300,DE,3.268496584496461e-13
1,1,13,300,DE,9.947598300641403e-14
1,1,14,300,DE,4.263256414560601e-13
1,1,15,300,DE,5.684341886080801e-13
1,1,16,300,DE,5.258016244624741e-13
1,1,17,300,DE,2.1316282072803006e-13
1,1,18,300,DE,1.9895196601282805e-13
1,1,19,300,DE,2.4158453015843406e-13
1,2,0,300,DE,3.581135388230905e-12
1,2,1,300,DE,1.546140993013978e-11
1,2,2,300,DE,1.8189894035458565e-12
1,2,3,300,DE,4.945377440890297e-12
1,2,4,300,DE,2.8990143619012088e-12
1,2,5,300,DE,5.059064278611913e-12
1,2,6,300,DE,1.233502189279534e-11
1,2,7,300,DE,1.4097167877480388e-11
1,2,8,300,DE,1.1766587704187259e-11
1,2,9,300,DE,8.640199666842818e-12
1,2,10,300,DE,5.059064278611913e-12
1,2,11,300,DE,9.663381206337363e-12
1,2,12,300,DE,2.9558577807620168e-12
1,2,13,300,DE,6.707523425575346e-12
1,2,14,300,DE,3.524291969370097e-12
1,2,15,300,DE,5.229594535194337e-12
1,2,16,300,DE,6.0254023992456496e-12
1,2,17,300,DE,2.1600499167107046e-12
1,2,18,300,DE,1.2562395568238571e-11
1,2,19,300,DE,8.242295734817162e-12
1,3,0,300,DE,7.389644451905042e-13
1,3,1,300,DE,2.7000623958883807e-12
1,3,2,300,DE,1.2221335055073723e-12
1,3,3,300,DE,4.604316927725449e-12
1,3,4,300,DE,6.252776074688882e-13
1,3,5,300,DE,1.1652900866465643e-12
1,3,6,300,DE,1.8758328224066645e-12
1,3,7,300,DE,9.094947017729282e-13
1,3,8,300,DE,2.6432189770275727e-12
1,3,9,300,DE,5.968558980384842e-13
1,3,10,300,DE,1.3358203432289883e-12
1,3,11,300,DE,1.2789769243681803e-12
1,3,12,300,DE,4.405364961712621e-12
1,3,13,300,DE,2.7000623958883807e-12
1,3,14,300,DE,1.5063505998114124e-12
1,3,15,300,DE,2.8990143619012088e-12
1,3,16,300,DE,7.389644451905042e-13
1,3,17,300,DE,1.2221335055073723e-12
1,3,18,300,DE,8.526512829121202e-13
1,3,19,300,DE,1.3073986337985843e-12
1,4,0,300,DE,5.115907697472721e-13
1,4,1,300,DE,1.2505552149377763e-12
1,4,2,300,DE,4.263256414560601e-12
1,4,3,300,DE,1.8474111129762605e-12
1,4,4,300,DE,3.979039320256561e-12
1,4,5,300,DE,2.7853275241795927e-12
1,4,6,300,DE,1.9042545318370685e-12
