fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,100,Elitist,0.0
1,1,1,100,Elitist,0.0
1,1,2,100,Elitist,0.0
1,1,3,100,Elitist,0.0
1,1,4,100,Elitist,0.0
1,1,5,100,Elitist,0.0
1,1,6,100,Elitist,0.0
1,1,7,100,Elitist,0.0
1,1,8,100,Elitist,0.0
1,1,9,100,Elitist,0.0
1,1,10,100,Elitist,0.0
1,1,11,100,Elitist,0.0
1,1,12,100,Elitist,0.0
1,1,13,100,Elitist,0.0
1,1,14,100,Elitist,0.0
1,1,15,100,Elitist,0.0
1,1,16,100,Elitist,0.0
1,1,17,100,Elitist,0.0
1,1,18,100,Elitist,0.0
1,1,19,100,Elitist,0.0
1,2,0,100,Elitist,0.0
1,2,1,100,Elitist,0.0
1,2,2,100,Elitist,0.0
1,2,3,100,Elitist,0.0
1,2,4,100,Elitist,0.0
1,2,5,100,Elitist,0.0
1,2,6,100,Elitist,0.0
1,2,7,100,Elitist,0.0
1,2,8,100,Elitist,0.0
1,2,9,100,Elitist,0.0
1,2,10,100,Elitist,0.0
1,2,11,100,Elitist,0.0
1,2,12,100,Elitist,0.0
1,2,13,100,Elitist,0.0
1,2,14,100,Elitist,0.0
1,2,15,100,Elitist,0.0
1,2,16,100,Elitist,0.0
1,2,17,100,Elitist,0.0
1,2,18,100,Elitist,0.0
1,2,19,100,Elitist,0.0
1,3,0,100,Elitist,0.0
1,3,1,100,Elitist,0.0
1,3,2,100,Elitist,0.0
1,3,3,100,Elitist,0.0
1,3,4,100,Elitist,0.0
1,3,5,100,Elitist,0.0
1,3,6,100,Elitist,0.0
1,3,7,100,Elitist,0.0
1,3,8,100,Elitist,0.0
1,3,9,100,Elitist,0.0
1,3,10,100,Elitist,0.0
1,3,11,100,Elitist,0.0
1,3,12,100,Elitist,0.0
1,3,13,100,Elitist,0.0
1,3,14,100,Elitist,0.0
1,3,15,100,Elitist,0.0
1,3,16,100,Elitist,0.0
1,3,17,100,Elitist,0.0
1,3,18,100,Elitist,0.0
1,3,19,100,Elitist,0.0
1,4,0,100,Elitist,0.0
1,4,1,100,Elitist,0.0
1,4,2,100,Elitist,0.0
1,4,3,100,Elitist,0.0
1,4,4,100,Elitist,0.0
1,4,5,100,Elitist,0.0
1,4,6,100,Elitist,0.0
1,4,7,100,Elitist,0.0
1,4,8,100,Elitist,0.0
1,4,9,100,Elitist,0.0
1,4,10,100,Elitist,0.0
1,4,11,100,Elitist,0.0
1,4,12,100,Elitist,0.0
1,4,13,100,Elitist,0.0
1,4,14,100,Elitist,0.0
1,4,15,100,Elitist,0.0
1,4,16,100,Elitist,0.0
1,4,17,100,Elitist,0.0
1,4,18,100,Elitist,0.0
1,4,19,100,Elitist,0.0
1,5,0,100,Elitist,0.0
1,5,1,100,Elitist,0.0
1,5,2,100,Elitist,0.0
1,5,3,100,Elitist,0.0
1,5,4,100,Elitist,0.0
1,5,5,100,Elitist,0.0
1,5,6,100,Elitist,0.0
1,5,7,100,Elitist,0.0
1,5,8,100,Elitist,0.0
1,5,9,100,Elitist,1.4210854715202004e-14
1,5,10,100,Elitist,0.0
1,5,11,100,Elitist,0.0
1,5,12,100,Elitist,9.237055564881302e-14
1,5,13,100,Elitist,0.0
1,5,14,100,Elitist,0.0
1,5,15,100,Elitist,0.0
1,5,16,100,Elitist,0.0
1,5,17,100,Elitist,0.0
1,5,18,100,Elitist,3.552713678800501e-15
1,5,19,100,Elitist,0.0
1,6,0,100,Elitist,0.0
1,6,1,100,Elitist,0.0
1,6,2,100,Elitist,0.0
1,6,3,100,Elitist,0.0
1,6,4,100,Elitist,0.0
1,6,5,100,Elitist,0.0
1,6,6,100,Elitist,0.0
1,6,7,100,Elitist,0.0
1,6,8,100,Elitist,0.0
1,6,9,100,Elitist,0.0
1,6,10,100,Elitist,0.0
1,6,11,100,Elitist,0.0
1,6,12,100,Elitist,0.0
1,6,13,100,Elitist,0.0
1,6,14,100,Elitist,0.0
1,6,15,100,Elitist,0.0
1,6,16,100,Elitist,0.0
1,6,17,100,Elitist,0.0
1,6,18,100,Elitist,2.842170943040401e-14
1,6,19,100,Elitist,0.0
1,7,0,100,Elitist,0.0
1,7,1,100,Elitist,0.0
1,7,2,100,Elitist,0.0
1,7,3,100,Elitist,0.0
1,7,4,100,Elitist,0.0
1,7,5,100,Elitist,0.0
1,7,6,100,Elitist,0.0
1,7,7,100,Elitist,0.0
1,7,8,100,Elitist,0.0
1,7,9,100,Elitist,0.0
1,7,10,100,Elitist,0.0
1,7,11,100,Elitist,0.0
1,7,12,100,Elitist,0.0
1,7,13,100,Elitist,0.0
1,7,14,100,Elitist,0.0
1,7,15,100,Elitist,0.0
1,7,16,100,Elitist,0.0
1,7,17,100,Elitist,0.0
1,7,18,100,Elitist,0.0
1,7,19,100,Elitist,0.0
2,1,0,100,Elitist,6.025337296109882
2,1,1,100,Elitist,0.4034718652322056
2,1,2,100,Elitist,1.010590738437969
2,1,3,100,Elitist,0.2935425962659792
2,1,4,100,Elitist,7.968172176203865
2,1,5,100,Elitist,16.788162804609186
2,1,6,100,Elitist,2.084179533246896
2,1,7,100,Elitist,1.4203697634458194
2,1,8,100,Elitist,1.780797287834389
2,1,9,100,Elitist,3.548327067590833
2,1,10,100,Elitist,0.03200389307153273
2,1,11,100,Elitist,12.415698623913585
2,1,12,100,Elitist,6.813293816117351
2,1,13,100,Elitist,38.9308015947266
2,1,14,100,Elitist,2.089761838800854
2,1,15,100,Elitist,23.178225636723425
2,1,16,100,Elitist,20.50449290966293
2,1,17,100,Elitist,3.5354945064012213
2,1,18,100,Elitist,8.941028845785638
2,1,19,100,Elitist,0.08788576771229373
2,2,0,100,Elitist,27.059375902781113
2,2,1,100,Elitist,2.4745027660572276
2,2,2,100,Elitist,3.983091068024507
2,2,3,100,Elitist,12.520127935051448
2,2,4,100,Elitist,0.44885873153974387
2,2,5,100,Elitist,30.44516699843055
2,2,6,100,Elitist,2.6606497057504868
2,2,7,100,Elitist,0.09182583889443663
2,2,8,100,Elitist,12.176272151294341
2,2,9,100,Elitist,4.701686386262622
2,2,10,100,Elitist,9.771382077879679
2,2,11,100,Elitist,2.4925990172961434
2,2,12,100,Elitist,1.9945451119351674
2,2,13,100,Elitist,11.446214155335326
2,2,14,100,Elitist,12.813068364984332
2,2,15,100,Elitist,4.619002538524327
2,2,16,100,Elitist,1.6508301925641575
2,2,17,100,Elitist,0.22621378212946297
2,2,18,100,Elitist,0.9495215051145891
2,2,19,100,Elitist,18.342137565575257
2,3,0,100,Elitist,18.362032031791813
2,3,1,100,Elitist,5.8170599811641495
2,3,2,100,Elitist,14.28448557019314
2,3,3,100,Elitist,34.03083823628774
2,3,4,100,Elitist,13.817288146195892
2,3,5,100,Elitist,96.73647261121458
2,3,6,100,Elitist,0.22245102722108356
2,3,7,100,Elitist,4.721641636209071
2,3,8,100,Elitist,10.660318997549552
2,3,9,100,Elitist,0.6370908541960318
2,3,10,100,Elitist,1.2757839743290873
2,3,11,100,Elitist,139.65015455114488
2,3,12,100,Elitist,25.919272951838963
2,3,13,100,Elitist,2.8339845181716328
2,3,14,100,Elitist,9.925801610535586
2,3,15,100,Elitist,5.320361639901876
2,3,16,100,Elitist,80.6274971751247
2,3,17,100,Elitist,0.07977654825418767
2,3,18,100,Elitist,4.9152585327299505
2,3,19,100,Elitist,0.8354983123396238
2,4,0,100,Elitist,2.6223459402406775
2,4,1,100,Elitist,0.04743271321666498
2,4,2,100,Elitist,0.602956226347203
2,4,3,100,Elitist,0.5938468678392042
2,4,4,100,Elitist,4.064561347567462
2,4,5,100,Elitist,3.763694755272695
2,4,6,100,Elitist,90.29558594014577
2,4,7,100,Elitist,67.94786495276975
2,4,8,100,Elitist,27.508012053953394
2,4,9,100,Elitist,11.3987358114465
2,4,10,100,Elitist,13.902858405478753
2,4,11,100,Elitist,30.973214195288165
2,4,12,100,Elitist,4.353629852747815
2,4,13,100,Elitist,5.701163934046747
2,4,14,100,Elitist,6.756782176472029
2,4,15,100,Elitist,2.1123676922038044
2,4,16,100,Elitist,25.620376864783623
2,4,17,100,Elitist,1.9832993325892971
2,4,18,100,Elitist,29.81522013053194
2,4,19,100,Elitist,35.03522308920111
2,5,0,100,Elitist,3.621141555747684
2,5,1,100,Elitist,1.9170541643119066
2,5,2,100,Elitist,3.493997557551438
2,5,3,100,Elitist,3.6136617242069065
2,5,4,100,Elitist,2.0759321204367325
2,5,5,100,Elitist,0.015086201554453282
2,5,6,100,Elitist,4.292331572132923
2,5,7,100,Elitist,59.72497729083646
2,5,8,100,Elitist,2.9473443014794185
2,5,9,100,Elitist,4.545717748409402
2,5,10,100,Elitist,5.040740014614599
2,5,11,100,Elitist,0.0034497263068402617
2,5,12,100,Elitist,0.4041594572095022
2,5,13,100,Elitist,0.4571777480290393
2,5,14,100,Elitist,0.07370771377148344
2,5,15,100,Elitist,2.6835223769865593
2,5,16,100,Elitist,1.3389632512311351
2,5,17,100,Elitist,2.9939865716490175
2,5,18,100,Elitist,1.268465833095263
2,5,19,100,Elitist,15.878369638880713
2,6,0,100,Elitist,6.5476477497133985
2,6,1,100,Elitist,3.278585703308316
2,6,2,100,Elitist,10.092789355554252
2,6,3,100,Elitist,2.5346099232258013
2,6,4,100,Elitist,1.8238125182621445
2,6,5,100,Elitist,3.252926629328684
2,6,6,100,Elitist,41.54351938643331
2,6,7,100,Elitist,133.6530453252186
2,6,8,100,Elitist,87.69031771258157
2,6,9,100,Elitist,2.7462595013147535
2,6,10,100,Elitist,3.011012574136828
2,6,11,100,Elitist,17.68869670110137
2,6,12,100,Elitist,184.74327304438566
2,6,13,100,Elitist,7.798604314051886
2,6,14,100,Elitist,45.594914545785535
2,6,15,100,Elitist,142.91939865183272
2,6,16,100,Elitist,27.76334842554599
2,6,17,100,Elitist,0.8106028422368396
2,6,18,100,Elitist,56.525192185695445
2,6,19,100,Elitist,1.2615335763071371
2,7,0,100,Elitist,0.03676000229620513
2,7,1,100,Elitist,30.407635745615945
2,7,2,100,Elitist,29.324280935824763
2,7,3,100,Elitist,153.25942288538357
2,7,4,100,Elitist,7.381923187004045
2,7,5,100,Elitist,57.73773203460213
2,7,6,100,Elitist,18.52413828869985
2,7,7,100,Elitist,50.90594444030377
2,7,8,100,Elitist,61.14009836761464
2,7,9,100,Elitist,6.704367943177655
2,7,10,100,Elitist,2.6461464824820347
2,7,11,100,Elitist,76.78333796645313
2,7,12,100,Elitist,2.7233398709489407
2,7,13,100,Elitist,19.30684825192265
2,7,14,100,Elitist,0.8750376463206102
2,7,15,100,Elitist,13.49040695901122
2,7,16,100,Elitist,64.52720093554909
2,7,17,100,Elitist,6.541985604361898
2,7,18,100,Elitist,63.41317754748698
2,7,19,100,Elitist,23.277907230331923
3,1,0,100,Elitist,6.964708364115097
3,1,1,100,Elitist,5.969749304741015
3,1,2,100,Elitist,21.047903328217785
3,1,3,100,Elitist,19.708952843828456
3,1,4,100,Elitist,30.265011413049933
3,1,5,100,Elitist,3.979836228375234
3,1,6,100,Elitist,1.9899181141865938
3,1,7,100,Elitist,8.954621469728693
3,1,8,100,Elitist,6.964708361834198
3,1,9,100,Elitist,3.9798362307673187
3,1,10,100,Elitist,10.944539552393223
3,1,11,100,Elitist,9.949560298584743
3,1,12,100,Elitist,22.78042047920053
3,1,13,100,Elitist,3.9798362283736424
3,1,14,100,Elitist,11.939478412768437
3,1,15,100,Elitist,12.317793373053917
3,1,16,100,Elitist,8.954621438204413
3,1,17,100,Elitist,6.9647083618384045
3,1,18,100,Elitist,20.651117288507862
3,1,19,100,Elitist,2.984877171291828
3,2,0,100,Elitist,23.526123609054565
3,2,1,100,Elitist,21.43504062724405
3,2,2,100,Elitist,31.93026233869452
3,2,3,100,Elitist,16.529227076694212
3,2,4,100,Elitist,28.853676224536343
3,2,5,100,Elitist,4.974790247687224
3,2,6,100,Elitist,4.974790247647476
3,2,7,100,Elitist,8.954621438203091
3,2,8,100,Elitist,8.954621438202238
3,2,9,100,Elitist,9.949580495303508
3,2,10,100,Elitist,13.929391489136748
3,2,11,100,Elitist,6.964708361836088
3,2,12,100,Elitist,7.986500349943526e-12
3,2,13,100,Elitist,18.58696448663561
3,2,14,100,Elitist,10.944539608074322
3,2,15,100,Elitist,2.9848771713277955
3,2,16,100,Elitist,26.62536645065964
3,2,17,100,Elitist,11.939493577964342
3,2,18,100,Elitist,4.974790247647945
3,2,19,100,Elitist,6.964708361838532
3,3,0,100,Elitist,8.954644255610063
3,3,1,100,Elitist,9.949580553127873
3,3,2,100,Elitist,11.939478412772402
3,3,3,100,Elitist,15.498224841075114
3,3,4,100,Elitist,9.949560298590612
3,3,5,100,Elitist,11.93947841958331
3,3,6,100,Elitist,29.302874779051052
3,3,7,100,Elitist,2.984877171321358
3,3,8,100,Elitist,13.929411685873959
3,3,9,100,Elitist,19.040052539760353
3,3,10,100,Elitist,11.939478412785917
3,3,11,100,Elitist,7.959662385015548
3,3,12,100,Elitist,16.35439999276022
3,3,13,100,Elitist,3.9798362287170903
3,3,14,100,Elitist,10.944519355674856
3,3,15,100,Elitist,5.969749304740702
3,3,16,100,Elitist,13.929391489432021
3,3,17,100,Elitist,2.9848771866374477
3,3,18,100,Elitist,17.909222685510485
3,3,19,100,Elitist,14.712750048418457
3,4,0,100,Elitist,1.9899181141876858
3,4,1,100,Elitist,21.392043036425378
3,4,2,100,Elitist,13.929411685849079
3,4,3,100,Elitist,22.929882671390228
3,4,4,100,Elitist,4.97479024960018
3,4,5,100,Elitist,19.42154199037447
3,4,6,100,Elitist,5.969749305261755
3,4,7,100,Elitist,10.944539552751216
3,4,8,100,Elitist,14.355935500638875
3,4,9,100,Elitist,9.949580495294784
3,4,10,100,Elitist,6.96470836183722
3,4,11,100,Elitist,31.782446960256184
3,4,12,100,Elitist,22.200261717179025
3,4,13,100,Elitist,2.9848771712816786
3,4,14,100,Elitist,29.916408721468628
3,4,15,100,Elitist,6.964708361838664
3,4,16,100,Elitist,11.93949357168163
3,4,17,100,Elitist,6.964708361861924
3,4,18,100,Elitist,5.969749304747032
3,4,19,100,Elitist,7.160430544898862
3,5,0,100,Elitist,4.974790247658746
3,5,1,100,Elitist,13.929391490740187
3,5,2,100,Elitist,5.969749304929792
3,5,3,100,Elitist,5.969749304774666
3,5,4,100,Elitist,15.919309603321295
3,5,5,100,Elitist,6.964710263927884
3,5,6,100,Elitist,3.9798362283735855
