fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,500,PSO,1.7551562336848292e-07
1,1,1,500,PSO,1.1047160342059215e-07
1,1,2,500,PSO,6.225653805813636e-07
1,1,3,500,PSO,8.13048188774701e-08
1,1,4,500,PSO,4.1136426887078414e-07
1,1,5,500,PSO,2.789289510474191e-08
1,1,6,500,PSO,3.527515275436599e-07
1,1,7,500,PSO,8.318887267932951e-07
1,1,8,500,PSO,1.3610423366117175e-07
1,1,9,500,PSO,4.03822042471802e-08
1,1,10,500,PSO,6.315021039426938e-08
1,1,11,500,PSO,1.0978024533869757e-07
1,1,12,500,PSO,5.592453220515381e-07
1,1,13,500,PSO,2.819730440251078e-07
1,1,14,500,PSO,7.029262405922054e-06
1,1,15,500,PSO,1.63226886229495e-07
1,1,16,500,PSO,1.8684943370317342e-07
1,1,17,500,PSO,1.2856234832270275e-07
1,1,18,500,PSO,2.950992666228558e-06
1,1,19,500,PSO,9.562043601363257e-07
1,2,0,500,PSO,2.510875560801651e-07
1,2,1,500,PSO,1.536887452857627e-06
1,2,2,500,PSO,7.21246067314496e-06
1,2,3,500,PSO,9.593918548489455e-08
1,2,4,500,PSO,1.5532805264228955e-07
1,2,5,500,PSO,2.8214816438776325e-07
1,2,6,500,PSO,5.189455123399966e-07
1,2,7,500,PSO,4.911614723823732e-07
1,2,8,500,PSO,1.3347552680897934e-06
1,2,9,500,PSO,1.5712305412307614e-07
1,2,10,500,PSO,1.409200478974526e-06
1,2,11,500,PSO,1.7552628150951932e-07
1,2,12,500,PSO,1.073319822353369e-06
1,2,13,500,PSO,4.3297512775097857e-07
1,2,14,500,PSO,2.366039836942946e-06
1,2,15,500,PSO,1.8404421098239254e-06
1,2,16,500,PSO,1.8192434367847454e-06
1,2,17,500,PSO,7.042931997602864e-07
1,2,18,500,PSO,6.764097406630754e-07
1,2,19,500,PSO,5.466953894028848e-07
1,3,0,500,PSO,2.630166591188754e-07
1,3,1,500,PSO,2.682496074157825e-07
1,3,2,500,PSO,7.768266812036018e-07
1,3,3,500,PSO,4.572527245727542e-08
1,3,4,500,PSO,2.419722306967742e-07
1,3,5,500,PSO,6.219786712335917e-07
1,3,6,500,PSO,2.2123782628113986e-07
1,3,7,500,PSO,4.495560318673597e-06
1,3,8,500,PSO,1.612888524959999e-07
1,3,9,500,PSO,1.0352198387408862e-07
1,3,10,500,PSO,1.0114945325767621e-08
1,3,11,500,PSO,1.14355572122804e-07
1,3,12,500,PSO,8.103003750647986e-06
1,3,13,500,PSO,2.006597128456633e-07
1,3,14,500,PSO,2.301599636211904e-06
1,3,15,500,PSO,2.75308906338978e-07
1,3,16,500,PSO,4.804829245586006e-07
1,3,17,500,PSO,2.2444706360147393e-07
1,3,18,500,PSO,1.3806246670355904e-06
1,3,19,500,PSO,1.1896128171429154e-07
1,4,0,500,PSO,1.5455694324373326e-07
1,4,1,500,PSO,3.738748546311399e-07
1,4,2,500,PSO,5.226007147030032e-07
1,4,3,500,PSO,1.4396095195934322e-06
1,4,4,500,PSO,3.706300958583597e-06
1,4,5,500,PSO,4.881106292486947e-07
1,4,6,500,PSO,8.729754483738361e-07
1,4,7,500,PSO,3.740316003586486e-07
1,4,8,500,PSO,2.5904239464580314e-07
1,4,9,500,PSO,2.5251338797716016e-07
1,4,10,500,PSO,1.1277714406787709e-07
1,4,11,500,PSO,1.1087545885857253e-06
1,4,12,500,PSO,8.233630779841405e-06
1,4,13,500,PSO,6.385592428159725e-07
1,4,14,500,PSO,3.5468461305754317e-06
1,4,15,500,PSO,1.111550091081881e-06
1,4,16,500,PSO,1.2009344061425509e-06
1,4,17,500,PSO,6.754459036528715e-08
1,4,18,500,PSO,1.2466288694668037e-06
1,4,19,500,PSO,2.128310114812848e-06
1,5,0,500,PSO,6.657936424403488e-08
1,5,1,500,PSO,1.1332762284155251e-08
1,5,2,500,PSO,1.2127256674432374e-06
1,5,3,500,PSO,7.170449798366008e-07
1,5,4,500,PSO,2.2053265169574843e-07
1,5,5,500,PSO,1.4287302683158032e-06
1,5,6,500,PSO,3.257535716727489e-07
1,5,7,500,PSO,3.8356387932481084e-07
1,5,8,500,PSO,3.294654860042101e-07
1,5,9,500,PSO,4.131314419453247e-07
1,5,10,500,PSO,7.90776233827728e-07
1,5,11,500,PSO,4.974798564205685e-07
1,5,12,500,PSO,1.586636869888025e-06
1,5,13,500,PSO,1.8402205270717786e-06
1,5,14,500,PSO,3.0381650510946656e-06
1,5,15,500,PSO,9.661194994237121e-06
1,5,16,500,PSO,9.262427660416961e-07
1,5,17,500,PSO,4.4222908002211625e-08
1,5,18,500,PSO,3.497504685867625e-07
1,5,19,500,PSO,1.875987578614513e-06
1,6,0,500,PSO,5.335382979865244e-08
1,6,1,500,PSO,3.58420635393486e-07
1,6,2,500,PSO,7.204303727803563e-06
1,6,3,500,PSO,3.1919296361593297e-07
1,6,4,500,PSO,7.959345964536624e-07
1,6,5,500,PSO,1.8516277577873552e-07
1,6,6,500,PSO,1.5831600705951132e-06
1,6,7,500,PSO,2.3028971440908208e-07
1,6,8,500,PSO,3.5776406548393425e-07
1,6,9,500,PSO,9.19073386285163e-08
1,6,10,500,PSO,8.783163707448693e-08
1,6,11,500,PSO,5.851363482634042e-06
1,6,12,500,PSO,8.022921917927306e-07
1,6,13,500,PSO,3.5035895962209906e-07
1,6,14,500,PSO,1.9621200522124127e-06
1,6,15,500,PSO,3.978582071795245e-06
1,6,16,500,PSO,1.260432895833219e-07
1,6,17,500,PSO,4.949430376655073e-08
1,6,18,500,PSO,5.208182756177848e-07
1,6,19,500,PSO,1.3536498499888694e-07
1,7,0,500,PSO,4.359291096989182e-07
1,7,1,500,PSO,4.643482043320546e-08
1,7,2,500,PSO,1.0333933460060507e-06
1,7,3,500,PSO,3.094464773312211e-07
1,7,4,500,PSO,3.5036619010497816e-06
1,7,5,500,PSO,1.7102502170018852e-07
1,7,6,500,PSO,2.9863713280064985e-08
1,7,7,500,PSO,1.9662240902107442e-07
1,7,8,500,PSO,4.130624915887893e-06
1,7,9,500,PSO,3.875471747960546e-07
1,7,10,500,PSO,7.106052635208471e-08
1,7,11,500,PSO,6.296235142144724e-07
1,7,12,500,PSO,1.6697817954991478e-06
1,7,13,500,PSO,2.2149856704345439e-07
1,7,14,500,PSO,3.0775612458455726e-06
1,7,15,500,PSO,1.0521667945795343e-06
1,7,16,500,PSO,3.9766064219293185e-08
1,7,17,500,PSO,6.287086762313265e-08
1,7,18,500,PSO,5.64231186217512e-08
1,7,19,500,PSO,6.329553912109986e-06
2,1,0,500,PSO,24.53694109238188
2,1,1,500,PSO,3.7876012639900694
2,1,2,500,PSO,15.710202242908792
2,1,3,500,PSO,15.054301312649471
2,1,4,500,PSO,7.773722706510654
2,1,5,500,PSO,22.19235935746363
2,1,6,500,PSO,2.74466395251315
2,1,7,500,PSO,27.382494090727363
2,1,8,500,PSO,8.100822084800313
2,1,9,500,PSO,1.5477612806373031
2,1,10,500,PSO,19.881264994331417
2,1,11,500,PSO,6.399275195361781
2,1,12,500,PSO,1.9243225816994425
2,1,13,500,PSO,72.4371333873687
2,1,14,500,PSO,34.64345907829926
2,1,15,500,PSO,17.643860652992856
2,1,16,500,PSO,2.473760341504402
2,1,17,500,PSO,3.2188200108080594
2,1,18,500,PSO,6.987527423923893
2,1,19,500,PSO,12.128205337930979
2,2,0,500,PSO,16.243118467194293
2,2,1,500,PSO,22.656934164190886
2,2,2,500,PSO,7.020815873431317
2,2,3,500,PSO,91.17173125274539
2,2,4,500,PSO,11.05653477857122
2,2,5,500,PSO,12.463178229378968
2,2,6,500,PSO,4.8014461115703995
2,2,7,500,PSO,2.9478966093370502
2,2,8,500,PSO,12.034128524371766
2,2,9,500,PSO,4.899803704374335
2,2,10,500,PSO,9.146974777354728
2,2,11,500,PSO,1.521660172717148
2,2,12,500,PSO,1.3384006186226713
2,2,13,500,PSO,19.685792521346485
2,2,14,500,PSO,11.74595819114738
2,2,15,500,PSO,16.11047449248126
2,2,16,500,PSO,1.8011922158123639
2,2,17,500,PSO,9.035876110150042
2,2,18,500,PSO,11.127970371822485
2,2,19,500,PSO,7.247147866174245
2,3,0,500,PSO,24.626604922570152
2,3,1,500,PSO,255.19913657006094
2,3,2,500,PSO,13.587098147183994
2,3,3,500,PSO,80.65019319003264
2,3,4,500,PSO,38.60750181858158
2,3,5,500,PSO,16.67049496388219
2,3,6,500,PSO,23.962456967318587
2,3,7,500,PSO,13.483953620295921
2,3,8,500,PSO,39.333768901948304
2,3,9,500,PSO,1.7505791986552168
2,3,10,500,PSO,10.12630771150151
2,3,11,500,PSO,2.9164297488857045
2,3,12,500,PSO,683.6805206687344
2,3,13,500,PSO,29.06116221897439
2,3,14,500,PSO,9.887155958353503
2,3,15,500,PSO,69.81689731237424
2,3,16,500,PSO,7.419831040212358
2,3,17,500,PSO,13.645672185593241
2,3,18,500,PSO,17.73524998721048
2,3,19,500,PSO,12.308449202414735
2,4,0,500,PSO,171.53404075985935
2,4,1,500,PSO,585.7694614066149
2,4,2,500,PSO,2.237112619354093
2,4,3,500,PSO,23.02602308775164
2,4,4,500,PSO,18.01371342645382
2,4,5,500,PSO,9.160332509322018
2,4,6,500,PSO,9.183155861417447
2,4,7,500,PSO,68.34199116001707
2,4,8,500,PSO,2.6671460629110584
2,4,9,500,PSO,8.598301533269478
2,4,10,500,PSO,72.76071128267262
2,4,11,500,PSO,14.297568011307192
2,4,12,500,PSO,9.699122951603442
2,4,13,500,PSO,16.243620009773394
2,4,14,500,PSO,62.53574965545056
2,4,15,500,PSO,0.2360851270456692
2,4,16,500,PSO,138.6650903659858
2,4,17,500,PSO,0.7499233831234164
2,4,18,500,PSO,17.517526487344014
2,4,19,500,PSO,14.004186810665033
2,5,0,500,PSO,23.903322589540835
2,5,1,500,PSO,76.84999761934844
2,5,2,500,PSO,65.09319731099656
2,5,3,500,PSO,76.75935714101027
