fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,850,DE,42649.627413158836
1,1,1,850,DE,45942.15152468809
1,1,2,850,DE,42733.542871329846
1,1,3,850,DE,40501.85670351346
1,1,4,850,DE,34362.31098429994
1,1,5,850,DE,37626.65665995859
1,1,6,850,DE,38133.66422920206
1,1,7,850,DE,40458.01702675364
1,1,8,850,DE,50655.00164228756
1,1,9,850,DE,49737.96409940293
1,1,10,850,DE,47195.51139596112
1,1,11,850,DE,36906.486603631376
1,1,12,850,DE,34839.15833703825
1,1,13,850,DE,37009.29977773616
1,1,14,850,DE,49359.61148313443
1,1,15,850,DE,42394.91517876759
1,1,16,850,DE,53821.607443612535
1,1,17,850,DE,43840.99213815403
1,1,18,850,DE,39907.89167107763
1,1,19,850,DE,40332.902619762936
1,2,0,850,DE,40398.92809449138
1,2,1,850,DE,49960.432957254074
1,2,2,850,DE,51684.508736469965
1,2,3,850,DE,55834.81328148563
1,2,4,850,DE,44918.162015717855
1,2,5,850,DE,47456.171068360214
1,2,6,850,DE,47827.32447632169
1,2,7,850,DE,49937.34686827989
1,2,8,850,DE,53769.64477380572
1,2,9,850,DE,45841.419280278635
1,2,10,850,DE,51058.295493480095
1,2,11,850,DE,56348.72181911482
1,2,12,850,DE,44762.58315869033
1,2,13,850,DE,51503.377669454945
1,2,14,850,DE,44688.759431522085
1,2,15,850,DE,50089.701115698896
1,2,16,850,DE,43891.51378585129
1,2,17,850,DE,53671.90430988612
1,2,18,850,DE,47244.80830857931
1,2,19,850,DE,49726.563699810424
1,3,0,850,DE,47973.61996404937
1,3,1,850,DE,42176.19854795534
1,3,2,850,DE,45887.74260200162
1,3,3,850,DE,46431.44841501716
1,3,4,850,DE,38827.834929443015
1,3,5,850,DE,47425.80099514407
1,3,6,850,DE,39567.736270682566
1,3,7,850,DE,42528.308020110475
1,3,8,850,DE,38268.88402810805
1,3,9,850,DE,46515.658237099415
1,3,10,850,DE,37774.202938917115
1,3,11,850,DE,44442.59312861597
1,3,12,850,DE,39517.36187384365
1,3,13,850,DE,47712.342280244244
1,3,14,850,DE,36301.44061133354
1,3,15,850,DE,34810.96819317846
1,3,16,850,DE,40398.429994071674
1,3,17,850,DE,47404.48014258102
1,3,18,850,DE,47764.615296493655
1,3,19,850,DE,44490.314791101104
1,4,0,850,DE,52721.94820292658
1,4,1,850,DE,44048.52621947954
1,4,2,850,DE,50830.25046173583
