fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,550,MLSL,45569.461019312366
1,1,1,550,MLSL,46947.920667626946
1,1,2,550,MLSL,42247.450342201104
1,1,3,550,MLSL,53432.991162006714
1,1,4,550,MLSL,43823.45026155324
1,1,5,550,MLSL,41478.43468634129
1,1,6,550,MLSL,42596.48842603256
1,1,7,550,MLSL,48576.26651261641
1,1,8,550,MLSL,50082.389550398264
1,1,9,550,MLSL,46174.98836781814
1,1,10,550,MLSL,39915.30048191005
1,1,11,550,MLSL,44279.79525665167
1,1,12,550,MLSL,43116.10255095174
1,1,13,550,MLSL,39241.65342413871
1,1,14,550,MLSL,45683.461482282095
1,1,15,550,MLSL,50539.29969323435
1,1,16,550,MLSL,52938.82929068517
1,1,17,550,MLSL,49459.52471991176
1,1,18,550,MLSL,40879.141743759166
1,1,19,550,MLSL,43294.63861861356
1,2,0,550,MLSL,53330.36047291093
1,2,1,550,MLSL,65681.30872878066
1,2,2,550,MLSL,55916.38065769091
1,2,3,550,MLSL,57763.3166394321
1,2,4,550,MLSL,66726.92764101998
1,2,5,550,MLSL,49332.410778586505
1,2,6,550,MLSL,52153.710589912196
1,2,7,550,MLSL,50240.091990974644
1,2,8,550,MLSL,52420.66284702341
1,2,9,550,MLSL,54415.62468365114
1,2,10,550,MLSL,54292.859221951
1,2,11,550,MLSL,53696.73515645485
1,2,12,550,MLSL,58935.11125901039
1,2,13,550,MLSL,49586.6631088612
1,2,14,550,MLSL,54716.506494557434
1,2,15,550,MLSL,60284.58886261299
1,2,16,550,MLSL,49606.5771355231
1,2,17,550,MLSL,64450.32873699291
1,2,18,550,MLSL,61695.661784358206
1,2,19,550,MLSL,59817.576546958946
1,3,0,550,MLSL,50842.16176180754
1,3,1,550,MLSL,55931.472297176
1,3,2,550,MLSL,48285.18183724594
1,3,3,550,MLSL,51648.509841533836
1,3,4,550,MLSL,48046.72178516605
1,3,5,550,MLSL,44042.65853641198
1,3,6,550,MLSL,45509.0845963903
1,3,7,550,MLSL,49263.036509419755
1,3,8,550,MLSL,48278.09390461398
1,3,9,550,MLSL,49355.92425575837
1,3,10,550,MLSL,44110.35014089741
1,3,11,550,MLSL,48363.94955471251
1,3,12,550,MLSL,41866.779984107896
1,3,13,550,MLSL,48453.78041832928
1,3,14,550,MLSL,48724.72589264299
1,3,15,550,MLSL,51537.21346323227
1,3,16,550,MLSL,43856.43832923166
1,3,17,550,MLSL,56374.6180814275
1,3,18,550,MLSL,47482.104840542655
1,3,19,550,MLSL,50492.596609246924
1,4,0,550,MLSL,52838.374766255816
1,4,1,550,MLSL,50392.7309042902
1,4,2,550,MLSL,45318.57237484563
1,4,3,550,MLSL,54729.532307109344
1,4,4,550,MLSL,54498.51516685006
1,4,5,550,MLSL,44238.669196726216
1,4,6,550,MLSL,48045.178188023194
1,4,7,550,MLSL,43322.281868019956
1,4,8,550,MLSL,50852.1467320268
1,4,9,550,MLSL,45234.06942605831
1,4,10,550,MLSL,45130.82195696013
1,4,11,550,MLSL,35896.33693700038
1,4,12,550,MLSL,52250.4890968041
1,4,13,550,MLSL,45260.11833725231
1,4,14,550,MLSL,51158.82340981165
1,4,15,550,MLSL,48794.57581741715
1,4,16,550,MLSL,42492.654700542174
1,4,17,550,MLSL,53092.46994400014
1,4,18,550,MLSL,49236.080277406865
1,4,19,550,MLSL,47745.21836641961
1,5,0,550,MLSL,45102.901131480816
1,5,1,550,MLSL,42285.01924268198
1,5,2,550,MLSL,51493.659602119005
