fid,iid,rep,a1_budget,algname,achieved_auc
3,1,0,1000,Non-elitist,559175.0270278676
3,1,1,1000,Non-elitist,585227.0854715679
3,1,2,1000,Non-elitist,636042.1376742815
3,1,3,1000,Non-elitist,633605.6966089059
3,1,4,1000,Non-elitist,557989.2713032253
3,1,5,1000,Non-elitist,573493.309474933
3,1,6,1000,Non-elitist,571755.9712668908
3,1,7,1000,Non-elitist,613408.79786321
3,1,8,1000,Non-elitist,551774.5995230355
3,1,9,1000,Non-elitist,625585.6779615089
3,1,10,1000,Non-elitist,615270.37806204
3,1,11,1000,Non-elitist,590386.8059616324
3,1,12,1000,Non-elitist,596559.7827230317
3,1,13,1000,Non-elitist,602241.4118346574
3,1,14,1000,Non-elitist,659899.5685163358
3,1,15,1000,Non-elitist,634782.683409324
3,1,16,1000,Non-elitist,661699.6062101498
3,1,17,1000,Non-elitist,617127.5006798592
3,1,18,1000,Non-elitist,640643.1495226579
3,1,19,1000,Non-elitist,622399.4865241711
3,2,0,1000,Non-elitist,626682.5307185203
3,2,1,1000,Non-elitist,581648.261287704
3,2,2,1000,Non-elitist,579970.7315537834
3,2,3,1000,Non-elitist,622881.2877531752
3,2,4,1000,Non-elitist,566367.4121413915
3,2,5,1000,Non-elitist,613986.6003666591
3,2,6,1000,Non-elitist,695689.6010618904
3,2,7,1000,Non-elitist,608514.264907646
3,2,8,1000,Non-elitist,645247.8095149598
3,2,9,1000,Non-elitist,615356.8074685975
3,2,10,1000,Non-elitist,638654.251214993
3,2,11,1000,Non-elitist,604374.1469839246
3,2,12,1000,Non-elitist,586636.3401628132
3,2,13,1000,Non-elitist,664555.3634910202
3,2,14,1000,Non-elitist,682190.2111360973
3,2,15,1000,Non-elitist,645865.9791023629
3,2,16,1000,Non-elitist,657844.1935708583
3,2,17,1000,Non-elitist,599551.6038835436
3,2,18,1000,Non-elitist,623433.6497239557
3,2,19,1000,Non-elitist,580082.4837117941
3,3,0,1000,Non-elitist,702036.9426424424
3,3,1,1000,Non-elitist,612688.046372526
3,3,2,1000,Non-elitist,648123.7109533751
3,3,3,1000,Non-elitist,655413.6286911641
3,3,4,1000,Non-elitist,646940.4388511052
3,3,5,1000,Non-elitist,655096.7002084974
3,3,6,1000,Non-elitist,642556.7883153161
3,3,7,1000,Non-elitist,668614.882598749
3,3,8,1000,Non-elitist,619035.4843805743
3,3,9,1000,Non-elitist,651016.8147679229
3,3,10,1000,Non-elitist,659274.6217396301
3,3,11,1000,Non-elitist,588701.1685563142
3,3,12,1000,Non-elitist,615626.3135397297
3,3,13,1000,Non-elitist,645497.7473406261
3,3,14,1000,Non-elitist,630510.9114904992
3,3,15,1000,Non-elitist,633857.4421544666
3,3,16,1000,Non-elitist,636244.9781514595
3,3,17,1000,Non-elitist,691890.0386298387
3,3,18,1000,Non-elitist,596870.8810421075
3,3,19,1000,Non-elitist,613721.7979425939
3,4,0,1000,Non-elitist,568836.0372714321
3,4,1,1000,Non-elitist,600665.6725423669
3,4,2,1000,Non-elitist,619593.6580736344
3,4,3,1000,Non-elitist,605755.3017143527
3,4,4,1000,Non-elitist,587793.8394354694
3,4,5,1000,Non-elitist,542583.1995036879
3,4,6,1000,Non-elitist,601535.786344019
3,4,7,1000,Non-elitist,602673.1945548586
3,4,8,1000,Non-elitist,550698.9230337135
3,4,9,1000,Non-elitist,649778.2366126314
3,4,10,1000,Non-elitist,597151.9992222886
3,4,11,1000,Non-elitist,638691.9885176809
3,4,12,1000,Non-elitist,550018.0332246042
3,4,13,1000,Non-elitist,635850.863388037
3,4,14,1000,Non-elitist,617657.6686361964
3,4,15,1000,Non-elitist,640399.5566598459
3,4,16,1000,Non-elitist,587147.7207780482
3,4,17,1000,Non-elitist,562794.0494727655
3,4,18,1000,Non-elitist,573213.2697980969
3,4,19,1000,Non-elitist,588210.9144466084
3,5,0,1000,Non-elitist,576657.5907838712
3,5,1,1000,Non-elitist,742907.2312155131
3,5,2,1000,Non-elitist,654621.7566047517
3,5,3,1000,Non-elitist,669755.8910268163
3,5,4,1000,Non-elitist,689961.0337945339
3,5,5,1000,Non-elitist,610311.5177463656
3,5,6,1000,Non-elitist,582624.4370517775
3,5,7,1000,Non-elitist,633153.0408968588
3,5,8,1000,Non-elitist,577994.0392339105
