fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,450,PSO,41903.34251129387
1,1,1,450,PSO,48591.24873654402
1,1,2,450,PSO,43111.52264004562
1,1,3,450,PSO,40138.52288185851
1,1,4,450,PSO,36402.26277144632
1,1,5,450,PSO,38510.295161543974
1,1,6,450,PSO,37639.79719427611
1,1,7,450,PSO,41313.01233533256
1,1,8,450,PSO,50373.02225885571
1,1,9,450,PSO,50098.1601347608
1,1,10,450,PSO,46480.72025432157
1,1,11,450,PSO,37918.39448715653
1,1,12,450,PSO,35070.45238227465
1,1,13,450,PSO,36592.425418427774
1,1,14,450,PSO,50055.12803780217
1,1,15,450,PSO,42702.30227512017
1,1,16,450,PSO,55683.626104764044
1,1,17,450,PSO,45750.749201021725
1,1,18,450,PSO,41060.17763666611
1,1,19,450,PSO,40680.12461978636
1,2,0,450,PSO,42050.382952815584
1,2,1,450,PSO,49705.210016112396
1,2,2,450,PSO,52415.96725706749
1,2,3,450,PSO,56255.71235298295
1,2,4,450,PSO,46202.69917726285
1,2,5,450,PSO,49123.3442169442
1,2,6,450,PSO,46178.44989876564
1,2,7,450,PSO,49918.41024466284
1,2,8,450,PSO,55738.652742749146
1,2,9,450,PSO,46775.20410461241
1,2,10,450,PSO,52250.24870008303
1,2,11,450,PSO,57770.61385198758
1,2,12,450,PSO,44083.93999139001
1,2,13,450,PSO,52574.43451934457
1,2,14,450,PSO,45252.997963543625
1,2,15,450,PSO,49468.526687240075
1,2,16,450,PSO,45317.72848688553
1,2,17,450,PSO,54521.34978794096
1,2,18,450,PSO,47735.23228177783
1,2,19,450,PSO,51026.7842713251
1,3,0,450,PSO,49594.58103855477
1,3,1,450,PSO,43103.340486146204
1,3,2,450,PSO,47060.540709629546
1,3,3,450,PSO,45930.3501463579
1,3,4,450,PSO,40250.53147892194
1,3,5,450,PSO,49417.007693643514
1,3,6,450,PSO,40740.02371822644
1,3,7,450,PSO,43004.223546011825
1,3,8,450,PSO,39208.69695733506
1,3,9,450,PSO,48129.083009822054
1,3,10,450,PSO,37533.89254254877
1,3,11,450,PSO,44901.898161581266
1,3,12,450,PSO,40740.40479437268
1,3,13,450,PSO,48521.050406858805
1,3,14,450,PSO,36509.16031228696
1,3,15,450,PSO,35175.43996336238
1,3,16,450,PSO,41116.20090585762
1,3,17,450,PSO,47014.918391087704
1,3,18,450,PSO,48695.274608062646
1,3,19,450,PSO,42319.85617574505
1,4,0,450,PSO,53199.949242528244
1,4,1,450,PSO,44486.68065358409
1,4,2,450,PSO,49288.75442680735
1,4,3,450,PSO,46729.55047695022
1,4,4,450,PSO,38404.258515412206
1,4,5,450,PSO,44190.72679349097
1,4,6,450,PSO,36295.82930306904
1,4,7,450,PSO,52507.2409603823
1,4,8,450,PSO,44619.23533729365
1,4,9,450,PSO,39554.56221002861
1,4,10,450,PSO,44400.34861281633
1,4,11,450,PSO,41981.002084631735
1,4,12,450,PSO,43852.406452770985
1,4,13,450,PSO,42630.73278608651
1,4,14,450,PSO,45041.54157877719
1,4,15,450,PSO,42268.04311939946
1,4,16,450,PSO,43499.46755572104
1,4,17,450,PSO,46246.17860668664
1,4,18,450,PSO,49524.20082242887
1,4,19,450,PSO,51553.72314319002
1,5,0,450,PSO,43191.85061339842
1,5,1,450,PSO,37230.70606860187
1,5,2,450,PSO,45950.35764382304
1,5,3,450,PSO,38442.23824815826
1,5,4,450,PSO,37553.73416943198
1,5,5,450,PSO,38331.521611941935
1,5,6,450,PSO,38324.854204284675
1,5,7,450,PSO,43785.66972556122
1,5,8,450,PSO,38993.844939027236
1,5,9,450,PSO,45544.12123959764
1,5,10,450,PSO,39595.0773541276
1,5,11,450,PSO,39435.639274575595
1,5,12,450,PSO,43947.18175744354
1,5,13,450,PSO,35289.10573060662
1,5,14,450,PSO,35936.7283908757
1,5,15,450,PSO,36812.97458838757
1,5,16,450,PSO,36393.972418829515
1,5,17,450,PSO,42492.00925846784
1,5,18,450,PSO,48554.134181060996
1,5,19,450,PSO,39125.58399665698
1,6,0,450,PSO,53522.61835055666
1,6,1,450,PSO,45370.96090414576
1,6,2,450,PSO,43683.716304562906
1,6,3,450,PSO,48056.11317493685
1,6,4,450,PSO,42260.244245475966
1,6,5,450,PSO,44834.15823129538
1,6,6,450,PSO,47343.135076512925
1,6,7,450,PSO,44419.46314722458
1,6,8,450,PSO,41168.89976482278
1,6,9,450,PSO,41060.95022931184
1,6,10,450,PSO,47439.15108938354
1,6,11,450,PSO,46368.40055252578
1,6,12,450,PSO,41381.73301894371
1,6,13,450,PSO,43281.727372307534
1,6,14,450,PSO,51694.20194685625
1,6,15,450,PSO,42021.859835730655
1,6,16,450,PSO,45637.695198253256
1,6,17,450,PSO,42109.03110138581
1,6,18,450,PSO,43928.663656208206
1,6,19,450,PSO,44599.183660164155
1,7,0,450,PSO,41004.90656647755
1,7,1,450,PSO,57879.8555152707
1,7,2,450,PSO,44562.42726658477
1,7,3,450,PSO,51235.0374588581
1,7,4,450,PSO,41881.24695883391
1,7,5,450,PSO,41981.19691704493
1,7,6,450,PSO,52024.8996653944
1,7,7,450,PSO,46451.63232322196
1,7,8,450,PSO,44031.2453506886
1,7,9,450,PSO,46434.04908923609
1,7,10,450,PSO,43048.195260864784
1,7,11,450,PSO,48470.0149967884
1,7,12,450,PSO,38495.350067843734
1,7,13,450,PSO,52406.27861211858
1,7,14,450,PSO,39551.58386829684
1,7,15,450,PSO,44549.87469904009
1,7,16,450,PSO,43840.76576900545
1,7,17,450,PSO,46266.969971390085
1,7,18,450,PSO,43937.78408049972
1,7,19,450,PSO,43483.60090157635
2,1,0,450,PSO,1368675884.0366027
2,1,1,450,PSO,1837714506.6535888
2,1,2,450,PSO,1532368696.109107
2,1,3,450,PSO,1340435153.527357
2,1,4,450,PSO,1779114661.1952038
2,1,5,450,PSO,1780337839.1316261
2,1,6,450,PSO,1775571968.0757499
2,1,7,450,PSO,1585901483.9126732
2,1,8,450,PSO,1159286439.1921668
2,1,9,450,PSO,1347977850.4764712
2,1,10,450,PSO,1574628568.0184004
2,1,11,450,PSO,1862879028.0049217
2,1,12,450,PSO,1615836977.4001029
2,1,13,450,PSO,1035304147.5373702
2,1,14,450,PSO,1936656502.3648832
2,1,15,450,PSO,1673004860.5359561
