fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,150,DE,57.03581556987582
1,1,1,150,DE,60.209482611068566
1,1,2,150,DE,43.64459221360531
1,1,3,150,DE,75.45197256825865
1,1,4,150,DE,74.348103971389
1,1,5,150,DE,71.57743098580359
1,1,6,150,DE,52.02296356043418
1,1,7,150,DE,106.58268143622136
1,1,8,150,DE,59.878802660061766
1,1,9,150,DE,62.29470732492889
1,1,10,150,DE,49.08809482793173
1,1,11,150,DE,65.66198108071812
1,1,12,150,DE,65.36066928690177
1,1,13,150,DE,55.84366874744474
1,1,14,150,DE,63.06119750674422
1,1,15,150,DE,68.33193741876705
1,1,16,150,DE,89.34453676162549
1,1,17,150,DE,56.142309323324056
1,1,18,150,DE,41.15810517628458
1,1,19,150,DE,51.649770609667726
1,2,0,150,DE,70.66227018814385
1,2,1,150,DE,104.72960851727231
1,2,2,150,DE,86.31138757007125
1,2,3,150,DE,97.21196916198909
1,2,4,150,DE,85.77738345160822
1,2,5,150,DE,65.66204527956336
1,2,6,150,DE,85.25098565448741
1,2,7,150,DE,87.16511316450504
1,2,8,150,DE,58.939819506572064
1,2,9,150,DE,81.68947219752295
1,2,10,150,DE,48.67178314072157
1,2,11,150,DE,50.64408488605835
1,2,12,150,DE,78.01299974199651
1,2,13,150,DE,63.20648718072755
1,2,14,150,DE,64.47197001813964
1,2,15,150,DE,108.27470921860305
1,2,16,150,DE,74.29778075544255
1,2,17,150,DE,120.1867090452821
1,2,18,150,DE,81.25238575727451
1,2,19,150,DE,70.45288526883036
1,3,0,150,DE,88.79267025623562
1,3,1,150,DE,77.3472736248709
1,3,2,150,DE,69.35797583340289
1,3,3,150,DE,52.78377404967745
1,3,4,150,DE,63.17992047676651
1,3,5,150,DE,68.64954134734549
1,3,6,150,DE,83.14543346616932
1,3,7,150,DE,81.26156957500916
1,3,8,150,DE,68.74095811724007
1,3,9,150,DE,48.35071500531413
1,3,10,150,DE,32.89114222618875
1,3,11,150,DE,65.23758570877237
1,3,12,150,DE,76.89146903190328
1,3,13,150,DE,60.40841161307151
1,3,14,150,DE,76.42561956824352
1,3,15,150,DE,83.29264346891011
1,3,16,150,DE,48.090324726072566
1,3,17,150,DE,84.46580086986467
1,3,18,150,DE,67.3777695607744
1,3,19,150,DE,73.06310359126326
1,4,0,150,DE,96.58371453326966
1,4,1,150,DE,70.90099037641626
1,4,2,150,DE,50.53352336137296
1,4,3,150,DE,69.35547101846649
1,4,4,150,DE,97.66509289891012
1,4,5,150,DE,26.58192369312063
1,4,6,150,DE,44.57465719166183
1,4,7,150,DE,60.85665577078876
1,4,8,150,DE,95.45977043483143
1,4,9,150,DE,48.35404643238094
1,4,10,150,DE,55.71559979923714
1,4,11,150,DE,38.95589014062179
1,4,12,150,DE,92.39550803655105
1,4,13,150,DE,63.47591428018521
1,4,14,150,DE,61.749124223209265
1,4,15,150,DE,73.82729912965537
1,4,16,150,DE,49.0530033501489
1,4,17,150,DE,56.90586472945279
1,4,18,150,DE,70.18229408042687
1,4,19,150,DE,61.345987488565044
1,5,0,150,DE,67.29785639729641
1,5,1,150,DE,44.19556863391781
1,5,2,150,DE,70.9970150553844
1,5,3,150,DE,52.51742652217837
1,5,4,150,DE,43.81024348846
1,5,5,150,DE,108.86577036262577
1,5,6,150,DE,59.17895664814943
1,5,7,150,DE,73.16661343649776
1,5,8,150,DE,78.30491625772304
1,5,9,150,DE,64.81408512758539
1,5,10,150,DE,54.911974699715174
1,5,11,150,DE,57.62507955545763
1,5,12,150,DE,78.49267485966784
1,5,13,150,DE,57.37331389307545
1,5,14,150,DE,57.55495554795158
1,5,15,150,DE,51.42018363188799
1,5,16,150,DE,54.028364563347345
1,5,17,150,DE,89.58139078851684
1,5,18,150,DE,75.70057089943134
1,5,19,150,DE,55.848864526276266
1,6,0,150,DE,75.04448019234673
1,6,1,150,DE,48.03264750740823
1,6,2,150,DE,80.39025555375162
1,6,3,150,DE,87.06023232706619
1,6,4,150,DE,56.45424573712319
1,6,5,150,DE,71.43353890648513
1,6,6,150,DE,64.06436828674268
1,6,7,150,DE,66.64205528250105
1,6,8,150,DE,87.49579464731754
1,6,9,150,DE,84.65868127163684
1,6,10,150,DE,33.188173948151956
1,6,11,150,DE,62.723773862278534
1,6,12,150,DE,62.844520945421976
1,6,13,150,DE,76.77330852510907
1,6,14,150,DE,82.54642267692745
1,6,15,150,DE,69.71827938279958
1,6,16,150,DE,58.339795809447565
1,6,17,150,DE,46.68213042475625
1,6,18,150,DE,45.52662622409542
1,6,19,150,DE,65.7019676597632
1,7,0,150,DE,79.45001238016573
1,7,1,150,DE,70.53539514375552
1,7,2,150,DE,57.626546645889334
1,7,3,150,DE,88.49992374426597
1,7,4,150,DE,42.404392606924375
1,7,5,150,DE,45.9295760713693
1,7,6,150,DE,55.66875589073436
1,7,7,150,DE,87.58878804552307
1,7,8,150,DE,66.95114316690263
1,7,9,150,DE,68.60201131032773
1,7,10,150,DE,49.457902135873724
1,7,11,150,DE,83.98858901041115
1,7,12,150,DE,54.534278379939906
1,7,13,150,DE,84.39879624279581
1,7,14,150,DE,105.5026080483151
1,7,15,150,DE,76.21889530540477
1,7,16,150,DE,64.80827278371794
1,7,17,150,DE,60.81593903405815
1,7,18,150,DE,77.10407825229163
1,7,19,150,DE,58.99232078031321
2,1,0,150,DE,653595.815161355
2,1,1,150,DE,2345060.2595170927
2,1,2,150,DE,774706.9214057064
2,1,3,150,DE,1050230.888125236
2,1,4,150,DE,1366691.2848604268
2,1,5,150,DE,2896649.470719798
2,1,6,150,DE,1224881.3778891747
2,1,7,150,DE,1494608.23574065
2,1,8,150,DE,1329265.7051717406
2,1,9,150,DE,1376786.9259398326
2,1,10,150,DE,1186723.1693884942
2,1,11,150,DE,1433360.7109679123
2,1,12,150,DE,1437915.1412322456
2,1,13,150,DE,835594.4860444384
2,1,14,150,DE,1712079.4648072857
2,1,15,150,DE,1646757.3329338636
2,1,16,150,DE,1654441.4995122096
2,1,17,150,DE,1380280.4052480098
2,1,18,150,DE,1257286.1877531786
2,1,19,150,DE,831134.2326994686
2,2,0,150,DE,2749644.3561569075
2,2,1,150,DE,1098862.6861686793
2,2,2,150,DE,744428.3277898799
2,2,3,150,DE,1024031.7840385948
2,2,4,150,DE,1455438.679331584
2,2,5,150,DE,587946.5595204999
2,2,6,150,DE,2191626.9662845694
2,2,7,150,DE,1153669.840149959
2,2,8,150,DE,1914426.8350784958
2,2,9,150,DE,1441899.8922156529
2,2,10,150,DE,657254.7148786815
2,2,11,150,DE,1051655.1480469229
2,2,12,150,DE,2879068.3669781517
2,2,13,150,DE,1492982.5521351579
2,2,14,150,DE,1571645.8710754598
2,2,15,150,DE,1402407.430522923
2,2,16,150,DE,1035659.0918999725
2,2,17,150,DE,1386690.8266804023
2,2,18,150,DE,1492494.808311292
2,2,19,150,DE,1501216.7919816975
2,3,0,150,DE,1573024.6595758519
2,3,1,150,DE,1176762.3601810557
2,3,2,150,DE,2375393.008653236
2,3,3,150,DE,1941301.2814925837
2,3,4,150,DE,2125634.9239522642
2,3,5,150,DE,681215.2878708288
2,3,6,150,DE,878147.2325525859
2,3,7,150,DE,982585.2868705017
2,3,8,150,DE,1877168.469679937
2,3,9,150,DE,1040042.8660667918
2,3,10,150,DE,712487.2065755063
2,3,11,150,DE,2527886.9051404824
2,3,12,150,DE,1487866.7209557688
2,3,13,150,DE,1464944.4914524367
2,3,14,150,DE,774438.0677213464
2,3,15,150,DE,1869905.491465843
2,3,16,150,DE,1119397.8575036656
2,3,17,150,DE,2823352.057689623
2,3,18,150,DE,841633.8993698242
2,3,19,150,DE,1887677.6802111247
2,4,0,150,DE,1234539.7244375856
2,4,1,150,DE,643585.9486573626
2,4,2,150,DE,1595222.562136896
2,4,3,150,DE,1165305.654601785
2,4,4,150,DE,1059754.3525861667
2,4,5,150,DE,1825839.0910058445
2,4,6,150,DE,881930.619680212
2,4,7,150,DE,1244403.0264000439
2,4,8,150,DE,1443459.7996448635
2,4,9,150,DE,2000162.6827450832
2,4,10,150,DE,1114924.1636312632
