fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,700,Elitist,1.4141301697528945
1,1,1,700,Elitist,1.5297971348466035
1,1,2,700,Elitist,1.0651975051544866
1,1,3,700,Elitist,1.40028577972069
1,1,4,700,Elitist,1.3949442013458508
1,1,5,700,Elitist,1.2494644685370417
1,1,6,700,Elitist,0.7779429770902055
1,1,7,700,Elitist,1.5019375668197483
1,1,8,700,Elitist,1.2502505083233615
1,1,9,700,Elitist,1.159499783679351
1,1,10,700,Elitist,1.1582275402367515
1,1,11,700,Elitist,1.4012230451280772
1,1,12,700,Elitist,0.7160113342273036
1,1,13,700,Elitist,0.9808458887814453
1,1,14,700,Elitist,1.0839567164284318
1,1,15,700,Elitist,1.2866492948945307
1,1,16,700,Elitist,1.818868602395142
1,1,17,700,Elitist,1.327833981936024
1,1,18,700,Elitist,1.3549382273229895
1,1,19,700,Elitist,1.6440673186455257
1,2,0,700,Elitist,1.1966801347046498
1,2,1,700,Elitist,1.2771592734130195
1,2,2,700,Elitist,1.3741293745054577
1,2,3,700,Elitist,1.3710821730525709
1,2,4,700,Elitist,1.5819939474354783
1,2,5,700,Elitist,1.7170123123626695
1,2,6,700,Elitist,1.3638933895786067
1,2,7,700,Elitist,1.5135907512838003
1,2,8,700,Elitist,1.099278601513845
1,2,9,700,Elitist,1.1401931632840387
1,2,10,700,Elitist,1.2519916708039318
1,2,11,700,Elitist,1.3691900689267413
1,2,12,700,Elitist,2.0730585866322144
1,2,13,700,Elitist,0.850438892751356
1,2,14,700,Elitist,2.2860818569072308
1,2,15,700,Elitist,1.6925817350454508
1,2,16,700,Elitist,0.9725423354919371
1,2,17,700,Elitist,1.210415878680294
1,2,18,700,Elitist,1.70939367085208
1,2,19,700,Elitist,1.4651082623159368
1,3,0,700,Elitist,1.6556483832355866
1,3,1,700,Elitist,2.1697984310014817
1,3,2,700,Elitist,1.8955297311408117
1,3,3,700,Elitist,1.9505068951652618
1,3,4,700,Elitist,1.1169712733070867
1,3,5,700,Elitist,1.1124815399648753
1,3,6,700,Elitist,0.9698344951409297
1,3,7,700,Elitist,1.4948524862059855
1,3,8,700,Elitist,1.933029536323005
1,3,9,700,Elitist,1.3158879226196518
1,3,10,700,Elitist,1.4341398372486651
1,3,11,700,Elitist,1.52848901773865
1,3,12,700,Elitist,1.4635664043152872
1,3,13,700,Elitist,1.197879849081744
1,3,14,700,Elitist,1.77535812156313
1,3,15,700,Elitist,2.054366371795197
1,3,16,700,Elitist,1.8123737434667646
1,3,17,700,Elitist,2.3764604357964174
1,3,18,700,Elitist,1.646990138268194
1,3,19,700,Elitist,1.6290002069097511
1,4,0,700,Elitist,2.15219196531055
1,4,1,700,Elitist,0.9018543854035102
1,4,2,700,Elitist,1.055694180117996
1,4,3,700,Elitist,1.557080768676002
1,4,4,700,Elitist,1.6867008207753713
1,4,5,700,Elitist,1.1917605258896913
1,4,6,700,Elitist,1.7923282252302783
1,4,7,700,Elitist,1.8245000805423501
1,4,8,700,Elitist,1.3704872287598278
1,4,9,700,Elitist,1.9507435251173604
1,4,10,700,Elitist,1.6222959614691774
1,4,11,700,Elitist,0.8182737929666928
1,4,12,700,Elitist,1.7957593871096833
1,4,13,700,Elitist,1.6437783534626078
1,4,14,700,Elitist,1.8959871306320792
1,4,15,700,Elitist,1.7242153447697888
1,4,16,700,Elitist,0.9939653952704077
1,4,17,700,Elitist,1.5274615929111235
1,4,18,700,Elitist,1.2298122818355637
1,4,19,700,Elitist,1.7221448448792387
1,5,0,700,Elitist,1.3322490414061896
1,5,1,700,Elitist,0.8465011017780739
1,5,2,700,Elitist,1.188360915131149
1,5,3,700,Elitist,0.9771915543958443
1,5,4,700,Elitist,1.0383387580845103
1,5,5,700,Elitist,1.5996010228374509
1,5,6,700,Elitist,1.4828550300818542
1,5,7,700,Elitist,1.0006257700754198
1,5,8,700,Elitist,1.7319411843887274
1,5,9,700,Elitist,1.280877805386936
1,5,10,700,Elitist,1.6313218663856226
1,5,11,700,Elitist,0.7835796121211445
1,5,12,700,Elitist,1.5036319716075148
1,5,13,700,Elitist,1.0027989530097727
1,5,14,700,Elitist,1.7134143355409606
1,5,15,700,Elitist,1.0803826384787065
1,5,16,700,Elitist,1.3446750112548784
1,5,17,700,Elitist,1.5073639415577205
1,5,18,700,Elitist,1.156591129508417
1,5,19,700,Elitist,1.2988890878437829
1,6,0,700,Elitist,1.2651437121276388
1,6,1,700,Elitist,1.0261893843320138
1,6,2,700,Elitist,1.1522532804954722
1,6,3,700,Elitist,2.571319910660293
1,6,4,700,Elitist,1.5775879965328272
1,6,5,700,Elitist,2.070115639135139
1,6,6,700,Elitist,2.208010457396597
1,6,7,700,Elitist,1.1173782221755744
1,6,8,700,Elitist,1.5505345610802408
1,6,9,700,Elitist,2.2534380256464317
1,6,10,700,Elitist,1.5508382096726905
1,6,11,700,Elitist,1.2970688707026738
