fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,450,MLSL,24.480792129134954
1,1,1,450,MLSL,16.529735876416694
1,1,2,450,MLSL,22.043578204270162
1,1,3,450,MLSL,25.86351715825026
1,1,4,450,MLSL,24.550093147764215
1,1,5,450,MLSL,20.81731506581221
1,1,6,450,MLSL,18.874064418420687
1,1,7,450,MLSL,19.178511374318205
1,1,8,450,MLSL,23.505013681335058
1,1,9,450,MLSL,19.897076606151344
1,1,10,450,MLSL,23.339779719778406
1,1,11,450,MLSL,19.622110670881753
1,1,12,450,MLSL,20.72648583289113
1,1,13,450,MLSL,20.962505279802386
1,1,14,450,MLSL,21.90449929540941
1,1,15,450,MLSL,25.714673322901447
1,1,16,450,MLSL,25.432876661658028
1,1,17,450,MLSL,21.471364915359473
1,1,18,450,MLSL,17.447767487184493
1,1,19,450,MLSL,19.0652227821911
1,2,0,450,MLSL,24.383969470437933
1,2,1,450,MLSL,25.31264134304638
1,2,2,450,MLSL,21.361599588004253
1,2,3,450,MLSL,25.68841823761062
1,2,4,450,MLSL,36.49940652325904
1,2,5,450,MLSL,21.61757393875712
1,2,6,450,MLSL,26.250692107144232
1,2,7,450,MLSL,28.821207529298363
1,2,8,450,MLSL,20.78745720673743
1,2,9,450,MLSL,23.35986727521845
1,2,10,450,MLSL,28.920786586055954
1,2,11,450,MLSL,30.549475729225435
1,2,12,450,MLSL,33.485679950054305
1,2,13,450,MLSL,21.718433830161075
1,2,14,450,MLSL,17.984551854391952
1,2,15,450,MLSL,27.524810504424863
1,2,16,450,MLSL,20.793959047908857
1,2,17,450,MLSL,23.702004795901644
1,2,18,450,MLSL,17.34487365164796
1,2,19,450,MLSL,32.575852605610635
1,3,0,450,MLSL,22.2787993468379
1,3,1,450,MLSL,21.506484218127696
1,3,2,450,MLSL,29.055782731658326
1,3,3,450,MLSL,31.179049588770113
1,3,4,450,MLSL,23.47987486597637
1,3,5,450,MLSL,22.359081131923972
1,3,6,450,MLSL,21.91977903295026
1,3,7,450,MLSL,29.733908333651527
1,3,8,450,MLSL,28.010719396511632
1,3,9,450,MLSL,25.311532850326955
1,3,10,450,MLSL,19.454883780466957
1,3,11,450,MLSL,28.24781350216398
1,3,12,450,MLSL,17.960715870827357
1,3,13,450,MLSL,23.556302926308916
1,3,14,450,MLSL,21.18024751964427
1,3,15,450,MLSL,24.61327732331972
1,3,16,450,MLSL,19.441009634983516
1,3,17,450,MLSL,38.924861739239105
1,3,18,450,MLSL,24.365282661263393
1,3,19,450,MLSL,28.10563685868638
1,4,0,450,MLSL,24.660596201708984
1,4,1,450,MLSL,20.75541558425934
1,4,2,450,MLSL,19.591791305930684
1,4,3,450,MLSL,30.745587053851224
1,4,4,450,MLSL,22.210353369363418
1,4,5,450,MLSL,18.972461210196087
1,4,6,450,MLSL,21.081756727407395
1,4,7,450,MLSL,18.84770016484947
1,4,8,450,MLSL,21.645906227524023
1,4,9,450,MLSL,22.55763394320678
1,4,10,450,MLSL,23.250634871362394
1,4,11,450,MLSL,16.023765854150355
1,4,12,450,MLSL,23.05385383178111
1,4,13,450,MLSL,25.076113624442172
1,4,14,450,MLSL,22.079951310752648
1,4,15,450,MLSL,26.917177867714912
1,4,16,450,MLSL,13.591874801338122
1,4,17,450,MLSL,30.598143638997897
1,4,18,450,MLSL,23.362397633140972
1,4,19,450,MLSL,24.42902225359306
1,5,0,450,MLSL,22.015592620053432
1,5,1,450,MLSL,23.05129576701477
1,5,2,450,MLSL,24.030467545382784
1,5,3,450,MLSL,16.714813448597305
1,5,4,450,MLSL,19.905209522676092
1,5,5,450,MLSL,23.838955007584044
1,5,6,450,MLSL,25.51032092820826
1,5,7,450,MLSL,15.891790391964902
1,5,8,450,MLSL,20.914197570801417
1,5,9,450,MLSL,18.719345957738557
1,5,10,450,MLSL,24.059244282907933
1,5,11,450,MLSL,17.833846779000474
1,5,12,450,MLSL,34.52983500250573
1,5,13,450,MLSL,25.331594730208035
1,5,14,450,MLSL,22.86286154989541
1,5,15,450,MLSL,17.4837782034817
1,5,16,450,MLSL,19.873647345737886
1,5,17,450,MLSL,32.440628747504306
1,5,18,450,MLSL,18.753060448972526
1,5,19,450,MLSL,19.085236814095293
1,6,0,450,MLSL,16.390558284901033
1,6,1,450,MLSL,23.288975157968338
1,6,2,450,MLSL,19.820335459924365
1,6,3,450,MLSL,23.57333632722691
1,6,4,450,MLSL,27.426398334359362
1,6,5,450,MLSL,28.309669538271407
1,6,6,450,MLSL,27.348170215842543
1,6,7,450,MLSL,22.411279093789204
1,6,8,450,MLSL,20.429071732377423
1,6,9,450,MLSL,31.31273756822705
1,6,10,450,MLSL,25.124545180111426
1,6,11,450,MLSL,26.09865383052619
1,6,12,450,MLSL,20.80927665228532
1,6,13,450,MLSL,28.113290755292553
1,6,14,450,MLSL,19.562549826981723
1,6,15,450,MLSL,21.58073179490006
1,6,16,450,MLSL,23.470003550922428
1,6,17,450,MLSL,18.182385122092313
1,6,18,450,MLSL,24.426498160018554
1,6,19,450,MLSL,19.354676707987466
1,7,0,450,MLSL,17.287228165456213
1,7,1,450,MLSL,24.578354392409437
1,7,2,450,MLSL,19.639694774993814
1,7,3,450,MLSL,26.168401120154385
1,7,4,450,MLSL,17.472634244531264
1,7,5,450,MLSL,29.58775837812823
1,7,6,450,MLSL,34.486795060896156
1,7,7,450,MLSL,22.265529626337752
1,7,8,450,MLSL,21.40465396322486
1,7,9,450,MLSL,19.72644464263783
1,7,10,450,MLSL,20.91064115160748
1,7,11,450,MLSL,39.978197651849996
1,7,12,450,MLSL,22.84363560277518
1,7,13,450,MLSL,29.531646505473418
1,7,14,450,MLSL,14.642075091999232
1,7,15,450,MLSL,25.772219434431918
1,7,16,450,MLSL,22.076139188468915
1,7,17,450,MLSL,27.030828300641815
1,7,18,450,MLSL,25.82387760075494
1,7,19,450,MLSL,14.893488805272682
2,1,0,450,MLSL,1212822.5868528911
2,1,1,450,MLSL,1601349.3892048493
2,1,2,450,MLSL,1051984.8915626646
2,1,3,450,MLSL,964120.5423809326
2,1,4,450,MLSL,963810.8581103582
2,1,5,450,MLSL,1482079.873031639
2,1,6,450,MLSL,1041537.7589016455
2,1,7,450,MLSL,1585627.6080766078
2,1,8,450,MLSL,935861.3604636227
2,1,9,450,MLSL,911995.0893957084
2,1,10,450,MLSL,1345791.610450074
2,1,11,450,MLSL,1275914.3158129621
2,1,12,450,MLSL,822580.5817083928
2,1,13,450,MLSL,1182836.064180893
2,1,14,450,MLSL,1330087.2136599696
2,1,15,450,MLSL,1211416.7215965432
2,1,16,450,MLSL,979231.698110597
2,1,17,450,MLSL,1071994.2776072205
2,1,18,450,MLSL,1461459.2965093998
2,1,19,450,MLSL,1267339.5700151075
2,2,0,450,MLSL,1556377.9094437952
2,2,1,450,MLSL,1084284.1941659423
2,2,2,450,MLSL,1529120.9510622304
2,2,3,450,MLSL,650070.4990085794
2,2,4,450,MLSL,1576659.60152638
2,2,5,450,MLSL,995498.2105263483
2,2,6,450,MLSL,1527214.8210686594
2,2,7,450,MLSL,1187108.7382201203
2,2,8,450,MLSL,1345825.284153953
2,2,9,450,MLSL,1330151.0677941293
2,2,10,450,MLSL,1233961.2229601606
2,2,11,450,MLSL,702606.8191728051
2,2,12,450,MLSL,908807.5752039613
2,2,13,450,MLSL,1432990.4735078737
2,2,14,450,MLSL,822161.5636549303
2,2,15,450,MLSL,1816301.6907452575
2,2,16,450,MLSL,1295270.141915897
2,2,17,450,MLSL,797083.0216894083
2,2,18,450,MLSL,1543580.7196978917
2,2,19,450,MLSL,922152.4754629428
2,3,0,450,MLSL,1654532.0548475164
2,3,1,450,MLSL,1398939.65143416
2,3,2,450,MLSL,1353110.273575177
2,3,3,450,MLSL,1159982.496928994
2,3,4,450,MLSL,1199928.5332886532
2,3,5,450,MLSL,1284217.7396927292
2,3,6,450,MLSL,1347094.9447051613
2,3,7,450,MLSL,1214234.3373132253
2,3,8,450,MLSL,2013010.84256433
2,3,9,450,MLSL,937556.3075989997
2,3,10,450,MLSL,1531614.0216054872
2,3,11,450,MLSL,1785052.5067736048
2,3,12,450,MLSL,1217642.5660588592
2,3,13,450,MLSL,1112420.0882815565
2,3,14,450,MLSL,1647628.7481580689
2,3,15,450,MLSL,899316.4445682068
2,3,16,450,MLSL,1313373.3799709335
2,3,17,450,MLSL,1124916.9345610037
2,3,18,450,MLSL,1653524.133442045
2,3,19,450,MLSL,1777186.2854637355
2,4,0,450,MLSL,1008514.4869611931
2,4,1,450,MLSL,1767202.659331703
2,4,2,450,MLSL,636706.9428807875
2,4,3,450,MLSL,1172292.6698948853
2,4,4,450,MLSL,759455.1849430394
2,4,5,450,MLSL,1642990.4157141668
2,4,6,450,MLSL,1120513.8986356999
2,4,7,450,MLSL,1221133.4673573165
2,4,8,450,MLSL,1268004.8528203727
2,4,9,450,MLSL,770305.5683813238
2,4,10,450,MLSL,1237944.0428970011
2,4,11,450,MLSL,711423.579066623
2,4,12,450,MLSL,1570715.2984535613
2,4,13,450,MLSL,1029585.2501586291
2,4,14,450,MLSL,989573.7979588778
2,4,15,450,MLSL,996914.551169902
2,4,16,450,MLSL,1883307.037637935
2,4,17,450,MLSL,1437627.5574692287
2,4,18,450,MLSL,1413732.2959536482
2,4,19,450,MLSL,1618553.7990053361
2,5,0,450,MLSL,511576.8055953404
2,5,1,450,MLSL,1615005.2466705162
2,5,2,450,MLSL,1298737.3543130574
2,5,3,450,MLSL,896126.6292343169
2,5,4,450,MLSL,1825976.9693400713
2,5,5,450,MLSL,753477.6881839137
2,5,6,450,MLSL,2139840.2836968373
2,5,7,450,MLSL,680273.5953176982
2,5,8,450,MLSL,1315152.6017206311
2,5,9,450,MLSL,1520475.8760217584
2,5,10,450,MLSL,778887.9212441541
2,5,11,450,MLSL,1322624.2752905153
2,5,12,450,MLSL,1628296.2294625172
2,5,13,450,MLSL,1782708.7078022016
2,5,14,450,MLSL,1529433.7722946755
2,5,15,450,MLSL,1203024.0083525828
2,5,16,450,MLSL,1074145.617195934
2,5,17,450,MLSL,1253859.4594478575
2,5,18,450,MLSL,1315289.1439662243
2,5,19,450,MLSL,1312005.1033541397
2,6,0,450,MLSL,1160065.8294268006
2,6,1,450,MLSL,1201234.1405007974
2,6,2,450,MLSL,1390443.7235940837
2,6,3,450,MLSL,1164414.7101050501
2,6,4,450,MLSL,1380781.5556614723
2,6,5,450,MLSL,929663.0404295563
2,6,6,450,MLSL,1734669.8851274038
2,6,7,450,MLSL,944013.273195185
2,6,8,450,MLSL,998627.9359036147
2,6,9,450,MLSL,1568427.2047134966
2,6,10,450,MLSL,626446.3028811256
2,6,11,450,MLSL,1540775.2006507919
2,6,12,450,MLSL,473868.3906795752
2,6,13,450,MLSL,1935639.8125079405
2,6,14,450,MLSL,1000483.5112237802
2,6,15,450,MLSL,999030.5966729757
2,6,16,450,MLSL,581033.6384121907
2,6,17,450,MLSL,1183006.6758830864
2,6,18,450,MLSL,1234748.324933709
2,6,19,450,MLSL,1281061.736250401
2,7,0,450,MLSL,1150054.5109912567
2,7,1,450,MLSL,1290767.8003750285
2,7,2,450,MLSL,1452849.2934429457
2,7,3,450,MLSL,1247959.1184709691
2,7,4,450,MLSL,706470.7896407456
2,7,5,450,MLSL,908078.0923306198
2,7,6,450,MLSL,1275570.6335477994
2,7,7,450,MLSL,656889.9913875572
2,7,8,450,MLSL,1241958.6141281715
2,7,9,450,MLSL,867696.1548908916
2,7,10,450,MLSL,1004956.2462358411
2,7,11,450,MLSL,1272268.2659526232
2,7,12,450,MLSL,937965.8692601183
2,7,13,450,MLSL,918651.3765306324
2,7,14,450,MLSL,563049.8624927386
2,7,15,450,MLSL,1206838.3993955746
2,7,16,450,MLSL,814887.2416105941
2,7,17,450,MLSL,1063955.8437371466
2,7,18,450,MLSL,779597.2034433783
2,7,19,450,MLSL,888921.1802779145
3,1,0,450,MLSL,432.3679321916351
3,1,1,450,MLSL,526.3418360546393
3,1,2,450,MLSL,504.4084124470779
3,1,3,450,MLSL,530.803019434591
3,1,4,450,MLSL,480.61351618793947
3,1,5,450,MLSL,502.28870286334654
3,1,6,450,MLSL,490.28490767162236
3,1,7,450,MLSL,527.6745529997515
3,1,8,450,MLSL,454.34688454639786
3,1,9,450,MLSL,521.1651892340542
3,1,10,450,MLSL,523.6810156150508
3,1,11,450,MLSL,512.395005649954
3,1,12,450,MLSL,508.91010467698027
3,1,13,450,MLSL,541.7550542023222
3,1,14,450,MLSL,518.735387877754
3,1,15,450,MLSL,531.4981707245304
3,1,16,450,MLSL,543.9502951261978
3,1,17,450,MLSL,537.0249940034664
3,1,18,450,MLSL,608.2445257206532
3,1,19,450,MLSL,509.8063002697123
3,2,0,450,MLSL,541.4477601792449
3,2,1,450,MLSL,487.64702770224255
3,2,2,450,MLSL,500.2900976379826
3,2,3,450,MLSL,513.332601236265
3,2,4,450,MLSL,473.90474582851994
3,2,5,450,MLSL,421.085917902256
3,2,6,450,MLSL,541.534938356537
3,2,7,450,MLSL,476.9590187157487
3,2,8,450,MLSL,538.9724826192805
3,2,9,450,MLSL,534.0791730388984
3,2,10,450,MLSL,514.1710892791216
3,2,11,450,MLSL,443.6043430878591
3,2,12,450,MLSL,493.65442158544386
3,2,13,450,MLSL,569.4117608566
3,2,14,450,MLSL,555.4207516791146
3,2,15,450,MLSL,554.4750925909862
3,2,16,450,MLSL,515.91936337299
3,2,17,450,MLSL,432.2916838662644
3,2,18,450,MLSL,543.8934485798789
3,2,19,450,MLSL,516.4438135325471
3,3,0,450,MLSL,574.3899486414193
3,3,1,450,MLSL,524.6722841298431
3,3,2,450,MLSL,548.1199403421019
3,3,3,450,MLSL,499.88881077531966
3,3,4,450,MLSL,551.0146855258281
3,3,5,450,MLSL,555.1335258937668
3,3,6,450,MLSL,537.6039005754881
3,3,7,450,MLSL,518.6215823610407
3,3,8,450,MLSL,490.2320690369125
3,3,9,450,MLSL,509.970308221999
3,3,10,450,MLSL,589.5593638172168
3,3,11,450,MLSL,529.9980980137743
3,3,12,450,MLSL,527.3117173091193
3,3,13,450,MLSL,531.8686182915021
3,3,14,450,MLSL,538.7950931367043
3,3,15,450,MLSL,525.8168634768092
3,3,16,450,MLSL,518.7537421292559
3,3,17,450,MLSL,646.3865452963903
3,3,18,450,MLSL,516.9831978243456
3,3,19,450,MLSL,529.9424020375998
3,4,0,450,MLSL,478.1037965111314
3,4,1,450,MLSL,517.5909909866381
3,4,2,450,MLSL,519.5432433482081
3,4,3,450,MLSL,478.4094919844316
3,4,4,450,MLSL,468.990414481586
3,4,5,450,MLSL,468.5685598232782
3,4,6,450,MLSL,566.3787249537597
3,4,7,450,MLSL,487.3681287962599
3,4,8,450,MLSL,435.18174280804624
3,4,9,450,MLSL,591.7015486792554
3,4,10,450,MLSL,471.8292427376586
3,4,11,450,MLSL,504.96071005089226
3,4,12,450,MLSL,496.0156014637879
3,4,13,450,MLSL,541.2983635859671
3,4,14,450,MLSL,527.5133836475461
3,4,15,450,MLSL,582.9151520826938
3,4,16,450,MLSL,544.4892915544496
3,4,17,450,MLSL,486.9791340515442
3,4,18,450,MLSL,502.11038651832956
3,4,19,450,MLSL,485.6769116890232
3,5,0,450,MLSL,490.809801055244
3,5,1,450,MLSL,594.8028705698462
3,5,2,450,MLSL,504.53283015052926
3,5,3,450,MLSL,467.4994831195266
3,5,4,450,MLSL,506.50939496764255
3,5,5,450,MLSL,499.948362265202
3,5,6,450,MLSL,469.6977983926094
3,5,7,450,MLSL,516.9967765093991
3,5,8,450,MLSL,457.8120517470243
3,5,9,450,MLSL,614.6767047546402
