fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,1000,Non-elitist,2.0215356733980627
1,1,1,1000,Non-elitist,1.8872733599641833
1,1,2,1000,Non-elitist,2.057520972854391
1,1,3,1000,Non-elitist,1.7013093091141513
1,1,4,1000,Non-elitist,1.2060000797624326
1,1,5,1000,Non-elitist,1.4032743908451835
1,1,6,1000,Non-elitist,1.350952049831477
1,1,7,1000,Non-elitist,1.3458854084672538
1,1,8,1000,Non-elitist,2.5168082341678826
1,1,9,1000,Non-elitist,1.8785435472021987
1,1,10,1000,Non-elitist,2.43815187983229
1,1,11,1000,Non-elitist,1.0623863189044442
1,1,12,1000,Non-elitist,1.4570491075759406
1,1,13,1000,Non-elitist,1.393995848025554
1,1,14,1000,Non-elitist,1.672318194324049
1,1,15,1000,Non-elitist,1.0717310454996465
1,1,16,1000,Non-elitist,3.2812364232763827
1,1,17,1000,Non-elitist,1.5338944595880548
1,1,18,1000,Non-elitist,2.3828126391330215
1,1,19,1000,Non-elitist,1.5148140385457367
1,2,0,1000,Non-elitist,1.1538051719921327
1,2,1,1000,Non-elitist,2.1206295604640104
1,2,2,1000,Non-elitist,2.223199418779359
1,2,3,1000,Non-elitist,1.5026838862552268
1,2,4,1000,Non-elitist,1.7254037922147063
1,2,5,1000,Non-elitist,2.178787862153456
1,2,6,1000,Non-elitist,1.0747363884148058
1,2,7,1000,Non-elitist,1.8768399542665861
1,2,8,1000,Non-elitist,1.6132080794563421
1,2,9,1000,Non-elitist,1.2824091493117749
1,2,10,1000,Non-elitist,1.235445093397857
1,2,11,1000,Non-elitist,2.4270366624149347
1,2,12,1000,Non-elitist,1.3350730431048419
1,2,13,1000,Non-elitist,1.3633029690202534
1,2,14,1000,Non-elitist,1.4499244012783379
1,2,15,1000,Non-elitist,1.766607599596739
1,2,16,1000,Non-elitist,1.227697323396626
1,2,17,1000,Non-elitist,2.5399892417966043
1,2,18,1000,Non-elitist,2.147952922467937
1,2,19,1000,Non-elitist,1.4773893029136502
1,3,0,1000,Non-elitist,1.4770870602232549
1,3,1,1000,Non-elitist,1.7696570746381326
1,3,2,1000,Non-elitist,2.3287873733426636
1,3,3,1000,Non-elitist,1.6487963013774447
1,3,4,1000,Non-elitist,0.9990120187235618
1,3,5,1000,Non-elitist,1.0448596898174287
1,3,6,1000,Non-elitist,1.6640875706399072
1,3,7,1000,Non-elitist,1.5669391752737738
1,3,8,1000,Non-elitist,0.9771928267201702
1,3,9,1000,Non-elitist,1.1678112528738325
1,3,10,1000,Non-elitist,1.6924031803156367
1,3,11,1000,Non-elitist,1.694920305134758
1,3,12,1000,Non-elitist,1.1545574016335536
1,3,13,1000,Non-elitist,1.773639219624414
1,3,14,1000,Non-elitist,1.0730479830986042
1,3,15,1000,Non-elitist,1.3456450644061988
1,3,16,1000,Non-elitist,1.4784605505979584
1,3,17,1000,Non-elitist,1.9323971416995676
1,3,18,1000,Non-elitist,1.7755095120217845
1,3,19,1000,Non-elitist,2.709625595475302
1,4,0,1000,Non-elitist,1.838733976544603
1,4,1,1000,Non-elitist,1.1693682434370771
1,4,2,1000,Non-elitist,1.8092978704526104
1,4,3,1000,Non-elitist,2.5621710930715267
1,4,4,1000,Non-elitist,2.0655079062614163
1,4,5,1000,Non-elitist,1.6054604363832254
1,4,6,1000,Non-elitist,1.6067549659602776
1,4,7,1000,Non-elitist,2.141501059586517
1,4,8,1000,Non-elitist,1.8257366077851316
1,4,9,1000,Non-elitist,1.5276254990910445
1,4,10,1000,Non-elitist,1.806617331487729
1,4,11,1000,Non-elitist,1.3520726409729775
1,4,12,1000,Non-elitist,1.6154763134568384
1,4,13,1000,Non-elitist,1.3207473572453807
1,4,14,1000,Non-elitist,1.3184704879960805
1,4,15,1000,Non-elitist,1.7976646911897376
1,4,16,1000,Non-elitist,1.3728852233317355
1,4,17,1000,Non-elitist,2.5861262128119904
1,4,18,1000,Non-elitist,3.0866168397822378
1,4,19,1000,Non-elitist,2.7813324083137445
1,5,0,1000,Non-elitist,1.3459537686289487
1,5,1,1000,Non-elitist,1.0964331243897156
1,5,2,1000,Non-elitist,1.4421085619779248
1,5,3,1000,Non-elitist,1.158743761572378
1,5,4,1000,Non-elitist,1.7179640071566098
1,5,5,1000,Non-elitist,1.3849227184296602
1,5,6,1000,Non-elitist,2.7457529818381836
1,5,7,1000,Non-elitist,2.016507037199048
1,5,8,1000,Non-elitist,1.76045496538093
1,5,9,1000,Non-elitist,1.6739262278235536
1,5,10,1000,Non-elitist,1.8845942561010816
1,5,11,1000,Non-elitist,1.0296534730102778
1,5,12,1000,Non-elitist,1.7889795045025103
1,5,13,1000,Non-elitist,1.6672850204298122
1,5,14,1000,Non-elitist,0.9498117298631641
1,5,15,1000,Non-elitist,1.2095882822514916
1,5,16,1000,Non-elitist,1.542805244070145
1,5,17,1000,Non-elitist,2.442771269460689
1,5,18,1000,Non-elitist,3.0392556970198292
1,5,19,1000,Non-elitist,1.5820328528204506
1,6,0,1000,Non-elitist,1.4999508642948456
1,6,1,1000,Non-elitist,1.4396156095195352
1,6,2,1000,Non-elitist,1.0980756975618817
1,6,3,1000,Non-elitist,1.5869288621982491
1,6,4,1000,Non-elitist,1.225438226272928
1,6,5,1000,Non-elitist,1.549963604953092
1,6,6,1000,Non-elitist,1.7736008078678083
1,6,7,1000,Non-elitist,1.67958788761959
1,6,8,1000,Non-elitist,1.254361719599359
1,6,9,1000,Non-elitist,1.4886686295779157
1,6,10,1000,Non-elitist,1.9112004464535062
1,6,11,1000,Non-elitist,1.4788940069052785
1,6,12,1000,Non-elitist,1.4246576370666162
1,6,13,1000,Non-elitist,1.6086968432334174
1,6,14,1000,Non-elitist,1.4747074892391936
1,6,15,1000,Non-elitist,1.9992891650686033
1,6,16,1000,Non-elitist,1.7746818961200574
1,6,17,1000,Non-elitist,1.7315320493702302
1,6,18,1000,Non-elitist,2.1528065059761445
1,6,19,1000,Non-elitist,1.2174460121719335
1,7,0,1000,Non-elitist,1.6580530765974117
1,7,1,1000,Non-elitist,2.1506544029684846
1,7,2,1000,Non-elitist,1.4270948906856802
1,7,3,1000,Non-elitist,1.6237909592676942
1,7,4,1000,Non-elitist,1.4086630012812975
1,7,5,1000,Non-elitist,1.2975238671835996
1,7,6,1000,Non-elitist,1.9146149385779836
1,7,7,1000,Non-elitist,2.2834336071102825
1,7,8,1000,Non-elitist,1.6623064775465082
1,7,9,1000,Non-elitist,1.640917514422199
1,7,10,1000,Non-elitist,2.326770670550104
1,7,11,1000,Non-elitist,1.7388227033320618
1,7,12,1000,Non-elitist,1.23165817873155
1,7,13,1000,Non-elitist,1.1486114731903854
1,7,14,1000,Non-elitist,1.118221593755493
1,7,15,1000,Non-elitist,1.3397442441614658
1,7,16,1000,Non-elitist,1.3393148821662635
1,7,17,1000,Non-elitist,1.5914177614583878
1,7,18,1000,Non-elitist,1.311200859154951
1,7,19,1000,Non-elitist,1.6260279085665843
