fid,iid,rep,iteration,evaluations,sigma,t,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,ps_squared,loglikelihood,mhl_norm,mhl_mean
11,1,0,1,15,1.8861410366695102,1,6.309441023552126,0.997590486164105,3.1265267071077796,-0.07167429194371332,2.651412526339386,-0.06078250188749036,9.775169250258216,-1289.993448174263,26.855753201061233,6.822595823587188
11,1,0,2,30,1.8216535145846857,2,6.298253073336513,0.9957982017125749,4.410489849739547,-0.09512696083285546,3.810935557123328,-0.08301840606097956,19.45242071465557,-1215.7880735293738,24.789320352658688,6.346612469322647
11,1,0,3,45,1.7639290509791994,3,6.284064269655372,0.9935266746511278,4.54992732304837,-0.1304392939190883,4.015868466777238,-0.11462847855888918,20.7018386450221,-1222.2751174261139,25.95617656028049,6.621449834648104
11,1,0,4,60,1.7221348734370545,4,6.270704650155259,0.9913894621280381,4.9929992838468875,-0.1934273715822026,4.488239915357748,-0.17227977295852928,24.930041848495534,-1171.453699246343,24.55982158809317,6.256644229476848
11,1,0,5,75,1.6664844722511185,5,6.259843156694947,0.9896502511212049,4.515031279399872,-0.05593542775075884,4.112976499503921,-0.05993808247908914,20.385507453959235,-1129.4858900492416,23.67716342411506,6.069819555318667
11,1,0,6,90,1.614098929757961,6,6.2451846282069745,0.9873075926734757,4.564016100801555,-0.0753232571081935,4.164056459738178,-0.07671442414254237,20.830242968375828,-1159.2297283341286,25.819808519332177,6.577900489761084
11,1,0,7,105,1.5733587885011462,7,6.2324602325075915,0.985267788590663,4.907575699345888,0.06153689279978749,4.483792700290549,0.03470849874959483,24.084299244810293,-1142.3741074068887,25.790856042055363,6.5627599261111245
11,1,0,8,120,1.5582106588908944,8,6.2219343066148305,0.9835572197894609,5.763859348706197,0.08305407690308415,5.313574532693021,0.05403067561576032,33.22207459166783,-1100.3265271894584,24.388456626163382,6.252635248787308
11,1,0,9,135,1.5459994931790284,9,6.20969900254114,0.9815811312534553,5.861238321889276,-0.08608216439812696,5.455086780160379,-0.0815030126730493,34.35411466598342,-1097.079541640279,24.54400427396353,6.230227677243901
11,1,0,10,150,1.5369329911075602,10,6.198189463087711,0.9797153635232757,5.968250449519688,0.03285717386098262,5.600719867838355,0.015358384928801715,35.62001342819197,-1065.6773573454807,23.41973987414674,5.993694927091899
11,1,0,11,165,1.5264908146895078,11,6.187714305730884,0.9780004257461663,5.9178317681326424,0.08190977354265769,5.644909656295665,0.05787349297300152,35.020732835919915,-1114.2561390734845,25.697575000655224,6.573125457718331
11,1,0,12,180,1.5111948382626772,12,6.177219218019482,0.976294495514842,5.742500054023713,0.09237812845295237,5.480624605184693,0.06918527441713196,32.976306870462345,-1048.6353848243243,23.25821782864394,5.914841121071306
11,1,0,13,195,1.4936371228741947,13,6.165049643303208,0.9743235884507314,5.655438425897134,0.08104957548644351,5.28222923288381,0.06286570677640994,31.98398378911385,-1071.9883937890904,24.618481653498893,6.294582306587389
11,1,0,14,210,1.481130478108553,14,6.1532130213941025,0.9724130123356073,5.832083708983158,0.12403683801716463,5.324261947284016,0.1020584674080903,34.01320038858677,-1032.8018150713608,23.281452393968298,5.93305461711058
11,1,0,15,225,1.457810960991807,15,6.141589558562956,0.9705332658607777,5.430007512904695,0.13276458369430022,4.976859373194932,0.11407122827637313,29.484981590201432,-1034.357111745896,23.793276085251687,6.079692385278668
11,1,0,16,240,1.453513442181918,16,6.13049238428607,0.96871737394228,6.126118332986228,0.15595615915598465,5.6266191343184655,0.1380234134785953,37.529325829749965,-1049.196245707653,24.593197107495083,6.256781983065281
11,1,0,17,255,1.4306019060647532,17,6.117906722878928,0.9666816221395138,5.428996756247431,0.14651702386274085,5.16059875767712,0.13324099195371678,29.474005779345134,-1025.227135326761,24.078054646567196,6.136873690436598
11,1,0,18,270,1.393020109001689,18,6.105454703413839,0.9646691104850401,4.850616387195858,0.10802618367334813,4.663530982956842,0.10347176571364407,23.528479335733003,-1030.083057121043,25.059139847847188,6.410370201661282
11,1,0,19,285,1.3547102937609767,19,6.092545135356345,0.9625911298094882,4.782426516388094,0.09220636923913719,4.553950665273989,0.0938675961275194,22.871603384651962,-1004.857481011741,24.771154016250204,6.322211003192094
11,1,0,20,300,1.3299915294438809,20,6.082628417469854,0.9609971707482214,5.292837894158366,0.14532781174827286,4.768893772416304,0.13555376531033964,28.01413297383877,-1010.8628668873454,25.467308808976657,6.514115468254421
11,1,0,21,315,1.3093150342498918,21,6.071752386478985,0.9592285398638719,5.440850957456371,0.15473790745743715,4.802643803964622,0.14613235599656546,29.602859141253916,-1011.4353217240298,25.926321636333647,6.592348100276268
11,1,0,22,330,1.2911677918107412,22,6.0588371818393085,0.9571713035415955,5.533077131841648,0.08108758245183566,4.873164409176365,0.08917366283917202,30.614942546908996,-967.879586478652,24.588723086787773,6.253968447464097
11,1,0,23,345,1.2730761618602713,23,6.048301674716124,0.9554664600008712,5.524784870098082,0.19493488181115456,4.931071359609248,0.18325205954052473,30.52324786086468,-962.175186844316,24.811546457874723,6.350344374515128
11,1,0,24,360,1.2492326619049188,24,6.034915285778786,0.9533037091365909,5.26634576567979,0.2324895685429887,4.784870358731243,0.21761265714355296,27.734397723693448,-943.2506727426543,24.581040010707,6.228941594092473
