iid,rep,a1_budget,algname,achieved_auc,fid_a,fid_b,alpha
6,0,650,BFGS,1260.328614168,2,10,0.9
6,1,650,BFGS,1421.2824534488047,2,10,0.9
6,2,650,BFGS,1251.2872833238848,2,10,0.9
6,3,650,BFGS,1534.0574229215722,2,10,0.9
6,4,650,BFGS,1335.6889833096202,2,10,0.9
6,5,650,BFGS,1512.8275325569273,2,10,0.9
6,6,650,BFGS,1485.9852481478126,2,10,0.9
6,7,650,BFGS,1485.3988278678316,2,10,0.9
6,8,650,BFGS,1492.74080782073,2,10,0.9
6,9,650,BFGS,1485.0540377873847,2,10,0.9
6,10,650,BFGS,1329.5677996312818,2,10,0.9
6,11,650,BFGS,1320.3354416815455,2,10,0.9
6,12,650,BFGS,1402.782117760802,2,10,0.9
6,13,650,BFGS,1314.4126658344155,2,10,0.9
6,14,650,BFGS,1480.179063992656,2,10,0.9
6,15,650,BFGS,1170.6991935925569,2,10,0.9
6,16,650,BFGS,1458.891328737117,2,10,0.9
6,17,650,BFGS,1525.6567073579795,2,10,0.9
6,18,650,BFGS,1448.3633301278294,2,10,0.9
6,19,650,BFGS,1506.2276566803234,2,10,0.9
7,0,650,BFGS,1214.4504772321961,2,10,0.9
7,1,650,BFGS,1341.211688383033,2,10,0.9
7,2,650,BFGS,1044.8306026820183,2,10,0.9
7,3,650,BFGS,1274.7878794401481,2,10,0.9
7,4,650,BFGS,1101.8604290685314,2,10,0.9
7,5,650,BFGS,1284.1032144676203,2,10,0.9
7,6,650,BFGS,1569.3531147940885,2,10,0.9
7,7,650,BFGS,1100.4326188012978,2,10,0.9
7,8,650,BFGS,1263.6304719559575,2,10,0.9
7,9,650,BFGS,1163.0199841927058,2,10,0.9
7,10,650,BFGS,1219.2220488118978,2,10,0.9
7,11,650,BFGS,1315.1217468259076,2,10,0.9
7,12,650,BFGS,1174.4507430747644,2,10,0.9
7,13,650,BFGS,1414.5323706221168,2,10,0.9
7,14,650,BFGS,1297.8981143958088,2,10,0.9
7,15,650,BFGS,1172.8449568811923,2,10,0.9
7,16,650,BFGS,996.4801663567098,2,10,0.9
7,17,650,BFGS,1320.12394821233,2,10,0.9
7,18,650,BFGS,1284.285992543479,2,10,0.9
7,19,650,BFGS,1224.4518943148084,2,10,0.9
6,0,650,BFGS,1612.7015451888738,2,10,0.7
6,1,650,BFGS,1464.8987816773285,2,10,0.7
6,2,650,BFGS,1525.5603644359412,2,10,0.7
6,3,650,BFGS,1384.3360642099874,2,10,0.7
6,4,650,BFGS,1532.9056879721134,2,10,0.7
6,5,650,BFGS,1267.5317223961742,2,10,0.7
6,6,650,BFGS,1263.6775581931718,2,10,0.7
6,7,650,BFGS,1482.5306283082914,2,10,0.7
6,8,650,BFGS,1428.209547873167,2,10,0.7
6,9,650,BFGS,1607.3363070381606,2,10,0.7
6,10,650,BFGS,1389.3820275154094,2,10,0.7
6,11,650,BFGS,1354.2472529081188,2,10,0.7
6,12,650,BFGS,1320.6905130887658,2,10,0.7
6,13,650,BFGS,1609.5879085816507,2,10,0.7
6,14,650,BFGS,1449.8204125463924,2,10,0.7
6,15,650,BFGS,1557.094689369577,2,10,0.7
6,16,650,BFGS,1595.8241064479012,2,10,0.7
6,17,650,BFGS,1574.3208403728383,2,10,0.7
6,18,650,BFGS,1466.0417943508476,2,10,0.7
6,19,650,BFGS,1671.3262451721305,2,10,0.7
7,0,650,BFGS,1116.934443514273,2,10,0.7
7,1,650,BFGS,1301.8834670679912,2,10,0.7
7,2,650,BFGS,1293.4747923654018,2,10,0.7
7,3,650,BFGS,1346.2911843882655,2,10,0.7
7,4,650,BFGS,1585.6713287055604,2,10,0.7
7,5,650,BFGS,1205.2814763042932,2,10,0.7
7,6,650,BFGS,1119.5351528470032,2,10,0.7
7,7,650,BFGS,1520.7535358551572,2,10,0.7
7,8,650,BFGS,1399.9545172390656,2,10,0.7
7,9,650,BFGS,1081.4474670960803,2,10,0.7
7,10,650,BFGS,1555.946885885594,2,10,0.7
7,11,650,BFGS,1381.2112131104818,2,10,0.7
7,12,650,BFGS,1384.7598221510618,2,10,0.7
7,13,650,BFGS,1222.7028628689852,2,10,0.7
7,14,650,BFGS,1377.3072355360773,2,10,0.7
7,15,650,BFGS,1291.3227116583898,2,10,0.7
7,16,650,BFGS,1268.9192057630985,2,10,0.7
7,17,650,BFGS,1398.5145133035305,2,10,0.7
7,18,650,BFGS,1438.6021119533762,2,10,0.7
7,19,650,BFGS,1387.6090724260575,2,10,0.7
6,0,650,BFGS,1579.9170405110701,2,10,0.5
6,1,650,BFGS,1600.4547279081628,2,10,0.5
6,2,650,BFGS,1334.3654298951042,2,10,0.5
6,3,650,BFGS,1572.6904294994827,2,10,0.5
6,4,650,BFGS,1720.955354780457,2,10,0.5
6,5,650,BFGS,1666.3611041333886,2,10,0.5
6,6,650,BFGS,1451.4658054479492,2,10,0.5
6,7,650,BFGS,1295.3169267161984,2,10,0.5
6,8,650,BFGS,1535.632853218184,2,10,0.5
6,9,650,BFGS,1436.1912216866483,2,10,0.5
6,10,650,BFGS,1319.8608016821051,2,10,0.5
6,11,650,BFGS,1768.358540273734,2,10,0.5
6,12,650,BFGS,1493.9786551677998,2,10,0.5
6,13,650,BFGS,1399.0962948077308,2,10,0.5
6,14,650,BFGS,1561.4807731457304,2,10,0.5
6,15,650,BFGS,1390.9406840542515,2,10,0.5
6,16,650,BFGS,1353.1817460958582,2,10,0.5
6,17,650,BFGS,1476.1859943841064,2,10,0.5
6,18,650,BFGS,1340.200483971977,2,10,0.5
6,19,650,BFGS,1846.7987799352798,2,10,0.5
7,0,650,BFGS,1385.747633210513,2,10,0.5
7,1,650,BFGS,1381.7598258028365,2,10,0.5
7,2,650,BFGS,1235.0175461771764,2,10,0.5
7,3,650,BFGS,1267.546532109329,2,10,0.5
7,4,650,BFGS,1413.1822606723804,2,10,0.5
7,5,650,BFGS,1402.802253143746,2,10,0.5
7,6,650,BFGS,1282.5132795534496,2,10,0.5
7,7,650,BFGS,1485.677552635545,2,10,0.5
7,8,650,BFGS,1675.1765894377,2,10,0.5
7,9,650,BFGS,1295.4488202272157,2,10,0.5
7,10,650,BFGS,1588.8977075878577,2,10,0.5
7,11,650,BFGS,1375.0036181234054,2,10,0.5
7,12,650,BFGS,1361.7951124849706,2,10,0.5
7,13,650,BFGS,1374.0260163295552,2,10,0.5
7,14,650,BFGS,1408.8998430186082,2,10,0.5
7,15,650,BFGS,1497.8405061115636,2,10,0.5
7,16,650,BFGS,1202.4584935631133,2,10,0.5
7,17,650,BFGS,1474.7539665210895,2,10,0.5
7,18,650,BFGS,1375.6241146186649,2,10,0.5
7,19,650,BFGS,1433.1104524174534,2,10,0.5
6,0,650,BFGS,1578.1321010235945,2,10,0.3
6,1,650,BFGS,1519.249794864293,2,10,0.3
6,2,650,BFGS,1460.8955042358589,2,10,0.3
6,3,650,BFGS,1503.1791186276319,2,10,0.3
6,4,650,BFGS,1397.5027683620538,2,10,0.3
6,5,650,BFGS,1654.2215418622668,2,10,0.3
6,6,650,BFGS,1713.7244036848317,2,10,0.3
6,7,650,BFGS,1330.640375098682,2,10,0.3
6,8,650,BFGS,1581.4563377289542,2,10,0.3
6,9,650,BFGS,1222.7520368614273,2,10,0.3
6,10,650,BFGS,1449.402067986938,2,10,0.3
6,11,650,BFGS,1383.8847954152118,2,10,0.3
6,12,650,BFGS,1409.426111949606,2,10,0.3
6,13,650,BFGS,1518.5186288230227,2,10,0.3
6,14,650,BFGS,1488.6490234698654,2,10,0.3
6,15,650,BFGS,1810.0095506056773,2,10,0.3
6,16,650,BFGS,1799.1934268277446,2,10,0.3
6,17,650,BFGS,1523.6022180144132,2,10,0.3
6,18,650,BFGS,1524.191266168198,2,10,0.3
6,19,650,BFGS,1704.4852518010273,2,10,0.3
7,0,650,BFGS,1695.2297996102106,2,10,0.3
7,1,650,BFGS,1684.4270694140832,2,10,0.3
7,2,650,BFGS,1342.7759759829196,2,10,0.3
7,3,650,BFGS,1375.7093414310725,2,10,0.3
7,4,650,BFGS,1419.0296836076388,2,10,0.3
7,5,650,BFGS,1591.3169699619675,2,10,0.3
7,6,650,BFGS,1667.82230578742,2,10,0.3
7,7,650,BFGS,1516.3088425282904,2,10,0.3
7,8,650,BFGS,1497.186018947091,2,10,0.3
7,9,650,BFGS,1461.980791258942,2,10,0.3
7,10,650,BFGS,1583.438286524814,2,10,0.3
7,11,650,BFGS,1234.4220427912774,2,10,0.3
7,12,650,BFGS,1566.6682445318422,2,10,0.3
7,13,650,BFGS,1319.3674809310985,2,10,0.3
7,14,650,BFGS,1415.2677756241835,2,10,0.3
7,15,650,BFGS,1652.1028798642105,2,10,0.3
7,16,650,BFGS,1089.549658943883,2,10,0.3
7,17,650,BFGS,1534.375504691129,2,10,0.3
7,18,650,BFGS,1469.4648221046416,2,10,0.3
7,19,650,BFGS,1423.3848206162547,2,10,0.3
6,0,650,BFGS,1424.5654825527704,2,10,0.1
6,1,650,BFGS,1643.4713597940745,2,10,0.1
6,2,650,BFGS,1445.2761010841273,2,10,0.1
6,3,650,BFGS,1273.6509871250544,2,10,0.1
6,4,650,BFGS,1449.4622720148577,2,10,0.1
6,5,650,BFGS,1461.4368896936726,2,10,0.1
6,6,650,BFGS,1788.0155929702976,2,10,0.1
6,7,650,BFGS,1542.171851966056,2,10,0.1
6,8,650,BFGS,1505.6874287685798,2,10,0.1
6,9,650,BFGS,1322.4855517610586,2,10,0.1
6,10,650,BFGS,1326.1483806623166,2,10,0.1
6,11,650,BFGS,1677.6802987803073,2,10,0.1
6,12,650,BFGS,1548.2038937459688,2,10,0.1
6,13,650,BFGS,1650.540609813438,2,10,0.1
6,14,650,BFGS,1745.7120905224667,2,10,0.1
6,15,650,BFGS,1601.0043588102185,2,10,0.1
6,16,650,BFGS,1579.9957031657168,2,10,0.1
6,17,650,BFGS,1442.1904252250138,2,10,0.1
6,18,650,BFGS,1622.522018082389,2,10,0.1
6,19,650,BFGS,1655.069884271592,2,10,0.1
7,0,650,BFGS,1281.539256912224,2,10,0.1
7,1,650,BFGS,1482.0337768364843,2,10,0.1
7,2,650,BFGS,1262.9035649149623,2,10,0.1
7,3,650,BFGS,1253.1812704371896,2,10,0.1
7,4,650,BFGS,1431.6553077473109,2,10,0.1
7,5,650,BFGS,1703.1112435924329,2,10,0.1
7,6,650,BFGS,1395.101922268545,2,10,0.1
7,7,650,BFGS,1453.3146161635539,2,10,0.1
7,8,650,BFGS,1335.7672475551954,2,10,0.1
7,9,650,BFGS,1217.8498383252572,2,10,0.1
7,10,650,BFGS,1777.493919153484,2,10,0.1
7,11,650,BFGS,1674.1913346274237,2,10,0.1
7,12,650,BFGS,1294.335264998428,2,10,0.1
7,13,650,BFGS,1371.7556041059863,2,10,0.1
7,14,650,BFGS,1507.5982095438194,2,10,0.1
7,15,650,BFGS,1477.9765540530152,2,10,0.1
7,16,650,BFGS,1358.7191115730984,2,10,0.1
7,17,650,BFGS,1268.6348523578743,2,10,0.1
7,18,650,BFGS,1494.6850917309916,2,10,0.1
7,19,650,BFGS,1534.395670961463,2,10,0.1
6,0,650,BFGS,6932.127355461667,24,21,0.9
6,1,650,BFGS,6436.963353633703,24,21,0.9
6,2,650,BFGS,6491.676599950714,24,21,0.9
6,3,650,BFGS,7029.161717847515,24,21,0.9
6,4,650,BFGS,8025.715013934292,24,21,0.9
6,5,650,BFGS,7779.455078418798,24,21,0.9
6,6,650,BFGS,6211.5944788605775,24,21,0.9
6,7,650,BFGS,8347.1171268358,24,21,0.9
6,8,650,BFGS,8189.497808718708,24,21,0.9
6,9,650,BFGS,8015.8145238802845,24,21,0.9
6,10,650,BFGS,6300.26095244149,24,21,0.9
6,11,650,BFGS,6663.028133539538,24,21,0.9
6,12,650,BFGS,7973.302959035576,24,21,0.9
6,13,650,BFGS,6546.637288144904,24,21,0.9
6,14,650,BFGS,6424.126669176381,24,21,0.9
6,15,650,BFGS,6651.4957598474775,24,21,0.9
6,16,650,BFGS,6580.885719021693,24,21,0.9
6,17,650,BFGS,7230.435996295957,24,21,0.9
6,18,650,BFGS,7761.097494628596,24,21,0.9
6,19,650,BFGS,6056.95487473157,24,21,0.9
7,0,650,BFGS,6434.6484224130945,24,21,0.9
7,1,650,BFGS,7952.330937454895,24,21,0.9
7,2,650,BFGS,6762.51336567681,24,21,0.9
7,3,650,BFGS,8006.393455714728,24,21,0.9
7,4,650,BFGS,8041.939042015783,24,21,0.9
7,5,650,BFGS,6319.319605947562,24,21,0.9
7,6,650,BFGS,8104.194054595716,24,21,0.9
7,7,650,BFGS,8006.872618370629,24,21,0.9
7,8,650,BFGS,6675.959998467137,24,21,0.9
