iid,rep,a1_budget,algname,achieved_auc,fid_a,fid_b,alpha
6,0,400,DE,1494.3826523357961,2,10,0.9
6,1,400,DE,1522.5998063059897,2,10,0.9
6,2,400,DE,1325.263184367349,2,10,0.9
6,3,400,DE,2059.813031538976,2,10,0.9
6,4,400,DE,1543.9081083706865,2,10,0.9
6,5,400,DE,1786.0824878908634,2,10,0.9
6,6,400,DE,1873.3984470214764,2,10,0.9
6,7,400,DE,1581.9825938400609,2,10,0.9
6,8,400,DE,1598.6697820512313,2,10,0.9
6,9,400,DE,1591.9483334077904,2,10,0.9
6,10,400,DE,1797.432603340072,2,10,0.9
6,11,400,DE,1432.7497107453696,2,10,0.9
6,12,400,DE,1500.864227790082,2,10,0.9
6,13,400,DE,1617.1091991270287,2,10,0.9
6,14,400,DE,1887.3017415685204,2,10,0.9
6,15,400,DE,1247.7349084788273,2,10,0.9
6,16,400,DE,1560.4595835424211,2,10,0.9
6,17,400,DE,1771.6771558934859,2,10,0.9
6,18,400,DE,1554.2403875591729,2,10,0.9
6,19,400,DE,1662.4612980310305,2,10,0.9
7,0,400,DE,1505.484384038507,2,10,0.9
7,1,400,DE,1663.0252650371967,2,10,0.9
7,2,400,DE,1246.8580059958504,2,10,0.9
7,3,400,DE,1545.2764950163623,2,10,0.9
7,4,400,DE,1356.3298286211193,2,10,0.9
7,5,400,DE,1533.0202700490133,2,10,0.9
7,6,400,DE,1978.2125275202918,2,10,0.9
7,7,400,DE,1316.0966303777868,2,10,0.9
7,8,400,DE,1407.2473000965483,2,10,0.9
7,9,400,DE,1341.615019056893,2,10,0.9
7,10,400,DE,1298.9843076989746,2,10,0.9
7,11,400,DE,1545.1900406438776,2,10,0.9
7,12,400,DE,1528.1375594247265,2,10,0.9
7,13,400,DE,1634.7431366254532,2,10,0.9
7,14,400,DE,1467.938925710109,2,10,0.9
7,15,400,DE,1391.2059016404583,2,10,0.9
7,16,400,DE,1074.5916853373433,2,10,0.9
7,17,400,DE,1479.6364608981207,2,10,0.9
7,18,400,DE,1564.7439693423476,2,10,0.9
7,19,400,DE,1455.4994856104445,2,10,0.9
6,0,400,DE,1892.9002972089484,2,10,0.7
6,1,400,DE,1704.449299280555,2,10,0.7
6,2,400,DE,1799.74423853077,2,10,0.7
6,3,400,DE,1515.2321160467584,2,10,0.7
6,4,400,DE,1612.5074197485392,2,10,0.7
6,5,400,DE,1393.3453846055813,2,10,0.7
6,6,400,DE,1589.9200322710249,2,10,0.7
6,7,400,DE,1662.2360786899585,2,10,0.7
6,8,400,DE,1605.1636592013206,2,10,0.7
6,9,400,DE,1733.8869060499635,2,10,0.7
6,10,400,DE,1594.0247266535716,2,10,0.7
6,11,400,DE,1745.0745807649287,2,10,0.7
6,12,400,DE,1407.4364896044017,2,10,0.7
6,13,400,DE,1774.0591547678187,2,10,0.7
6,14,400,DE,1661.310518995631,2,10,0.7
6,15,400,DE,1781.480914872106,2,10,0.7
6,16,400,DE,1821.76469209023,2,10,0.7
6,17,400,DE,1885.272921940713,2,10,0.7
6,18,400,DE,1599.4103419160324,2,10,0.7
6,19,400,DE,1798.4481430344767,2,10,0.7
7,0,400,DE,1417.539896817073,2,10,0.7
7,1,400,DE,1441.050083216467,2,10,0.7
7,2,400,DE,1683.5105443491493,2,10,0.7
7,3,400,DE,1596.838579135956,2,10,0.7
7,4,400,DE,1864.946690266582,2,10,0.7
7,5,400,DE,1358.6962729363693,2,10,0.7
7,6,400,DE,1274.204072597929,2,10,0.7
7,7,400,DE,1618.5180089064,2,10,0.7
7,8,400,DE,1541.3422383855618,2,10,0.7
7,9,400,DE,1283.551580644907,2,10,0.7
7,10,400,DE,1722.4668010576052,2,10,0.7
7,11,400,DE,1517.9126517591226,2,10,0.7
7,12,400,DE,1604.2450637053296,2,10,0.7
7,13,400,DE,1317.4513948444687,2,10,0.7
7,14,400,DE,1584.8814443395786,2,10,0.7
7,15,400,DE,1552.4818196118858,2,10,0.7
7,16,400,DE,1371.6147566150787,2,10,0.7
7,17,400,DE,1605.5825927963438,2,10,0.7
7,18,400,DE,1686.206731273676,2,10,0.7
7,19,400,DE,1537.25803752807,2,10,0.7
6,0,400,DE,1925.9626439172343,2,10,0.5
6,1,400,DE,1811.8435549369458,2,10,0.5
6,2,400,DE,1620.061304642068,2,10,0.5
6,3,400,DE,1962.457640511747,2,10,0.5
6,4,400,DE,2048.672131093154,2,10,0.5
6,5,400,DE,2075.561328627195,2,10,0.5
6,6,400,DE,1742.6730059467227,2,10,0.5
6,7,400,DE,1474.4605670409633,2,10,0.5
6,8,400,DE,1632.9140961679973,2,10,0.5
6,9,400,DE,1604.8657022783175,2,10,0.5
6,10,400,DE,1667.6501889397646,2,10,0.5
6,11,400,DE,1991.541780387131,2,10,0.5
6,12,400,DE,1876.1398187038426,2,10,0.5
6,13,400,DE,1584.6417494483176,2,10,0.5
6,14,400,DE,1852.3324601252016,2,10,0.5
6,15,400,DE,1685.3202528733173,2,10,0.5
6,16,400,DE,1583.1086319605072,2,10,0.5
6,17,400,DE,1707.622885745991,2,10,0.5
6,18,400,DE,1442.984127499466,2,10,0.5
6,19,400,DE,2157.083016468567,2,10,0.5
7,0,400,DE,1732.4341954757497,2,10,0.5
7,1,400,DE,1637.901240463102,2,10,0.5
