iid,rep,a1_budget,algname,achieved_auc,fid_a,fid_b,alpha
6,0,200,Elitist,1279.5029465145492,2,10,0.9
6,1,200,Elitist,1304.0786959017787,2,10,0.9
6,2,200,Elitist,1218.2917789529274,2,10,0.9
6,3,200,Elitist,1313.0066918451153,2,10,0.9
6,4,200,Elitist,1097.3385777088358,2,10,0.9
6,5,200,Elitist,1315.1498458848425,2,10,0.9
6,6,200,Elitist,1535.255881720663,2,10,0.9
6,7,200,Elitist,1346.909634272339,2,10,0.9
6,8,200,Elitist,1162.6875618065887,2,10,0.9
6,9,200,Elitist,1194.4032214696274,2,10,0.9
6,10,200,Elitist,1225.5245675292545,2,10,0.9
6,11,200,Elitist,1278.8675338963656,2,10,0.9
6,12,200,Elitist,1276.0438640223563,2,10,0.9
6,13,200,Elitist,1230.8854838553548,2,10,0.9
6,14,200,Elitist,1547.242508260564,2,10,0.9
6,15,200,Elitist,1012.4557534046545,2,10,0.9
6,16,200,Elitist,1371.272791123195,2,10,0.9
6,17,200,Elitist,1343.8613338180082,2,10,0.9
6,18,200,Elitist,1143.844804785096,2,10,0.9
6,19,200,Elitist,1398.9050870003766,2,10,0.9
7,0,200,Elitist,1269.2591141779972,2,10,0.9
7,1,200,Elitist,1209.9473141755943,2,10,0.9
7,2,200,Elitist,1021.4458642759078,2,10,0.9
7,3,200,Elitist,1159.4983435422319,2,10,0.9
7,4,200,Elitist,1093.0781027375065,2,10,0.9
7,5,200,Elitist,1197.8978734164223,2,10,0.9
7,6,200,Elitist,1389.381800896098,2,10,0.9
7,7,200,Elitist,1132.1547483594861,2,10,0.9
7,8,200,Elitist,1141.7075932076905,2,10,0.9
7,9,200,Elitist,1051.4636572662885,2,10,0.9
7,10,200,Elitist,1173.4765963940222,2,10,0.9
7,11,200,Elitist,1242.7735117176069,2,10,0.9
7,12,200,Elitist,1059.8875721762215,2,10,0.9
7,13,200,Elitist,1360.8343648183384,2,10,0.9
7,14,200,Elitist,1286.9444175815843,2,10,0.9
7,15,200,Elitist,1138.7375753270057,2,10,0.9
7,16,200,Elitist,1019.5425399247414,2,10,0.9
7,17,200,Elitist,1017.4824694848945,2,10,0.9
7,18,200,Elitist,1074.324433160681,2,10,0.9
7,19,200,Elitist,1077.0723099292793,2,10,0.9
6,0,200,Elitist,1646.5464548635427,2,10,0.7
6,1,200,Elitist,1400.372695474054,2,10,0.7
6,2,200,Elitist,1509.0880926420737,2,10,0.7
6,3,200,Elitist,1411.9612557918183,2,10,0.7
6,4,200,Elitist,1350.1760907281105,2,10,0.7
6,5,200,Elitist,1276.168933934941,2,10,0.7
6,6,200,Elitist,1264.4724811438261,2,10,0.7
6,7,200,Elitist,1376.2713576755764,2,10,0.7
6,8,200,Elitist,1290.5745861056498,2,10,0.7
6,9,200,Elitist,1399.2527553050115,2,10,0.7
6,10,200,Elitist,1217.6131429948737,2,10,0.7
6,11,200,Elitist,1463.7434892259523,2,10,0.7
6,12,200,Elitist,1391.9101933753018,2,10,0.7
6,13,200,Elitist,1460.9708413253857,2,10,0.7
6,14,200,Elitist,1320.1784881361789,2,10,0.7
6,15,200,Elitist,1546.9851091858147,2,10,0.7
6,16,200,Elitist,1482.3485446772609,2,10,0.7
6,17,200,Elitist,1599.1998448648126,2,10,0.7
6,18,200,Elitist,1383.9679598733053,2,10,0.7
6,19,200,Elitist,1411.798155188182,2,10,0.7
7,0,200,Elitist,1090.522302669196,2,10,0.7
7,1,200,Elitist,1247.3195065799705,2,10,0.7
7,2,200,Elitist,1304.0988253559158,2,10,0.7
7,3,200,Elitist,1221.8392941116833,2,10,0.7
7,4,200,Elitist,1481.5271467213051,2,10,0.7
7,5,200,Elitist,1221.3490626746093,2,10,0.7
7,6,200,Elitist,1065.7191536822386,2,10,0.7
7,7,200,Elitist,1234.7747931613285,2,10,0.7
7,8,200,Elitist,1234.4817441973773,2,10,0.7
7,9,200,Elitist,1121.6006615489473,2,10,0.7
7,10,200,Elitist,1272.2669927604688,2,10,0.7
7,11,200,Elitist,1332.187863525828,2,10,0.7
7,12,200,Elitist,1206.846286241434,2,10,0.7
7,13,200,Elitist,1161.028158276789,2,10,0.7
7,14,200,Elitist,1351.7418653010313,2,10,0.7
7,15,200,Elitist,1223.9091733396156,2,10,0.7
7,16,200,Elitist,1044.4588835179927,2,10,0.7
7,17,200,Elitist,1337.9503872638609,2,10,0.7
7,18,200,Elitist,1227.5994538568407,2,10,0.7
7,19,200,Elitist,1365.6304290648784,2,10,0.7
6,0,200,Elitist,1381.0520842025421,2,10,0.5
6,1,200,Elitist,1522.7201820095784,2,10,0.5
6,2,200,Elitist,1432.715430452146,2,10,0.5
6,3,200,Elitist,1335.3572894984793,2,10,0.5
6,4,200,Elitist,1403.561303587428,2,10,0.5
6,5,200,Elitist,1561.5454371163378,2,10,0.5
6,6,200,Elitist,1532.7943076566708,2,10,0.5
6,7,200,Elitist,1305.859353377025,2,10,0.5
6,8,200,Elitist,1403.9109009781018,2,10,0.5
6,9,200,Elitist,1444.0677634567255,2,10,0.5
6,10,200,Elitist,1379.6429194211687,2,10,0.5
6,11,200,Elitist,1638.8619739700835,2,10,0.5
6,12,200,Elitist,1516.0119417249336,2,10,0.5
6,13,200,Elitist,1308.2546223795794,2,10,0.5
6,14,200,Elitist,1525.024257373023,2,10,0.5
6,15,200,Elitist,1465.4110144003168,2,10,0.5
6,16,200,Elitist,1221.8754705213803,2,10,0.5
6,17,200,Elitist,1426.046007934795,2,10,0.5
6,18,200,Elitist,1443.3326339409346,2,10,0.5
6,19,200,Elitist,1671.8972076981736,2,10,0.5
7,0,200,Elitist,1301.5752979609713,2,10,0.5
7,1,200,Elitist,1256.9767398283368,2,10,0.5
7,2,200,Elitist,1259.6606234193218,2,10,0.5
7,3,200,Elitist,1126.299987262208,2,10,0.5
7,4,200,Elitist,1315.4291408292129,2,10,0.5
7,5,200,Elitist,1369.143371272705,2,10,0.5
7,6,200,Elitist,1300.6623355303657,2,10,0.5
7,7,200,Elitist,1275.3511596568342,2,10,0.5
7,8,200,Elitist,1411.846700226045,2,10,0.5
7,9,200,Elitist,1210.0267437197576,2,10,0.5
7,10,200,Elitist,1489.0160777109163,2,10,0.5
7,11,200,Elitist,1288.858684787415,2,10,0.5
7,12,200,Elitist,1380.3022477003674,2,10,0.5
7,13,200,Elitist,1373.9407558685864,2,10,0.5
7,14,200,Elitist,1347.1527813732077,2,10,0.5
7,15,200,Elitist,1375.7820898335372,2,10,0.5
7,16,200,Elitist,1157.9672501623859,2,10,0.5
7,17,200,Elitist,1341.5228751622421,2,10,0.5
7,18,200,Elitist,1164.6029004937698,2,10,0.5
7,19,200,Elitist,1252.2730645213237,2,10,0.5
6,0,200,Elitist,1526.180445162033,2,10,0.3
6,1,200,Elitist,1472.0456019109015,2,10,0.3
6,2,200,Elitist,1233.9186798704518,2,10,0.3
6,3,200,Elitist,1456.7401732100698,2,10,0.3
6,4,200,Elitist,1326.7267750182987,2,10,0.3
6,5,200,Elitist,1531.8530532148566,2,10,0.3
6,6,200,Elitist,1502.9003902999775,2,10,0.3
6,7,200,Elitist,1269.9415447059632,2,10,0.3
6,8,200,Elitist,1510.2274202782035,2,10,0.3
6,9,200,Elitist,1159.7355447516263,2,10,0.3
6,10,200,Elitist,1360.3383458124486,2,10,0.3
6,11,200,Elitist,1351.3591357823248,2,10,0.3
6,12,200,Elitist,1412.0407434483843,2,10,0.3
6,13,200,Elitist,1387.3092744183757,2,10,0.3
6,14,200,Elitist,1617.9325926694908,2,10,0.3
6,15,200,Elitist,1517.071265083006,2,10,0.3
6,16,200,Elitist,1580.1981028909577,2,10,0.3
