iid,rep,a1_budget,algname,achieved_auc,fid_a,fid_b,alpha
6,0,800,MLSL,1347.6848099507715,2,10,0.9
6,1,800,MLSL,1405.3594716643934,2,10,0.9
6,2,800,MLSL,1336.8537143777596,2,10,0.9
6,3,800,MLSL,1600.0764029773836,2,10,0.9
6,4,800,MLSL,1365.5471044658893,2,10,0.9
6,5,800,MLSL,1495.7102324667835,2,10,0.9
6,6,800,MLSL,1526.0223377507982,2,10,0.9
6,7,800,MLSL,1508.900563723958,2,10,0.9
6,8,800,MLSL,1552.5623342621134,2,10,0.9
6,9,800,MLSL,1545.3387485843928,2,10,0.9
6,10,800,MLSL,1398.4158012710159,2,10,0.9
6,11,800,MLSL,1399.076374059045,2,10,0.9
6,12,800,MLSL,1430.5562143151,2,10,0.9
6,13,800,MLSL,1410.8048314315938,2,10,0.9
6,14,800,MLSL,1578.3948916693303,2,10,0.9
6,15,800,MLSL,1222.772676677213,2,10,0.9
6,16,800,MLSL,1465.5818648372556,2,10,0.9
6,17,800,MLSL,1585.991443265555,2,10,0.9
6,18,800,MLSL,1531.4230117751224,2,10,0.9
6,19,800,MLSL,1588.3575578278899,2,10,0.9
7,0,800,MLSL,1256.8643350870482,2,10,0.9
7,1,800,MLSL,1385.7040773257972,2,10,0.9
7,2,800,MLSL,1102.9612865330448,2,10,0.9
7,3,800,MLSL,1343.7175429274535,2,10,0.9
7,4,800,MLSL,1133.7874506391681,2,10,0.9
7,5,800,MLSL,1311.2456624405772,2,10,0.9
7,6,800,MLSL,1606.7088139458249,2,10,0.9
7,7,800,MLSL,1132.7939261251768,2,10,0.9
7,8,800,MLSL,1322.9508018113902,2,10,0.9
7,9,800,MLSL,1236.6919881196222,2,10,0.9
7,10,800,MLSL,1275.8586570437392,2,10,0.9
7,11,800,MLSL,1377.112283510447,2,10,0.9
7,12,800,MLSL,1235.6202928094044,2,10,0.9
7,13,800,MLSL,1432.5640596463406,2,10,0.9
7,14,800,MLSL,1378.666961583805,2,10,0.9
7,15,800,MLSL,1243.7482522001274,2,10,0.9
7,16,800,MLSL,1110.4175326996988,2,10,0.9
7,17,800,MLSL,1367.9330323282672,2,10,0.9
7,18,800,MLSL,1357.7332771659885,2,10,0.9
7,19,800,MLSL,1299.485867539217,2,10,0.9
6,0,800,MLSL,1669.2459076994596,2,10,0.7
6,1,800,MLSL,1521.047143649248,2,10,0.7
6,2,800,MLSL,1598.301711931027,2,10,0.7
6,3,800,MLSL,1401.516357545092,2,10,0.7
6,4,800,MLSL,1648.7304000233285,2,10,0.7
6,5,800,MLSL,1373.1056515431055,2,10,0.7
6,6,800,MLSL,1312.853657212366,2,10,0.7
6,7,800,MLSL,1481.9798275277265,2,10,0.7
6,8,800,MLSL,1457.8101793370693,2,10,0.7
6,9,800,MLSL,1638.5028036726437,2,10,0.7
6,10,800,MLSL,1442.3869474141088,2,10,0.7
6,11,800,MLSL,1370.7825344575408,2,10,0.7
6,12,800,MLSL,1366.1005415284671,2,10,0.7
6,13,800,MLSL,1667.941361186246,2,10,0.7
6,14,800,MLSL,1511.7499631645396,2,10,0.7
6,15,800,MLSL,1574.8221663937277,2,10,0.7
6,16,800,MLSL,1654.660157028424,2,10,0.7
6,17,800,MLSL,1663.4861252457292,2,10,0.7
6,18,800,MLSL,1508.9980467743544,2,10,0.7
6,19,800,MLSL,1700.421424688017,2,10,0.7
7,0,800,MLSL,1150.2767500678356,2,10,0.7
7,1,800,MLSL,1360.1618975929337,2,10,0.7
7,2,800,MLSL,1367.1496709976193,2,10,0.7
7,3,800,MLSL,1383.3773286915841,2,10,0.7
7,4,800,MLSL,1645.2250321903061,2,10,0.7
7,5,800,MLSL,1275.3091803027182,2,10,0.7
7,6,800,MLSL,1190.6149736827774,2,10,0.7
7,7,800,MLSL,1521.2039445851474,2,10,0.7
7,8,800,MLSL,1475.1911158219987,2,10,0.7
7,9,800,MLSL,1101.2717546414972,2,10,0.7
7,10,800,MLSL,1593.051191405601,2,10,0.7
7,11,800,MLSL,1440.0932444316936,2,10,0.7
