iid,rep,a1_budget,algname,achieved_auc,fid_a,fid_b,alpha
6,0,900,PSO,1331.0793428783654,2,10,0.9
6,1,900,PSO,1398.8396099578752,2,10,0.9
6,2,900,PSO,1298.195981198748,2,10,0.9
6,3,900,PSO,1582.1975605996608,2,10,0.9
6,4,900,PSO,1350.334154439519,2,10,0.9
6,5,900,PSO,1484.802982114318,2,10,0.9
6,6,900,PSO,1511.731213861187,2,10,0.9
6,7,900,PSO,1479.8581838297682,2,10,0.9
6,8,900,PSO,1536.3622720046683,2,10,0.9
6,9,900,PSO,1520.419665444876,2,10,0.9
6,10,900,PSO,1387.19796637478,2,10,0.9
6,11,900,PSO,1348.1410287370363,2,10,0.9
6,12,900,PSO,1422.767546337542,2,10,0.9
6,13,900,PSO,1395.4031764696406,2,10,0.9
6,14,900,PSO,1525.5805668838582,2,10,0.9
6,15,900,PSO,1199.2733855961233,2,10,0.9
6,16,900,PSO,1455.1293944087804,2,10,0.9
6,17,900,PSO,1562.2305375586725,2,10,0.9
6,18,900,PSO,1494.1624769318903,2,10,0.9
6,19,900,PSO,1554.0268909563351,2,10,0.9
7,0,900,PSO,1234.5293028951296,2,10,0.9
7,1,900,PSO,1378.8554547883684,2,10,0.9
7,2,900,PSO,1078.3725708880265,2,10,0.9
7,3,900,PSO,1307.332994916783,2,10,0.9
7,4,900,PSO,1126.9372203432451,2,10,0.9
7,5,900,PSO,1305.5961904646515,2,10,0.9
7,6,900,PSO,1592.7249451786925,2,10,0.9
7,7,900,PSO,1130.625700341422,2,10,0.9
7,8,900,PSO,1315.5081321071286,2,10,0.9
7,9,900,PSO,1190.231516314215,2,10,0.9
7,10,900,PSO,1261.309200236435,2,10,0.9
7,11,900,PSO,1345.309886945177,2,10,0.9
7,12,900,PSO,1225.095845314871,2,10,0.9
7,13,900,PSO,1424.7638216440262,2,10,0.9
7,14,900,PSO,1338.6974099598851,2,10,0.9
7,15,900,PSO,1240.767334716947,2,10,0.9
7,16,900,PSO,1085.2681863866944,2,10,0.9
7,17,900,PSO,1349.0073577552316,2,10,0.9
7,18,900,PSO,1327.616374020532,2,10,0.9
7,19,900,PSO,1286.031782615958,2,10,0.9
6,0,900,PSO,1655.5153653994043,2,10,0.7
6,1,900,PSO,1508.2219249262066,2,10,0.7
6,2,900,PSO,1557.2943383488084,2,10,0.7
6,3,900,PSO,1378.0802823308975,2,10,0.7
6,4,900,PSO,1611.1465459520105,2,10,0.7
6,5,900,PSO,1345.7546643995906,2,10,0.7
6,6,900,PSO,1308.8197952929002,2,10,0.7
6,7,900,PSO,1477.5425840222401,2,10,0.7
6,8,900,PSO,1444.6527834778562,2,10,0.7
6,9,900,PSO,1592.7874109093934,2,10,0.7
6,10,900,PSO,1422.48905390035,2,10,0.7
6,11,900,PSO,1364.6726861642153,2,10,0.7
6,12,900,PSO,1355.9599246486969,2,10,0.7
6,13,900,PSO,1644.6485543485676,2,10,0.7
6,14,900,PSO,1483.3509252771564,2,10,0.7
6,15,900,PSO,1565.2216564812868,2,10,0.7
6,16,900,PSO,1641.21063116136,2,10,0.7
6,17,900,PSO,1628.2995380193659,2,10,0.7
6,18,900,PSO,1474.4995462321103,2,10,0.7
6,19,900,PSO,1692.853128256023,2,10,0.7
7,0,900,PSO,1131.6178139725787,2,10,0.7
7,1,900,PSO,1337.0562110626392,2,10,0.7
7,2,900,PSO,1345.4931195512029,2,10,0.7
7,3,900,PSO,1371.5633510294983,2,10,0.7
7,4,900,PSO,1619.0971929771272,2,10,0.7
7,5,900,PSO,1266.614941150871,2,10,0.7
7,6,900,PSO,1186.817978772698,2,10,0.7
7,7,900,PSO,1509.6042226408224,2,10,0.7
7,8,900,PSO,1447.4765722732593,2,10,0.7
7,9,900,PSO,1091.7846535891458,2,10,0.7
7,10,900,PSO,1563.1401601430525,2,10,0.7
7,11,900,PSO,1432.6841443354115,2,10,0.7
7,12,900,PSO,1418.3708317330704,2,10,0.7
7,13,900,PSO,1242.1020065697153,2,10,0.7
7,14,900,PSO,1390.1654642734286,2,10,0.7
7,15,900,PSO,1341.8503666065972,2,10,0.7
7,16,900,PSO,1294.3635905551732,2,10,0.7
7,17,900,PSO,1418.1919584822526,2,10,0.7
7,18,900,PSO,1428.4262659442109,2,10,0.7
7,19,900,PSO,1436.4947395420227,2,10,0.7
6,0,900,PSO,1638.833378361221,2,10,0.5
6,1,900,PSO,1627.119958881682,2,10,0.5
6,2,900,PSO,1347.5794021345205,2,10,0.5
6,3,900,PSO,1586.7021576938025,2,10,0.5
6,4,900,PSO,1741.7989262385456,2,10,0.5
6,5,900,PSO,1683.4515835300904,2,10,0.5
6,6,900,PSO,1464.2953261859311,2,10,0.5
6,7,900,PSO,1318.4202298353161,2,10,0.5
6,8,900,PSO,1538.5863809544567,2,10,0.5
6,9,900,PSO,1454.250270585948,2,10,0.5
6,10,900,PSO,1349.004374156157,2,10,0.5
6,11,900,PSO,1751.7523997722342,2,10,0.5
6,12,900,PSO,1573.504056197723,2,10,0.5
6,13,900,PSO,1433.1836375859803,2,10,0.5
