iid,rep,a1_budget,algname,achieved_regret,fid_a,fid_b,alpha
6,0,950,DE,0.6090349386836235,2,10,0.9
6,1,950,DE,0.68098793326243,2,10,0.9
6,2,950,DE,0.7080141671979114,2,10,0.9
6,3,950,DE,0.762925088471212,2,10,0.9
6,4,950,DE,0.6176657693299089,2,10,0.9
6,5,950,DE,0.6503983472352808,2,10,0.9
6,6,950,DE,0.682677412724354,2,10,0.9
6,7,950,DE,0.7387952554758779,2,10,0.9
6,8,950,DE,0.8149718264918387,2,10,0.9
6,9,950,DE,0.7279306668514683,2,10,0.9
6,10,950,DE,0.6137807309349514,2,10,0.9
6,11,950,DE,0.5000206743638705,2,10,0.9
6,12,950,DE,0.7058936935474835,2,10,0.9
6,13,950,DE,0.5930962480993791,2,10,0.9
6,14,950,DE,0.4632227785212823,2,10,0.9
6,15,950,DE,0.6399955454099945,2,10,0.9
6,16,950,DE,0.7842076178466837,2,10,0.9
6,17,950,DE,0.9148824588883889,2,10,0.9
6,18,950,DE,1.0449476139581284,2,10,0.9
6,19,950,DE,0.8056632522563617,2,10,0.9
7,0,950,DE,0.47390742018176574,2,10,0.9
7,1,950,DE,0.6175134474590739,2,10,0.9
7,2,950,DE,0.6069911886080723,2,10,0.9
7,3,950,DE,0.4439564301225429,2,10,0.9
7,4,950,DE,0.5134147539660405,2,10,0.9
7,5,950,DE,0.6631684684018947,2,10,0.9
7,6,950,DE,0.6449836316423389,2,10,0.9
7,7,950,DE,0.5876747409280397,2,10,0.9
7,8,950,DE,0.6701165214563043,2,10,0.9
7,9,950,DE,0.5586161848105576,2,10,0.9
7,10,950,DE,0.6490231096306163,2,10,0.9
7,11,950,DE,0.7058599220579044,2,10,0.9
7,12,950,DE,0.5862571696321925,2,10,0.9
7,13,950,DE,0.7809552431159344,2,10,0.9
7,14,950,DE,0.6309595895822803,2,10,0.9
7,15,950,DE,0.6212925981809999,2,10,0.9
7,16,950,DE,0.607171696915832,2,10,0.9
7,17,950,DE,0.6794598310089123,2,10,0.9
7,18,950,DE,0.615919273711844,2,10,0.9
7,19,950,DE,0.7069159084622418,2,10,0.9
6,0,950,DE,0.8715839318925871,2,10,0.7
6,1,950,DE,0.7327262638498292,2,10,0.7
6,2,950,DE,0.7171340372121968,2,10,0.7
6,3,950,DE,0.6888733198668934,2,10,0.7
6,4,950,DE,1.0336948876732193,2,10,0.7
6,5,950,DE,0.658087382525188,2,10,0.7
6,6,950,DE,0.7633822497860706,2,10,0.7
6,7,950,DE,0.750436799616422,2,10,0.7
6,8,950,DE,0.7335068011647884,2,10,0.7
6,9,950,DE,0.7321140029084722,2,10,0.7
6,10,950,DE,0.5729813105312526,2,10,0.7
6,11,950,DE,0.4584100777735067,2,10,0.7
6,12,950,DE,0.6134097238770126,2,10,0.7
6,13,950,DE,0.8639215095926905,2,10,0.7
6,14,950,DE,0.6299196964753889,2,10,0.7
6,15,950,DE,0.8527795539108698,2,10,0.7
6,16,950,DE,0.8104257251622983,2,10,0.7
6,17,950,DE,0.8365508392923525,2,10,0.7
6,18,950,DE,0.8344267933021182,2,10,0.7
6,19,950,DE,0.9231466835695129,2,10,0.7
7,0,950,DE,0.5478158983905609,2,10,0.7
7,1,950,DE,0.6421968704167536,2,10,0.7
7,2,950,DE,0.6807032076742178,2,10,0.7
7,3,950,DE,0.5623108355181329,2,10,0.7
7,4,950,DE,0.7726318176608375,2,10,0.7
7,5,950,DE,0.5130791358354058,2,10,0.7
7,6,950,DE,0.6323291516966449,2,10,0.7
7,7,950,DE,0.8648471057861661,2,10,0.7
7,8,950,DE,0.7554901729791519,2,10,0.7
7,9,950,DE,0.461503817741564,2,10,0.7
7,10,950,DE,0.8764913934109303,2,10,0.7
7,11,950,DE,0.614374459564492,2,10,0.7
7,12,950,DE,0.7615612087433792,2,10,0.7
7,13,950,DE,0.5604781853737824,2,10,0.7
7,14,950,DE,0.6860746734539233,2,10,0.7
7,15,950,DE,0.6627219009500573,2,10,0.7
7,16,950,DE,0.5769846646285308,2,10,0.7
7,17,950,DE,0.7082528276294501,2,10,0.7
7,18,950,DE,0.6885220960732804,2,10,0.7
7,19,950,DE,0.7709875014172811,2,10,0.7
6,0,950,DE,0.7470398473428667,2,10,0.5
6,1,950,DE,0.9331618370101986,2,10,0.5
6,2,950,DE,0.6430354011891604,2,10,0.5
6,3,950,DE,0.8686812421228847,2,10,0.5
6,4,950,DE,0.804940425056205,2,10,0.5
6,5,950,DE,0.6934025100352554,2,10,0.5
6,6,950,DE,0.6289696472366572,2,10,0.5
6,7,950,DE,0.5561511328385067,2,10,0.5
6,8,950,DE,0.7948573192145169,2,10,0.5
6,9,950,DE,0.71390461948593,2,10,0.5
6,10,950,DE,0.496329429638868,2,10,0.5
6,11,950,DE,0.7653320265029794,2,10,0.5
6,12,950,DE,0.7121469385755498,2,10,0.5
6,13,950,DE,0.7099312976018602,2,10,0.5
6,14,950,DE,0.6146208179617714,2,10,0.5
6,15,950,DE,0.711433707689359,2,10,0.5
6,16,950,DE,0.8218303141507118,2,10,0.5
6,17,950,DE,0.7186701676324581,2,10,0.5
6,18,950,DE,0.6128018219112787,2,10,0.5
6,19,950,DE,0.9754828037294393,2,10,0.5
7,0,950,DE,0.7136175994006665,2,10,0.5
7,1,950,DE,0.5985338580718174,2,10,0.5
7,2,950,DE,0.9047292087067746,2,10,0.5
7,3,950,DE,0.5944635610219152,2,10,0.5
7,4,950,DE,0.5502912699187802,2,10,0.5
7,5,950,DE,0.4755782671726935,2,10,0.5
7,6,950,DE,0.5040060975346987,2,10,0.5
7,7,950,DE,0.8895151037127591,2,10,0.5
7,8,950,DE,1.0047083194289805,2,10,0.5
7,9,950,DE,0.6666134678127642,2,10,0.5
7,10,950,DE,0.5857359824240838,2,10,0.5
7,11,950,DE,0.45865692189403845,2,10,0.5
7,12,950,DE,0.6999750322810558,2,10,0.5
7,13,950,DE,0.5090627803664698,2,10,0.5
7,14,950,DE,0.7507024473299158,2,10,0.5
7,15,950,DE,0.8737245616953877,2,10,0.5
7,16,950,DE,0.540127470007887,2,10,0.5
7,17,950,DE,0.7777775545197978,2,10,0.5
7,18,950,DE,0.7355505141457697,2,10,0.5
7,19,950,DE,0.8393506705646653,2,10,0.5
6,0,950,DE,0.9058072073908779,2,10,0.3
6,1,950,DE,0.7346455189162843,2,10,0.3
6,2,950,DE,0.7343553733502436,2,10,0.3
6,3,950,DE,0.6359007598685669,2,10,0.3
6,4,950,DE,0.5982921620406626,2,10,0.3
6,5,950,DE,0.8068178056861884,2,10,0.3
6,6,950,DE,0.8552589844005167,2,10,0.3
6,7,950,DE,0.48820370559607296,2,10,0.3
6,8,950,DE,0.7219185598033334,2,10,0.3
6,9,950,DE,0.5819833305404822,2,10,0.3
6,10,950,DE,0.7182512671600993,2,10,0.3
6,11,950,DE,0.6581480133150425,2,10,0.3
6,12,950,DE,0.5912625590537333,2,10,0.3
6,13,950,DE,0.7230113653856893,2,10,0.3
6,14,950,DE,0.8240068393787948,2,10,0.3
6,15,950,DE,0.8924427266487692,2,10,0.3
6,16,950,DE,0.88685699614385,2,10,0.3
6,17,950,DE,0.7494182853708525,2,10,0.3
6,18,950,DE,0.6054508330593513,2,10,0.3
6,19,950,DE,0.8441643716193022,2,10,0.3
7,0,950,DE,1.0336375321819646,2,10,0.3
7,1,950,DE,0.7719911130237479,2,10,0.3
7,2,950,DE,0.6472413516771075,2,10,0.3
7,3,950,DE,0.7213552249633997,2,10,0.3
7,4,950,DE,0.6912048415263151,2,10,0.3
7,5,950,DE,0.7344433852737049,2,10,0.3
7,6,950,DE,0.8750258847138624,2,10,0.3
7,7,950,DE,0.8516452024739736,2,10,0.3
7,8,950,DE,0.7005456939345416,2,10,0.3
7,9,950,DE,0.6406168062659284,2,10,0.3
7,10,950,DE,0.683537706520117,2,10,0.3
7,11,950,DE,0.6181580787224276,2,10,0.3
7,12,950,DE,0.9262190792639862,2,10,0.3
7,13,950,DE,0.44960996254033814,2,10,0.3
7,14,950,DE,0.6563391480900871,2,10,0.3
7,15,950,DE,1.022496780217142,2,10,0.3
7,16,950,DE,0.5518672992780855,2,10,0.3
7,17,950,DE,0.8594505644442827,2,10,0.3
7,18,950,DE,0.9235061285916802,2,10,0.3
7,19,950,DE,0.9011452748404858,2,10,0.3
6,0,950,DE,0.6659825184123233,2,10,0.1
6,1,950,DE,0.8604953455328648,2,10,0.1
6,2,950,DE,0.6900536399744928,2,10,0.1
6,3,950,DE,0.7414372283402472,2,10,0.1
6,4,950,DE,0.5759224286320314,2,10,0.1
6,5,950,DE,0.6032585497596896,2,10,0.1
6,6,950,DE,0.8124773210229738,2,10,0.1
6,7,950,DE,0.760236756636643,2,10,0.1
6,8,950,DE,0.6423944861004782,2,10,0.1
6,9,950,DE,0.6746011266560333,2,10,0.1
6,10,950,DE,0.5431506674469985,2,10,0.1
6,11,950,DE,0.7175606682760073,2,10,0.1
6,12,950,DE,0.7529018027162344,2,10,0.1
6,13,950,DE,0.6386643109051093,2,10,0.1
6,14,950,DE,0.950042317285695,2,10,0.1
6,15,950,DE,0.6464284701920836,2,10,0.1
6,16,950,DE,0.6255382175712654,2,10,0.1
6,17,950,DE,0.7215279992851767,2,10,0.1
6,18,950,DE,0.778174316080322,2,10,0.1
6,19,950,DE,0.8010169245536675,2,10,0.1
7,0,950,DE,0.5240352534180528,2,10,0.1
7,1,950,DE,0.9537282523988091,2,10,0.1
7,2,950,DE,0.5732268744095405,2,10,0.1
7,3,950,DE,0.6776066342174923,2,10,0.1
7,4,950,DE,0.6655958384570091,2,10,0.1
7,5,950,DE,0.7171615149002784,2,10,0.1
7,6,950,DE,0.7422676965100169,2,10,0.1
7,7,950,DE,0.8529038745506418,2,10,0.1
7,8,950,DE,0.6886766000509079,2,10,0.1
7,9,950,DE,0.5329289838429087,2,10,0.1
7,10,950,DE,0.9542837881491361,2,10,0.1
7,11,950,DE,0.70994994949219,2,10,0.1
7,12,950,DE,0.6822441891890016,2,10,0.1
7,13,950,DE,0.5921672734283372,2,10,0.1
7,14,950,DE,0.7990121087495834,2,10,0.1
7,15,950,DE,0.8219220019459738,2,10,0.1
7,16,950,DE,0.616569736538968,2,10,0.1
7,17,950,DE,0.5583578134438733,2,10,0.1
7,18,950,DE,0.8259055147765649,2,10,0.1
7,19,950,DE,0.7350364062453514,2,10,0.1
6,0,950,DE,4.231969202619817,24,21,0.9
6,1,950,DE,4.467593588019266,24,21,0.9
6,2,950,DE,4.2775422997110635,24,21,0.9
6,3,950,DE,4.385721763474219,24,21,0.9
6,4,950,DE,7.083217819416971,24,21,0.9
6,5,950,DE,6.718121562169421,24,21,0.9
6,6,950,DE,3.7111039936575096,24,21,0.9
6,7,950,DE,6.964317590830091,24,21,0.9
6,8,950,DE,6.566688104126859,24,21,0.9
6,9,950,DE,6.6055430275267,24,21,0.9
6,10,950,DE,3.899723724544772,24,21,0.9
6,11,950,DE,4.648382265724147,24,21,0.9
6,12,950,DE,6.736554464698932,24,21,0.9
6,13,950,DE,3.5786745333604073,24,21,0.9
6,14,950,DE,4.03703543807125,24,21,0.9
6,15,950,DE,4.481288568965754,24,21,0.9
6,16,950,DE,4.115833020182404,24,21,0.9
6,17,950,DE,4.436534207591424,24,21,0.9
6,18,950,DE,6.3768313801488326,24,21,0.9
6,19,950,DE,4.4408144369326905,24,21,0.9
7,0,950,DE,4.281106646366613,24,21,0.9
7,1,950,DE,6.983261348486513,24,21,0.9
7,2,950,DE,4.416959609419553,24,21,0.9
7,3,950,DE,6.948363603711186,24,21,0.9
7,4,950,DE,6.915544311031232,24,21,0.9
7,5,950,DE,4.632524000109259,24,21,0.9
7,6,950,DE,6.692892325583876,24,21,0.9
7,7,950,DE,6.713107781865375,24,21,0.9
7,8,950,DE,4.21715921713977,24,21,0.9
7,9,950,DE,7.118097796554692,24,21,0.9
7,10,950,DE,4.233843140055304,24,21,0.9
7,11,950,DE,4.4192462802175845,24,21,0.9
7,12,950,DE,4.0629706385249795,24,21,0.9
7,13,950,DE,3.5711452921407556,24,21,0.9
7,14,950,DE,6.890929107850094,24,21,0.9
7,15,950,DE,4.014456387987131,24,21,0.9
7,16,950,DE,3.890156202299803,24,21,0.9
7,17,950,DE,7.455021102203365,24,21,0.9
7,18,950,DE,4.375901972778204,24,21,0.9
7,19,950,DE,6.359904614694454,24,21,0.9
6,0,950,DE,1.7713743116541147,24,21,0.7
6,1,950,DE,1.4266461537846105,24,21,0.7
6,2,950,DE,2.108960921844833,24,21,0.7
6,3,950,DE,1.7577266159745666,24,21,0.7
6,4,950,DE,8.729653807233426,24,21,0.7
6,5,950,DE,1.2229250707169073,24,21,0.7
6,6,950,DE,1.8763446399791301,24,21,0.7
6,7,950,DE,1.7523723878503357,24,21,0.7
6,8,950,DE,2.4077174437848754,24,21,0.7
6,9,950,DE,1.7496769562198473,24,21,0.7
6,10,950,DE,1.3451454169448682,24,21,0.7
6,11,950,DE,2.0505619742528713,24,21,0.7
6,12,950,DE,1.8149072919977183,24,21,0.7
6,13,950,DE,1.7522177440128512,24,21,0.7
6,14,950,DE,1.7516531001277382,24,21,0.7
6,15,950,DE,1.2659156466512917,24,21,0.7
6,16,950,DE,1.4358601317713355,24,21,0.7
6,17,950,DE,1.746975624933061,24,21,0.7
6,18,950,DE,2.221991632567461,24,21,0.7
6,19,950,DE,1.7764385943305092,24,21,0.7
7,0,950,DE,1.2293505558333664,24,21,0.7
7,1,950,DE,1.2441221880721298,24,21,0.7
7,2,950,DE,1.5311567129254209,24,21,0.7
7,3,950,DE,1.9741485676695085,24,21,0.7
7,4,950,DE,1.6794487659114952,24,21,0.7
7,5,950,DE,1.8993310575193387,24,21,0.7
7,6,950,DE,1.6189709071789664,24,21,0.7
7,7,950,DE,1.2993727043217482,24,21,0.7
7,8,950,DE,8.606056126284034,24,21,0.7
7,9,950,DE,8.48230281972308,24,21,0.7
7,10,950,DE,2.258919588221975,24,21,0.7
7,11,950,DE,1.7816247905428328,24,21,0.7
7,12,950,DE,1.9826203980002521,24,21,0.7
7,13,950,DE,1.819607803431735,24,21,0.7
7,14,950,DE,1.3950183538524359,24,21,0.7
7,15,950,DE,1.4418802048867763,24,21,0.7
7,16,950,DE,1.8095954854805738,24,21,0.7
7,17,950,DE,2.017676495321051,24,21,0.7
7,18,950,DE,2.6116923554008498,24,21,0.7
7,19,950,DE,1.3062815815734603,24,21,0.7
6,0,950,DE,0.9464886769389486,24,21,0.5
6,1,950,DE,0.7088199972128255,24,21,0.5
6,2,950,DE,0.9311460238892638,24,21,0.5
6,3,950,DE,0.7494446979124958,24,21,0.5
6,4,950,DE,1.384597966287457,24,21,0.5
6,5,950,DE,0.5166753709665176,24,21,0.5
6,6,950,DE,0.9362202440625967,24,21,0.5
6,7,950,DE,0.9959921283626028,24,21,0.5
6,8,950,DE,0.6211344877062943,24,21,0.5
6,9,950,DE,0.90575163578018,24,21,0.5
6,10,950,DE,1.188265651292331,24,21,0.5
6,11,950,DE,1.1709350158245242,24,21,0.5
6,12,950,DE,0.9106092353521891,24,21,0.5
6,13,950,DE,0.8178250941226088,24,21,0.5
6,14,950,DE,1.0364024600192188,24,21,0.5
6,15,950,DE,0.8871995628380354,24,21,0.5
6,16,950,DE,0.7658155159853469,24,21,0.5
6,17,950,DE,1.7172960039386347,24,21,0.5
6,18,950,DE,1.2587006597503878,24,21,0.5
6,19,950,DE,0.842984103973491,24,21,0.5
7,0,950,DE,0.9440977117472904,24,21,0.5
7,1,950,DE,0.7221217159989713,24,21,0.5
7,2,950,DE,0.8782071021449652,24,21,0.5
7,3,950,DE,0.8426551923678576,24,21,0.5
7,4,950,DE,1.3098439501510206,24,21,0.5
7,5,950,DE,0.8742913074408462,24,21,0.5
7,6,950,DE,0.6416187717148131,24,21,0.5
7,7,950,DE,0.9435226084829363,24,21,0.5
7,8,950,DE,1.1061535023793703,24,21,0.5
7,9,950,DE,7.834468228614852,24,21,0.5
7,10,950,DE,0.9313900623355333,24,21,0.5
