iid,rep,a1_budget,algname,achieved_regret,fid_a,fid_b,alpha
6,0,350,Elitist,0.6105148570675534,2,10,0.9
6,1,350,Elitist,0.5741169054560067,2,10,0.9
6,2,350,Elitist,0.535238577342439,2,10,0.9
6,3,350,Elitist,0.7743360443882787,2,10,0.9
6,4,350,Elitist,0.44967929591159433,2,10,0.9
6,5,350,Elitist,0.6229820397144753,2,10,0.9
6,6,350,Elitist,0.630838592123694,2,10,0.9
6,7,350,Elitist,0.584467473261898,2,10,0.9
6,8,350,Elitist,0.691427442811291,2,10,0.9
6,9,350,Elitist,0.4060308409180213,2,10,0.9
6,10,350,Elitist,0.4976801916307921,2,10,0.9
6,11,350,Elitist,0.37476788167571995,2,10,0.9
6,12,350,Elitist,0.4987549171758243,2,10,0.9
6,13,350,Elitist,0.5240030962571057,2,10,0.9
6,14,350,Elitist,0.5858844460970501,2,10,0.9
6,15,350,Elitist,0.5624710062477254,2,10,0.9
6,16,350,Elitist,0.5675787341151921,2,10,0.9
6,17,350,Elitist,0.6827727107247346,2,10,0.9
6,18,350,Elitist,0.61146692868992,2,10,0.9
6,19,350,Elitist,0.4122608804729033,2,10,0.9
7,0,350,Elitist,0.4935275127793263,2,10,0.9
7,1,350,Elitist,0.5232056953789253,2,10,0.9
7,2,350,Elitist,0.5121565723818099,2,10,0.9
7,3,350,Elitist,0.5928391026547601,2,10,0.9
7,4,350,Elitist,0.5185582733789638,2,10,0.9
7,5,350,Elitist,0.563158940047419,2,10,0.9
7,6,350,Elitist,0.8480333287661936,2,10,0.9
7,7,350,Elitist,0.5487804697874321,2,10,0.9
7,8,350,Elitist,0.3219082689584461,2,10,0.9
7,9,350,Elitist,0.33224518964212135,2,10,0.9
7,10,350,Elitist,0.4992907036539252,2,10,0.9
7,11,350,Elitist,0.5922960787205594,2,10,0.9
7,12,350,Elitist,0.3542825401964778,2,10,0.9
7,13,350,Elitist,0.46617141617644053,2,10,0.9
7,14,350,Elitist,0.5281813297375422,2,10,0.9
7,15,350,Elitist,0.408663104237097,2,10,0.9
7,16,350,Elitist,0.464330062882868,2,10,0.9
7,17,350,Elitist,0.6157069700473112,2,10,0.9
7,18,350,Elitist,0.43750504325641487,2,10,0.9
7,19,350,Elitist,0.41361885279471744,2,10,0.9
6,0,350,Elitist,0.6499309588762832,2,10,0.7
6,1,350,Elitist,0.6972984088220635,2,10,0.7
6,2,350,Elitist,0.6537933586691594,2,10,0.7
6,3,350,Elitist,0.6074347164598966,2,10,0.7
6,4,350,Elitist,0.817203034470605,2,10,0.7
6,5,350,Elitist,0.6278016994771812,2,10,0.7
6,6,350,Elitist,0.7547036038579663,2,10,0.7
6,7,350,Elitist,0.7900663127309625,2,10,0.7
6,8,350,Elitist,0.7092759458090798,2,10,0.7
6,9,350,Elitist,0.5474772091811144,2,10,0.7
6,10,350,Elitist,0.5608834480202569,2,10,0.7
6,11,350,Elitist,0.5902715151534942,2,10,0.7
6,12,350,Elitist,0.4252598457232284,2,10,0.7
6,13,350,Elitist,0.7243172699530038,2,10,0.7
6,14,350,Elitist,0.6441079585499291,2,10,0.7
6,15,350,Elitist,0.7635893708305149,2,10,0.7
6,16,350,Elitist,0.8328355920543973,2,10,0.7
6,17,350,Elitist,0.5553819820162301,2,10,0.7
6,18,350,Elitist,0.753813008343183,2,10,0.7
6,19,350,Elitist,0.6630762199575163,2,10,0.7
7,0,350,Elitist,0.5222763068497371,2,10,0.7
7,1,350,Elitist,0.4074871548419223,2,10,0.7
7,2,350,Elitist,0.5607037890812483,2,10,0.7
7,3,350,Elitist,0.6604115144530802,2,10,0.7
7,4,350,Elitist,0.72710842394411,2,10,0.7
7,5,350,Elitist,0.40541583430006917,2,10,0.7
7,6,350,Elitist,0.4063363165454149,2,10,0.7
7,7,350,Elitist,0.5663232416113759,2,10,0.7
7,8,350,Elitist,0.6074351734438452,2,10,0.7
7,9,350,Elitist,0.38002046386504057,2,10,0.7
7,10,350,Elitist,0.6944665202559562,2,10,0.7
7,11,350,Elitist,0.5208604485001951,2,10,0.7
7,12,350,Elitist,0.6207440217776604,2,10,0.7
7,13,350,Elitist,0.543240336574892,2,10,0.7
7,14,350,Elitist,0.5280290838348487,2,10,0.7
7,15,350,Elitist,0.39456082228442635,2,10,0.7
7,16,350,Elitist,0.4712984054425223,2,10,0.7
7,17,350,Elitist,0.593386859894448,2,10,0.7
7,18,350,Elitist,0.6741053370328408,2,10,0.7
7,19,350,Elitist,0.4948481524450757,2,10,0.7
6,0,350,Elitist,0.6474715956510413,2,10,0.5
6,1,350,Elitist,0.7628339161011407,2,10,0.5
6,2,350,Elitist,0.6828001443496251,2,10,0.5
6,3,350,Elitist,0.6668574361556702,2,10,0.5
6,4,350,Elitist,0.6712773618654879,2,10,0.5
6,5,350,Elitist,0.6217434376986593,2,10,0.5
6,6,350,Elitist,0.581496703973587,2,10,0.5
6,7,350,Elitist,0.5134282852626526,2,10,0.5
6,8,350,Elitist,0.6695772386675789,2,10,0.5
6,9,350,Elitist,0.6102896650968026,2,10,0.5
6,10,350,Elitist,0.44326620056530536,2,10,0.5
6,11,350,Elitist,0.81001979865031,2,10,0.5
6,12,350,Elitist,0.6300463301858278,2,10,0.5
6,13,350,Elitist,0.44041608821181105,2,10,0.5
6,14,350,Elitist,0.5507241352454993,2,10,0.5
6,15,350,Elitist,0.4709176378134866,2,10,0.5
6,16,350,Elitist,0.57722390593267,2,10,0.5
6,17,350,Elitist,0.5237270234883231,2,10,0.5
6,18,350,Elitist,0.445448737928598,2,10,0.5
6,19,350,Elitist,0.5708269190957407,2,10,0.5
7,0,350,Elitist,0.4558463946456821,2,10,0.5
7,1,350,Elitist,0.7367484712832402,2,10,0.5
7,2,350,Elitist,0.4999154828691845,2,10,0.5
7,3,350,Elitist,0.5306679457581495,2,10,0.5
7,4,350,Elitist,0.5713505316087855,2,10,0.5
7,5,350,Elitist,0.4756415662300077,2,10,0.5
7,6,350,Elitist,0.46279325839866814,2,10,0.5
7,7,350,Elitist,0.6015102401806182,2,10,0.5
