iid,rep,a1_budget,algname,achieved_regret,fid_a,fid_b,alpha
6,0,700,PSO,0.3011529570616928,2,10,0.9
6,1,700,PSO,0.5620711727212541,2,10,0.9
6,2,700,PSO,0.7056951114545787,2,10,0.9
6,3,700,PSO,0.4782318985503379,2,10,0.9
6,4,700,PSO,0.37828636037707564,2,10,0.9
6,5,700,PSO,0.47488319917218547,2,10,0.9
6,6,700,PSO,0.5826337161124493,2,10,0.9
6,7,700,PSO,0.6203121001277857,2,10,0.9
6,8,700,PSO,0.7370778565812471,2,10,0.9
6,9,700,PSO,0.4944464527360965,2,10,0.9
6,10,700,PSO,0.4354023420275445,2,10,0.9
6,11,700,PSO,0.45474291525759014,2,10,0.9
6,12,700,PSO,0.5260087486000455,2,10,0.9
6,13,700,PSO,0.3676326160946083,2,10,0.9
6,14,700,PSO,0.450341430523504,2,10,0.9
6,15,700,PSO,0.5001371317011708,2,10,0.9
6,16,700,PSO,0.46700226768233283,2,10,0.9
6,17,700,PSO,0.6707435474184134,2,10,0.9
6,18,700,PSO,0.7298896798199231,2,10,0.9
6,19,700,PSO,0.2791221090039906,2,10,0.9
7,0,700,PSO,0.454849419369844,2,10,0.9
7,1,700,PSO,0.6012587995417095,2,10,0.9
7,2,700,PSO,0.3970395214000173,2,10,0.9
7,3,700,PSO,0.353926418581612,2,10,0.9
7,4,700,PSO,0.2942760131534436,2,10,0.9
7,5,700,PSO,0.5936950826846391,2,10,0.9
7,6,700,PSO,0.5527302811467081,2,10,0.9
7,7,700,PSO,0.33857479825920556,2,10,0.9
7,8,700,PSO,0.4301009858352227,2,10,0.9
7,9,700,PSO,0.3457042052664793,2,10,0.9
7,10,700,PSO,0.5143442721240292,2,10,0.9
7,11,700,PSO,0.6332052924729921,2,10,0.9
7,12,700,PSO,0.40774636746405424,2,10,0.9
7,13,700,PSO,0.529200393923486,2,10,0.9
7,14,700,PSO,0.49521407768138687,2,10,0.9
7,15,700,PSO,0.42694588319963916,2,10,0.9
7,16,700,PSO,0.3770336745500123,2,10,0.9
