fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,750,DE,13307.945156886879
1,1,1,750,DE,8413.903168196168
1,1,2,750,DE,10204.332389593606
1,1,3,750,DE,12978.849643309835
1,1,4,750,DE,10078.096370979367
1,1,5,750,DE,15071.930260533496
1,1,6,750,DE,13938.912450358745
1,1,7,750,DE,7708.949427241864
1,1,8,750,DE,14896.780523301395
1,1,9,750,DE,13378.754360055642
1,1,10,750,DE,14290.783548682946
1,1,11,750,DE,11590.941087988884
1,1,12,750,DE,14230.86035869479
1,1,13,750,DE,14603.644110370968
1,1,14,750,DE,12733.7555720145
1,1,15,750,DE,14165.995373825284
1,1,16,750,DE,11359.32312031883
1,1,17,750,DE,9040.232278536476
1,1,18,750,DE,14286.785517122738
1,1,19,750,DE,7474.8789407758495
1,2,0,750,DE,12400.949054319326
1,2,1,750,DE,10176.389925061507
1,2,2,750,DE,17285.71923349474
1,2,3,750,DE,15764.33325732006
1,2,4,750,DE,14041.254269157404
1,2,5,750,DE,15329.80758492037
1,2,6,750,DE,14192.35829184956
1,2,7,750,DE,16587.84199131504
1,2,8,750,DE,11735.326598948053
1,2,9,750,DE,12741.701361645843
1,2,10,750,DE,16619.606818263568
1,2,11,750,DE,16041.22620234296
1,2,12,750,DE,14145.365087802482
1,2,13,750,DE,9290.299684108428
1,2,14,750,DE,13486.994287857697
1,2,15,750,DE,17468.768030022922
1,2,16,750,DE,15827.275058271727
1,2,17,750,DE,14977.927965265257
1,2,18,750,DE,12792.246949961049
1,2,19,750,DE,15224.98976513122
1,3,0,750,DE,13615.557439834887
1,3,1,750,DE,11111.348076228205
1,3,2,750,DE,15792.105489293033
1,3,3,750,DE,11617.26091901998
1,3,4,750,DE,12232.737959526994
1,3,5,750,DE,11197.800475085161
1,3,6,750,DE,12112.921627310754
1,3,7,750,DE,11877.641746809826
1,3,8,750,DE,10909.02306899072
1,3,9,750,DE,16596.057678838086
1,3,10,750,DE,15813.545158946552
1,3,11,750,DE,14803.309935131334
1,3,12,750,DE,15596.31598637539
1,3,13,750,DE,14922.27817747406
1,3,14,750,DE,14337.782612891875
1,3,15,750,DE,16069.584392656852
1,3,16,750,DE,14037.91894698274
1,3,17,750,DE,14637.73215463603
1,3,18,750,DE,8463.685430382186
1,3,19,750,DE,18050.920677178125
1,4,0,750,DE,15952.277096884936
1,4,1,750,DE,13479.113690852875
1,4,2,750,DE,14468.02177050099
1,4,3,750,DE,10828.518125498933
1,4,4,750,DE,10784.681933491007
1,4,5,750,DE,16497.48568974211
1,4,6,750,DE,10658.749295329748
1,4,7,750,DE,15901.063128765414
1,4,8,750,DE,11821.89547031116
1,4,9,750,DE,15280.744284109498
1,4,10,750,DE,17088.136475065
1,4,11,750,DE,15866.05877597143
1,4,12,750,DE,16803.24707251268
1,4,13,750,DE,15704.747361415639
1,4,14,750,DE,13933.617041683956
1,4,15,750,DE,12977.118257945585
1,4,16,750,DE,14662.610850119521
1,4,17,750,DE,10558.98289443741
1,4,18,750,DE,10003.246263723251
1,4,19,750,DE,14722.319059703526
1,5,0,750,DE,16350.227320558879
1,5,1,750,DE,13944.25275966265
1,5,2,750,DE,14908.764017204583
1,5,3,750,DE,12313.916524816057
1,5,4,750,DE,12798.967238149104
1,5,5,750,DE,14352.062739048437
1,5,6,750,DE,14302.338535466522
1,5,7,750,DE,16050.345124828895
1,5,8,750,DE,16348.473218337389
1,5,9,750,DE,15680.84511690963
1,5,10,750,DE,14689.607968885506
1,5,11,750,DE,16761.256121707345
1,5,12,750,DE,15510.45622787889
1,5,13,750,DE,15716.95487722046
1,5,14,750,DE,16798.91160615869
1,5,15,750,DE,16389.462669529075
1,5,16,750,DE,17315.89347420652
1,5,17,750,DE,14973.00190440959
1,5,18,750,DE,17124.342066766872
1,5,19,750,DE,15739.974120704512
1,6,0,750,DE,13396.270465829311
1,6,1,750,DE,12493.526764802602
1,6,2,750,DE,8021.669439156545
1,6,3,750,DE,13688.099078590898
1,6,4,750,DE,15424.18019667998
1,6,5,750,DE,14305.820987688492
1,6,6,750,DE,14384.051619008149
1,6,7,750,DE,15442.618052888163
1,6,8,750,DE,15214.955697839703
1,6,9,750,DE,13034.691613109513
1,6,10,750,DE,11371.37343532713
1,6,11,750,DE,17830.444515974894
1,6,12,750,DE,16389.330148111818
1,6,13,750,DE,10290.955733565404
1,6,14,750,DE,8402.367395737163
1,6,15,750,DE,15389.357161181922
1,6,16,750,DE,10688.286816882784
1,6,17,750,DE,11703.759524678115
1,6,18,750,DE,13723.159755601895
