fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,500,Elitist,13585.195977984076
1,1,1,500,Elitist,8688.078915505079
1,1,2,500,Elitist,9904.1906020139
1,1,3,500,Elitist,10711.784110718412
1,1,4,500,Elitist,9847.836448562384
1,1,5,500,Elitist,15394.752701560883
1,1,6,500,Elitist,14005.547703505905
1,1,7,500,Elitist,7708.362569070246
1,1,8,500,Elitist,15754.239325893283
1,1,9,500,Elitist,11790.658573886949
1,1,10,500,Elitist,13338.081352148602
1,1,11,500,Elitist,14637.686639215079
1,1,12,500,Elitist,14015.272346811505
1,1,13,500,Elitist,14986.90636469485
1,1,14,500,Elitist,13196.852596619612
1,1,15,500,Elitist,13616.785262640233
1,1,16,500,Elitist,13907.40355707738
1,1,17,500,Elitist,9616.379953358111
1,1,18,500,Elitist,11471.898526812096
1,1,19,500,Elitist,7474.590551995971
1,2,0,500,Elitist,10926.240507400404
1,2,1,500,Elitist,11118.799102121618
1,2,2,500,Elitist,16960.53311732221
1,2,3,500,Elitist,15616.17073612375
1,2,4,500,Elitist,12287.115017541171
1,2,5,500,Elitist,14492.737398234087
1,2,6,500,Elitist,12114.665312844078
1,2,7,500,Elitist,17768.215195641475
1,2,8,500,Elitist,11009.17301011606
1,2,9,500,Elitist,10849.623020153385
1,2,10,500,Elitist,15752.236280115163
1,2,11,500,Elitist,16022.689472748174
1,2,12,500,Elitist,14370.224488919175
1,2,13,500,Elitist,9485.001177366234
1,2,14,500,Elitist,11111.597789279302
1,2,15,500,Elitist,17790.473682808548
1,2,16,500,Elitist,16859.76615832654
1,2,17,500,Elitist,16688.756210800286
1,2,18,500,Elitist,11471.827484186138
1,2,19,500,Elitist,15792.478182657751
1,3,0,500,Elitist,10609.075012520836
1,3,1,500,Elitist,10139.032573120263
1,3,2,500,Elitist,16056.224558641636
1,3,3,500,Elitist,11115.636392972103
1,3,4,500,Elitist,10897.01858937003
1,3,5,500,Elitist,11761.71225140632
1,3,6,500,Elitist,13651.27747898264
1,3,7,500,Elitist,10256.320034494482
1,3,8,500,Elitist,10679.25733920475
1,3,9,500,Elitist,16769.55095930914
1,3,10,500,Elitist,16531.72476564532
1,3,11,500,Elitist,15352.39097929542
1,3,12,500,Elitist,15880.531453205807
1,3,13,500,Elitist,15009.403022262955
1,3,14,500,Elitist,15019.527277421526
1,3,15,500,Elitist,16319.926558193729
1,3,16,500,Elitist,14742.247103833965
1,3,17,500,Elitist,15294.078387622074
1,3,18,500,Elitist,8463.885170991502
1,3,19,500,Elitist,18220.704311806854
1,4,0,500,Elitist,15349.357275462362
1,4,1,500,Elitist,10988.723924600334
1,4,2,500,Elitist,14484.786553590624
1,4,3,500,Elitist,12800.62093458294
1,4,4,500,Elitist,11779.15107877311
1,4,5,500,Elitist,16106.629448199823
1,4,6,500,Elitist,12563.891930827325
1,4,7,500,Elitist,15398.633700858249
1,4,8,500,Elitist,11249.04174690124
1,4,9,500,Elitist,15275.220979962218
1,4,10,500,Elitist,16647.6134833479
1,4,11,500,Elitist,15589.922490398083
1,4,12,500,Elitist,16569.66527629768
1,4,13,500,Elitist,14988.453970927516
1,4,14,500,Elitist,12259.758492080658
1,4,15,500,Elitist,14466.913323059434
1,4,16,500,Elitist,14087.610434590042
1,4,17,500,Elitist,11272.542289851923
1,4,18,500,Elitist,9636.211775183408
1,4,19,500,Elitist,11607.857766090056
1,5,0,500,Elitist,16673.468984898598
1,5,1,500,Elitist,14073.951987850389
1,5,2,500,Elitist,14830.806888801295
1,5,3,500,Elitist,10678.094862975158
1,5,4,500,Elitist,11847.986054834782
1,5,5,500,Elitist,15632.778042257034
1,5,6,500,Elitist,14428.594260175352
1,5,7,500,Elitist,16789.464951810296
1,5,8,500,Elitist,17197.553490935577
1,5,9,500,Elitist,15950.653428413594
1,5,10,500,Elitist,14078.49394067444
1,5,11,500,Elitist,16523.807594880403
1,5,12,500,Elitist,15013.017370305137
1,5,13,500,Elitist,15733.805187140904
1,5,14,500,Elitist,17126.84604981889
1,5,15,500,Elitist,16810.600672096814
1,5,16,500,Elitist,16853.742353839632
1,5,17,500,Elitist,15142.806080412285
1,5,18,500,Elitist,16988.856902027077
1,5,19,500,Elitist,15577.648185517144
1,6,0,500,Elitist,10868.295096579734
1,6,1,500,Elitist,14594.598959868828
1,6,2,500,Elitist,8153.596970147477
1,6,3,500,Elitist,12251.83344971635
1,6,4,500,Elitist,15838.677823066095
1,6,5,500,Elitist,13414.291642283797
1,6,6,500,Elitist,14078.94217767837
1,6,7,500,Elitist,16323.96911820147
1,6,8,500,Elitist,15704.32681420164
1,6,9,500,Elitist,10482.157689861093
1,6,10,500,Elitist,11578.724468415843
1,6,11,500,Elitist,17631.318289148603
1,6,12,500,Elitist,16476.46139112679
1,6,13,500,Elitist,11474.334647211377
1,6,14,500,Elitist,8607.835152383786
1,6,15,500,Elitist,13666.0881679493
1,6,16,500,Elitist,9621.59785956523
1,6,17,500,Elitist,14999.287187360858
1,6,18,500,Elitist,14024.481278170118
1,6,19,500,Elitist,10142.216429162998
1,7,0,500,Elitist,16720.917325076116
1,7,1,500,Elitist,14879.08516426124
1,7,2,500,Elitist,15516.116259963736
1,7,3,500,Elitist,10129.266793763562
1,7,4,500,Elitist,14292.60576537093
1,7,5,500,Elitist,10871.017850598679
1,7,6,500,Elitist,10619.896186050444
1,7,7,500,Elitist,9231.149076848016
1,7,8,500,Elitist,9680.155513529866
1,7,9,500,Elitist,16075.763977984356
1,7,10,500,Elitist,15305.422822012826
1,7,11,500,Elitist,16028.09758482949
1,7,12,500,Elitist,9471.724808125924
1,7,13,500,Elitist,15370.535860811433
1,7,14,500,Elitist,12316.925158372247
1,7,15,500,Elitist,12407.72354445444
1,7,16,500,Elitist,8895.945847160125
1,7,17,500,Elitist,9994.427694158905
1,7,18,500,Elitist,11485.046297522342
1,7,19,500,Elitist,15383.109667407838
2,1,0,500,Elitist,12952.171464880781
2,1,1,500,Elitist,17120.350524350673
2,1,2,500,Elitist,14232.896843717815
2,1,3,500,Elitist,11813.823844929071
2,1,4,500,Elitist,13432.362781293075
2,1,5,500,Elitist,9106.61710220441
2,1,6,500,Elitist,8285.54198835948
2,1,7,500,Elitist,11094.780740983913
2,1,8,500,Elitist,11663.971971328323
2,1,9,500,Elitist,10736.661002990597
2,1,10,500,Elitist,10574.970340444608
2,1,11,500,Elitist,11126.065347166897
2,1,12,500,Elitist,11266.969723499084
2,1,13,500,Elitist,9324.233009153997
2,1,14,500,Elitist,10256.13205776884
2,1,15,500,Elitist,10111.008336713843
2,1,16,500,Elitist,13664.78161665938
2,1,17,500,Elitist,13807.937286177028
2,1,18,500,Elitist,10148.622590882927
2,1,19,500,Elitist,13478.346371312737
2,2,0,500,Elitist,17682.861285302748
2,2,1,500,Elitist,13687.069832757095
2,2,2,500,Elitist,12958.642430898031
2,2,3,500,Elitist,9321.65903865756
2,2,4,500,Elitist,19338.618511824912
2,2,5,500,Elitist,11375.754562446507
2,2,6,500,Elitist,11702.209945786764
2,2,7,500,Elitist,16060.505215697387
2,2,8,500,Elitist,13607.34091658138
2,2,9,500,Elitist,18067.59672356415
2,2,10,500,Elitist,14471.748499450798
2,2,11,500,Elitist,13237.263150593099
2,2,12,500,Elitist,11009.965734098774
2,2,13,500,Elitist,12745.283135693218
2,2,14,500,Elitist,14304.889617594412
2,2,15,500,Elitist,13836.247541557457
2,2,16,500,Elitist,12632.735063876033
2,2,17,500,Elitist,11718.141190711303
2,2,18,500,Elitist,18413.524968938495
2,2,19,500,Elitist,12843.787621096326
2,3,0,500,Elitist,11486.619852916407
2,3,1,500,Elitist,13767.607857427753
2,3,2,500,Elitist,11487.65500437728
2,3,3,500,Elitist,10119.331032708922
2,3,4,500,Elitist,12183.804160646217
2,3,5,500,Elitist,13404.653910310197
2,3,6,500,Elitist,9525.517232915427
2,3,7,500,Elitist,17481.41102411321
2,3,8,500,Elitist,13495.850092037777
2,3,9,500,Elitist,8785.812135257733
2,3,10,500,Elitist,11722.075762684162
2,3,11,500,Elitist,11910.625063419851
2,3,12,500,Elitist,12187.270280948836
2,3,13,500,Elitist,12014.612637898108
2,3,14,500,Elitist,15031.111916791642
2,3,15,500,Elitist,11650.059774543652
2,3,16,500,Elitist,17569.76290304746
2,3,17,500,Elitist,14571.728743342836
2,3,18,500,Elitist,15896.605346727774
2,3,19,500,Elitist,13341.653478540353
2,4,0,500,Elitist,12041.084099541742
2,4,1,500,Elitist,13500.686351473749
2,4,2,500,Elitist,10109.124051894938
2,4,3,500,Elitist,19733.848478033884
2,4,4,500,Elitist,12696.691548928751
2,4,5,500,Elitist,12410.898400055741
2,4,6,500,Elitist,14180.786858563994
2,4,7,500,Elitist,12976.543995482025
2,4,8,500,Elitist,15272.298342129754
2,4,9,500,Elitist,12270.924315241107
2,4,10,500,Elitist,10764.585028342051
2,4,11,500,Elitist,13883.275842688756
2,4,12,500,Elitist,13568.990881170484
2,4,13,500,Elitist,12607.952393612366
2,4,14,500,Elitist,11656.074370038674
2,4,15,500,Elitist,16635.826846799137
2,4,16,500,Elitist,16535.236523735664
2,4,17,500,Elitist,10154.240486401457
2,4,18,500,Elitist,15746.218466875136
2,4,19,500,Elitist,14743.158280516807
2,5,0,500,Elitist,17867.20027445663
2,5,1,500,Elitist,15360.59187260308
2,5,2,500,Elitist,17437.759908199445
2,5,3,500,Elitist,16196.716124320817
2,5,4,500,Elitist,13479.578940746534
2,5,5,500,Elitist,13381.724643986548
2,5,6,500,Elitist,9687.695794465737
2,5,7,500,Elitist,14833.173984979694
2,5,8,500,Elitist,15306.5921482881
2,5,9,500,Elitist,13923.920775872692
2,5,10,500,Elitist,13530.860385342574
2,5,11,500,Elitist,15597.737000565066
2,5,12,500,Elitist,15241.949198359667
2,5,13,500,Elitist,12153.425673066387
2,5,14,500,Elitist,10406.60322338037
2,5,15,500,Elitist,13124.902516892023
2,5,16,500,Elitist,13537.737446326671
2,5,17,500,Elitist,14655.7657410648
2,5,18,500,Elitist,17065.291356735754
2,5,19,500,Elitist,13610.95357158722
2,6,0,500,Elitist,15298.403995382472
2,6,1,500,Elitist,11514.438772727914
2,6,2,500,Elitist,10092.182471110114
2,6,3,500,Elitist,12606.369707524189
