fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,1000,Non-elitist,11851.18352581709
1,1,1,1000,Non-elitist,8414.202611045555
1,1,2,1000,Non-elitist,10204.704937504295
1,1,3,1000,Non-elitist,11944.673869616834
1,1,4,1000,Non-elitist,10078.204157624885
1,1,5,1000,Non-elitist,15071.930260533496
1,1,6,1000,Non-elitist,13888.12599616944
1,1,7,1000,Non-elitist,7709.09152172727
1,1,8,1000,Non-elitist,14716.875542053158
1,1,9,1000,Non-elitist,11861.745591912322
1,1,10,1000,Non-elitist,13525.105400181075
1,1,11,1000,Non-elitist,11574.291120363749
1,1,12,1000,Non-elitist,12517.411521020567
1,1,13,1000,Non-elitist,14127.124963395374
1,1,14,1000,Non-elitist,11701.464318147602
1,1,15,1000,Non-elitist,14203.15647585632
1,1,16,1000,Non-elitist,11271.668249046756
1,1,17,1000,Non-elitist,9040.454069389363
1,1,18,1000,Non-elitist,12520.559828627993
1,1,19,1000,Non-elitist,7474.425448495914
1,2,0,1000,Non-elitist,11102.088397119613
1,2,1,1000,Non-elitist,10176.353802036996
1,2,2,1000,Non-elitist,17214.527816483373
1,2,3,1000,Non-elitist,16005.501297474466
1,2,4,1000,Non-elitist,12514.003495078076
1,2,5,1000,Non-elitist,14532.47458700898
1,2,6,1000,Non-elitist,13051.74163721629
1,2,7,1000,Non-elitist,15438.875455579064
1,2,8,1000,Non-elitist,10485.43195960367
1,2,9,1000,Non-elitist,11227.071434001591
1,2,10,1000,Non-elitist,16484.32705657593
1,2,11,1000,Non-elitist,16032.3940119888
1,2,12,1000,Non-elitist,13702.732443999736
1,2,13,1000,Non-elitist,9290.172563335176
1,2,14,1000,Non-elitist,13471.6744121968
1,2,15,1000,Non-elitist,17468.768030022922
1,2,16,1000,Non-elitist,14538.298561300904
1,2,17,1000,Non-elitist,13722.089935111228
1,2,18,1000,Non-elitist,11681.127056945308
1,2,19,1000,Non-elitist,15354.68920830741
1,3,0,1000,Non-elitist,12519.909451480042
1,3,1,1000,Non-elitist,11111.464365088606
1,3,2,1000,Non-elitist,15624.612679314074
1,3,3,1000,Non-elitist,11617.84582778244
1,3,4,1000,Non-elitist,11281.542558588651
1,3,5,1000,Non-elitist,11197.777033684037
1,3,6,1000,Non-elitist,11385.414849162104
1,3,7,1000,Non-elitist,10754.245225863902
1,3,8,1000,Non-elitist,10909.350939283087
1,3,9,1000,Non-elitist,16450.358034813427
1,3,10,1000,Non-elitist,15578.365660252271
1,3,11,1000,Non-elitist,14246.249220556509
1,3,12,1000,Non-elitist,15626.903538411312
1,3,13,1000,Non-elitist,14745.299870046858
1,3,14,1000,Non-elitist,12763.797304802434
1,3,15,1000,Non-elitist,15091.52918769906
1,3,16,1000,Non-elitist,13330.350953113924
1,3,17,1000,Non-elitist,14627.44811486057
1,3,18,1000,Non-elitist,8463.98365809781
1,3,19,1000,Non-elitist,18279.281042489147
1,4,0,1000,Non-elitist,16015.126170590484
1,4,1,1000,Non-elitist,12132.653624683886
1,4,2,1000,Non-elitist,13169.282664486633
1,4,3,1000,Non-elitist,10829.348562043298
1,4,4,1000,Non-elitist,10784.728545377917
1,4,5,1000,Non-elitist,16412.040268718345
1,4,6,1000,Non-elitist,10659.525841208244
1,4,7,1000,Non-elitist,15504.817953533902
1,4,8,1000,Non-elitist,10730.938125586808
1,4,9,1000,Non-elitist,14971.133481514406
1,4,10,1000,Non-elitist,16737.61671419402
1,4,11,1000,Non-elitist,16119.426313351163
1,4,12,1000,Non-elitist,16771.248339201757
1,4,13,1000,Non-elitist,15271.799600999548
1,4,14,1000,Non-elitist,12275.792825730075
1,4,15,1000,Non-elitist,11660.494154108836
1,4,16,1000,Non-elitist,14297.450382323144
1,4,17,1000,Non-elitist,10559.937801059314
1,4,18,1000,Non-elitist,10003.073096397084
1,4,19,1000,Non-elitist,12992.633330655612
1,5,0,1000,Non-elitist,16467.490915769395
1,5,1,1000,Non-elitist,13622.160093421786
1,5,2,1000,Non-elitist,14753.955657554465
1,5,3,1000,Non-elitist,11357.925034181802
1,5,4,1000,Non-elitist,12848.785654912845
1,5,5,1000,Non-elitist,13866.43985201411
1,5,6,1000,Non-elitist,13152.095895392413
1,5,7,1000,Non-elitist,15691.440328903218
1,5,8,1000,Non-elitist,16159.697233161409
1,5,9,1000,Non-elitist,15531.339543464528
1,5,10,1000,Non-elitist,14641.56944972196
1,5,11,1000,Non-elitist,16539.51494927064
1,5,12,1000,Non-elitist,15430.54816628026
1,5,13,1000,Non-elitist,15649.935402551164
1,5,14,1000,Non-elitist,17217.3210113293
1,5,15,1000,Non-elitist,16474.26328673848
1,5,16,1000,Non-elitist,16996.253540231835
1,5,17,1000,Non-elitist,14869.261860805918
1,5,18,1000,Non-elitist,16922.595876363863
1,5,19,1000,Non-elitist,15609.372422160772
1,6,0,1000,Non-elitist,11914.15177273913
1,6,1,1000,Non-elitist,12493.896528484993
1,6,2,1000,Non-elitist,8021.916943075522
1,6,3,1000,Non-elitist,12027.091404923844
1,6,4,1000,Non-elitist,15439.73242758475
1,6,5,1000,Non-elitist,13259.233437280902
1,6,6,1000,Non-elitist,13443.842977705994
1,6,7,1000,Non-elitist,14630.926622191668
1,6,8,1000,Non-elitist,14708.94050664635
1,6,9,1000,Non-elitist,11777.30366145792
1,6,10,1000,Non-elitist,11371.71735807508
1,6,11,1000,Non-elitist,17745.969762163182
1,6,12,1000,Non-elitist,16387.684967384892
1,6,13,1000,Non-elitist,10291.458677882663
1,6,14,1000,Non-elitist,8402.367395737163
1,6,15,1000,Non-elitist,14880.773128842826
1,6,16,1000,Non-elitist,10688.019438110972
1,6,17,1000,Non-elitist,11704.322520808011
1,6,18,1000,Non-elitist,12460.582435345492
1,6,19,1000,Non-elitist,10871.738186198596
1,7,0,1000,Non-elitist,16330.276679630282
1,7,1,1000,Non-elitist,12950.344463739802
1,7,2,1000,Non-elitist,15219.519794155003
1,7,3,1000,Non-elitist,10164.726017899397
1,7,4,1000,Non-elitist,12716.179972716964
1,7,5,1000,Non-elitist,10325.299917376871
1,7,6,1000,Non-elitist,10234.520493137114
1,7,7,1000,Non-elitist,9568.840732510997
1,7,8,1000,Non-elitist,10048.297712764206
1,7,9,1000,Non-elitist,15351.90087190056
1,7,10,1000,Non-elitist,15708.539078925269
1,7,11,1000,Non-elitist,16651.705584263156
1,7,12,1000,Non-elitist,9048.931541150776
1,7,13,1000,Non-elitist,14698.268922237798
1,7,14,1000,Non-elitist,12924.895836287356
1,7,15,1000,Non-elitist,11082.07834060296
1,7,16,1000,Non-elitist,8896.137769922287
1,7,17,1000,Non-elitist,10603.968962963743
1,7,18,1000,Non-elitist,12133.307925776637
1,7,19,1000,Non-elitist,14436.313413465992
2,1,0,1000,Non-elitist,13019.230322640184
2,1,1,1000,Non-elitist,17336.846657009275
2,1,2,1000,Non-elitist,14527.24637776422
2,1,3,1000,Non-elitist,12178.760422050693
2,1,4,1000,Non-elitist,13408.218184359745
2,1,5,1000,Non-elitist,9350.566267890825
2,1,6,1000,Non-elitist,8290.36873882802
2,1,7,1000,Non-elitist,11094.780740983912
2,1,8,1000,Non-elitist,11814.220174032402
2,1,9,1000,Non-elitist,10663.889254091317
2,1,10,1000,Non-elitist,10200.489940455283
2,1,11,1000,Non-elitist,10994.125847644667
2,1,12,1000,Non-elitist,11718.776041240377
2,1,13,1000,Non-elitist,9464.41849486479
2,1,14,1000,Non-elitist,10384.774921919214
2,1,15,1000,Non-elitist,10050.943558946336
2,1,16,1000,Non-elitist,13681.059903961395
2,1,17,1000,Non-elitist,14586.598140123186
2,1,18,1000,Non-elitist,10175.672129917117
2,1,19,1000,Non-elitist,13687.987285588271
2,2,0,1000,Non-elitist,17293.33207270347
2,2,1,1000,Non-elitist,14127.508879107205
2,2,2,1000,Non-elitist,12802.836812142245
2,2,3,1000,Non-elitist,9373.559515441912
2,2,4,1000,Non-elitist,18836.86735830581
2,2,5,1000,Non-elitist,11351.734363502444
2,2,6,1000,Non-elitist,11734.821253338458
2,2,7,1000,Non-elitist,15924.976570257124
2,2,8,1000,Non-elitist,13911.229428689989
2,2,9,1000,Non-elitist,18538.69891530604
2,2,10,1000,Non-elitist,14490.400479592134
2,2,11,1000,Non-elitist,12903.129572530752
2,2,12,1000,Non-elitist,10600.781481759504
2,2,13,1000,Non-elitist,12704.885850637502
2,2,14,1000,Non-elitist,14516.340824008112
2,2,15,1000,Non-elitist,14075.152285223076
2,2,16,1000,Non-elitist,12900.659430188378
2,2,17,1000,Non-elitist,11540.335132918604
2,2,18,1000,Non-elitist,18434.23419964861
2,2,19,1000,Non-elitist,12728.204436700937
2,3,0,1000,Non-elitist,10977.855249393282
2,3,1,1000,Non-elitist,13772.743647012629
2,3,2,1000,Non-elitist,11568.75421746181
2,3,3,1000,Non-elitist,10231.108785891698
2,3,4,1000,Non-elitist,12516.986769919247
2,3,5,1000,Non-elitist,13048.972997865563
2,3,6,1000,Non-elitist,9525.517232915428
2,3,7,1000,Non-elitist,18067.406447599908
2,3,8,1000,Non-elitist,13588.819490218497
2,3,9,1000,Non-elitist,8908.098736216974
2,3,10,1000,Non-elitist,12054.822602120652
2,3,11,1000,Non-elitist,12037.034244691557
2,3,12,1000,Non-elitist,12238.171204262337
2,3,13,1000,Non-elitist,11747.173908737845
2,3,14,1000,Non-elitist,15199.662963697008
2,3,15,1000,Non-elitist,11510.756517269549
2,3,16,1000,Non-elitist,16621.5509605912
2,3,17,1000,Non-elitist,14590.24935856512
2,3,18,1000,Non-elitist,16094.977358914426
2,3,19,1000,Non-elitist,13957.114601742596
2,4,0,1000,Non-elitist,12037.864809524448
2,4,1,1000,Non-elitist,13628.847795024789
2,4,2,1000,Non-elitist,9986.98230228758
2,4,3,1000,Non-elitist,19437.72660020723
2,4,4,1000,Non-elitist,12696.691548928751
2,4,5,1000,Non-elitist,12304.304303816189
2,4,6,1000,Non-elitist,14678.274432795595
2,4,7,1000,Non-elitist,13042.909105693429
2,4,8,1000,Non-elitist,15140.207361243669
2,4,9,1000,Non-elitist,12545.02559662182
2,4,10,1000,Non-elitist,10856.788973431125
2,4,11,1000,Non-elitist,13372.11482369394
2,4,12,1000,Non-elitist,14972.799518733987
2,4,13,1000,Non-elitist,12101.157253760914
2,4,14,1000,Non-elitist,11538.463208367886
2,4,15,1000,Non-elitist,16680.53510186076
2,4,16,1000,Non-elitist,16236.946185416831
2,4,17,1000,Non-elitist,10303.760951494069
2,4,18,1000,Non-elitist,15578.594967513178
2,4,19,1000,Non-elitist,14560.544727119654
2,5,0,1000,Non-elitist,17848.317994976576
2,5,1,1000,Non-elitist,15380.875717044928
2,5,2,1000,Non-elitist,17513.66459346492
2,5,3,1000,Non-elitist,15662.394607017684
2,5,4,1000,Non-elitist,13668.631732220783
2,5,5,1000,Non-elitist,13380.470496397416
2,5,6,1000,Non-elitist,9656.314542875054
2,5,7,1000,Non-elitist,14949.25199323644
2,5,8,1000,Non-elitist,15311.527367489784
2,5,9,1000,Non-elitist,13765.389505593546
2,5,10,1000,Non-elitist,13011.37876269945
2,5,11,1000,Non-elitist,15888.648497684962
2,5,12,1000,Non-elitist,15196.736866246334
2,5,13,1000,Non-elitist,12153.425673066387
2,5,14,1000,Non-elitist,10433.193941648067
2,5,15,1000,Non-elitist,12936.239546434535
2,5,16,1000,Non-elitist,13389.034830421444
2,5,17,1000,Non-elitist,14702.848457581287
2,5,18,1000,Non-elitist,16498.688087153845
2,5,19,1000,Non-elitist,13591.047285378225
2,6,0,1000,Non-elitist,15270.9928176223
2,6,1,1000,Non-elitist,11737.439369281015
2,6,2,1000,Non-elitist,10092.182471110114
2,6,3,1000,Non-elitist,12571.80512001633
2,6,4,1000,Non-elitist,10798.989579035911
2,6,5,1000,Non-elitist,11171.883566773266
2,6,6,1000,Non-elitist,16353.117107509024
2,6,7,1000,Non-elitist,13506.078487953908
2,6,8,1000,Non-elitist,11659.037605096431
2,6,9,1000,Non-elitist,10525.145433514135
2,6,10,1000,Non-elitist,12247.426292151646
2,6,11,1000,Non-elitist,15447.832279257393
2,6,12,1000,Non-elitist,11465.32531106538
2,6,13,1000,Non-elitist,11086.017482195868
2,6,14,1000,Non-elitist,14733.787555043127
2,6,15,1000,Non-elitist,13131.182655053355
2,6,16,1000,Non-elitist,11555.076879736462
2,6,17,1000,Non-elitist,13138.756413427784
2,6,18,1000,Non-elitist,9608.514291194748
