fid,iid,rep,a1_budget,algname,achieved_auc
23,1,0,1000,Non-elitist,6975.181750205989
23,1,1,1000,Non-elitist,7449.672949789607
23,1,2,1000,Non-elitist,6232.99333185777
23,1,3,1000,Non-elitist,5889.5018466165075
23,1,4,1000,Non-elitist,7621.686884343737
23,1,5,1000,Non-elitist,6998.360146970037
23,1,6,1000,Non-elitist,6674.970964440671
23,1,7,1000,Non-elitist,6595.563544273449
23,1,8,1000,Non-elitist,7191.008062935688
23,1,9,1000,Non-elitist,6781.939481623547
23,1,10,1000,Non-elitist,6931.409252047227
23,1,11,1000,Non-elitist,6722.774578917105
23,1,12,1000,Non-elitist,6782.6998030029845
23,1,13,1000,Non-elitist,5626.10332696047
23,1,14,1000,Non-elitist,6840.87452218028
23,1,15,1000,Non-elitist,6619.239179217171
23,1,16,1000,Non-elitist,7668.352852911042
23,1,17,1000,Non-elitist,8228.409718101859
23,1,18,1000,Non-elitist,6023.750662342209
23,1,19,1000,Non-elitist,7665.8002981999825
23,2,0,1000,Non-elitist,7105.2445839614265
23,2,1,1000,Non-elitist,6684.807219011827
23,2,2,1000,Non-elitist,7138.026187701389
23,2,3,1000,Non-elitist,5659.016595093433
23,2,4,1000,Non-elitist,9088.290923971597
23,2,5,1000,Non-elitist,6797.577535254769
23,2,6,1000,Non-elitist,7796.0452875208175
23,2,7,1000,Non-elitist,6536.834767784494
23,2,8,1000,Non-elitist,7773.965866301789
23,2,9,1000,Non-elitist,7531.314958942731
23,2,10,1000,Non-elitist,8799.862355497127
23,2,11,1000,Non-elitist,5907.76642815217
23,2,12,1000,Non-elitist,6593.042596303661
23,2,13,1000,Non-elitist,6720.652454351354
23,2,14,1000,Non-elitist,5647.487940831432
23,2,15,1000,Non-elitist,6927.08400716224
23,2,16,1000,Non-elitist,6910.622038687536
23,2,17,1000,Non-elitist,9519.354828994434
23,2,18,1000,Non-elitist,6152.99446043655
23,2,19,1000,Non-elitist,7009.538971751694
23,3,0,1000,Non-elitist,10366.327474865522
