fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,100,PSO,17683.047693287765
1,1,1,100,PSO,16626.149529856382
1,1,2,100,PSO,18338.193864260975
1,1,3,100,PSO,19652.83195248342
1,1,4,100,PSO,17799.347017388558
1,1,5,100,PSO,20209.45846223806
1,1,6,100,PSO,17621.186621689158
1,1,7,100,PSO,15670.590010018277
1,1,8,100,PSO,18072.5302363367
1,1,9,100,PSO,15407.543537362857
1,1,10,100,PSO,16601.96680526048
1,1,11,100,PSO,15363.714498721292
1,1,12,100,PSO,17259.807926731857
1,1,13,100,PSO,17491.14614323328
1,1,14,100,PSO,15688.874717307344
1,1,15,100,PSO,17768.153666769536
1,1,16,100,PSO,15385.234051326901
1,1,17,100,PSO,15502.968381183575
1,1,18,100,PSO,18171.057518302914
1,1,19,100,PSO,14081.100451099475
1,2,0,100,PSO,19707.850413020835
1,2,1,100,PSO,19971.871811732322
1,2,2,100,PSO,18033.063367641473
1,2,3,100,PSO,18375.615146898053
1,2,4,100,PSO,16910.54814349082
1,2,5,100,PSO,18889.865769083226
1,2,6,100,PSO,16993.63171503954
1,2,7,100,PSO,19558.77415151517
1,2,8,100,PSO,16761.181001131416
1,2,9,100,PSO,19395.73826312634
1,2,10,100,PSO,21701.907912747964
1,2,11,100,PSO,18267.043248936916
1,2,12,100,PSO,21033.892042934152
1,2,13,100,PSO,16869.04982958264
1,2,14,100,PSO,17304.892846851533
1,2,15,100,PSO,18764.871155426517
1,2,16,100,PSO,22069.044726430548
1,2,17,100,PSO,17929.868216714538
1,2,18,100,PSO,17710.029228018357
1,2,19,100,PSO,16026.719547668477
1,3,0,100,PSO,17786.888542895715
1,3,1,100,PSO,17678.053463899352
1,3,2,100,PSO,18727.175741984473
1,3,3,100,PSO,18760.118114552934
1,3,4,100,PSO,17421.808489658906
1,3,5,100,PSO,18773.43389104934
1,3,6,100,PSO,17877.4145413491
1,3,7,100,PSO,15314.369074774793
1,3,8,100,PSO,18261.45637160838
1,3,9,100,PSO,21486.463341735318
1,3,10,100,PSO,19649.160683920643
1,3,11,100,PSO,16575.556884978407
1,3,12,100,PSO,19629.301397112824
1,3,13,100,PSO,18605.194118643787
1,3,14,100,PSO,18671.76724480681
1,3,15,100,PSO,19374.08762148874
1,3,16,100,PSO,19855.632771032433
1,3,17,100,PSO,20207.75159201496
1,3,18,100,PSO,18037.018379194717
1,3,19,100,PSO,23733.292692668416
1,4,0,100,PSO,18148.527351144592
1,4,1,100,PSO,18108.008100435793
1,4,2,100,PSO,17463.31911294262
1,4,3,100,PSO,18382.050729236933
1,4,4,100,PSO,19250.40021938364
1,4,5,100,PSO,19866.800364399853
1,4,6,100,PSO,16723.732206023426
1,4,7,100,PSO,19240.938119703183
1,4,8,100,PSO,18276.991860208727
1,4,9,100,PSO,17354.11239275081
1,4,10,100,PSO,17720.700708850352
1,4,11,100,PSO,22084.908875641788
1,4,12,100,PSO,20562.56797381948
1,4,13,100,PSO,16505.521560261473
