fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,700,DE,7.729909253545288
1,1,1,700,DE,0.02095002432070626
1,1,2,700,DE,0.024387699132861238
1,1,3,700,DE,4.863684301003743
1,1,4,700,DE,0.024063846718546653
1,1,5,700,DE,12.95290044310962
1,1,6,700,DE,9.54399168980381
1,1,7,700,DE,0.022734241005641982
1,1,8,700,DE,13.075381836986658
1,1,9,700,DE,7.553220257838538
1,1,10,700,DE,11.81837699330507
1,1,11,700,DE,5.4673475265115306
1,1,12,700,DE,8.816054944808831
1,1,13,700,DE,9.009377815021617
1,1,14,700,DE,9.464294994376292
1,1,15,700,DE,11.283117732784053
1,1,16,700,DE,7.437097391460892
1,1,17,700,DE,0.022280668230023483
1,1,18,700,DE,11.148006495194508
1,1,19,700,DE,0.02472704756071049
1,2,0,700,DE,5.900074886549549
1,2,1,700,DE,0.021055861451334472
1,2,2,700,DE,13.822902213253684
1,2,3,700,DE,11.402736862358367
1,2,4,700,DE,10.333702799377283
1,2,5,700,DE,11.370468516660397
1,2,6,700,DE,8.571579083949686
1,2,7,700,DE,11.246830218088855
1,2,8,700,DE,7.651771440307568
1,2,9,700,DE,4.796750511039659
1,2,10,700,DE,13.672963401532625
1,2,11,700,DE,12.986029058623782
1,2,12,700,DE,7.1930562157403095
1,2,13,700,DE,0.023813230327054447
1,2,14,700,DE,8.430822311461236
1,2,15,700,DE,13.289146381123146
1,2,16,700,DE,10.160933005838892
1,2,17,700,DE,8.84084972266547
1,2,18,700,DE,7.645464419792661
1,2,19,700,DE,9.66188819070378
1,3,0,700,DE,10.468570213119543
1,3,1,700,DE,6.985500370141609
1,3,2,700,DE,13.021585122822021
1,3,3,700,DE,0.022475813733851643
1,3,4,700,DE,7.267295449042596
1,3,5,700,DE,0.023270252385749656
1,3,6,700,DE,4.725543944478904
1,3,7,700,DE,8.382303882310095
1,3,8,700,DE,0.02139257064690805
1,3,9,700,DE,13.919129375137247
1,3,10,700,DE,11.507905948949704
1,3,11,700,DE,8.61598399324269
1,3,12,700,DE,11.949212662265351
1,3,13,700,DE,9.721354338304357
1,3,14,700,DE,9.815309183270227
1,3,15,700,DE,10.253488625358525
1,3,16,700,DE,7.995892789362841
1,3,17,700,DE,10.654673562296104
1,3,18,700,DE,0.020734055282590483
1,3,19,700,DE,16.091826493907746
1,4,0,700,DE,12.462893328510443
1,4,1,700,DE,8.431656982445093
1,4,2,700,DE,8.964390052769366
1,4,3,700,DE,0.025092461050674593
1,4,4,700,DE,0.022145888287531702
1,4,5,700,DE,12.345098087080318
1,4,6,700,DE,0.019711374452866054
1,4,7,700,DE,13.475208860892083
1,4,8,700,DE,5.195774742560998
1,4,9,700,DE,9.819175719116739
1,4,10,700,DE,13.20810961941423
1,4,11,700,DE,12.399101802577732
1,4,12,700,DE,13.401331904016898
1,4,13,700,DE,12.948874236062977
1,4,14,700,DE,9.798531895718922
1,4,15,700,DE,6.827808127660857
1,4,16,700,DE,11.671467439178937
1,4,17,700,DE,0.024259759227844152
1,4,18,700,DE,0.02426698151952296
1,4,19,700,DE,9.383147486286004
1,5,0,700,DE,11.710972771787665
1,5,1,700,DE,7.644582361861041
1,5,2,700,DE,11.408326632600081
1,5,3,700,DE,7.526200937458282
1,5,4,700,DE,9.165366855716645
1,5,5,700,DE,9.735330654768278
1,5,6,700,DE,8.932157211777634
1,5,7,700,DE,9.851296132212482
1,5,8,700,DE,11.825950260524426
1,5,9,700,DE,12.102944145027264
1,5,10,700,DE,10.852523820290237
1,5,11,700,DE,13.27966737014792
1,5,12,700,DE,12.713079010513786
1,5,13,700,DE,12.494708637045667
1,5,14,700,DE,12.233599473391791
1,5,15,700,DE,13.130181423852047
1,5,16,700,DE,15.87800407622317
1,5,17,700,DE,10.33082252596172
1,5,18,700,DE,14.364800129688252
1,5,19,700,DE,13.473722505265279
1,6,0,700,DE,6.864970131610442
1,6,1,700,DE,5.254161436535113
1,6,2,700,DE,0.022066344773651162
1,6,3,700,DE,8.111874688404487
1,6,4,700,DE,11.432750025395336
1,6,5,700,DE,9.755188898016696
1,6,6,700,DE,10.128552709689698
1,6,7,700,DE,8.209682110617468
1,6,8,700,DE,10.511535155012654
1,6,9,700,DE,4.932465069428387
1,6,10,700,DE,0.021720596991949535
1,6,11,700,DE,13.287500262312756
1,6,12,700,DE,14.218461338101566
1,6,13,700,DE,0.022741743675214234
1,6,14,700,DE,0.019492092418817896
1,6,15,700,DE,10.679033477833876
1,6,16,700,DE,0.018914937556159167
1,6,17,700,DE,7.958028927267913
1,6,18,700,DE,8.992682144213642
1,6,19,700,DE,5.654580861130361
1,7,0,700,DE,11.368483930764986
1,7,1,700,DE,7.841970475399476
1,7,2,700,DE,10.268585834249537
1,7,3,700,DE,0.028029062501589277
1,7,4,700,DE,9.630867309691551
1,7,5,700,DE,0.02174131867436974
1,7,6,700,DE,0.021778871472316167
1,7,7,700,DE,0.0224670943247143
1,7,8,700,DE,0.025831632559295763
1,7,9,700,DE,11.28220455889233
1,7,10,700,DE,12.668694124695165
1,7,11,700,DE,11.90078160044171
1,7,12,700,DE,0.023329759961771963
1,7,13,700,DE,9.90119789103696
1,7,14,700,DE,9.321359185938515
1,7,15,700,DE,0.020875038361742152
1,7,16,700,DE,0.021282933457403872
1,7,17,700,DE,7.020403069414605
1,7,18,700,DE,7.0537886355181625
1,7,19,700,DE,9.338768856847732
2,1,0,700,DE,7.059660416785355
2,1,1,700,DE,8.449200914835812
2,1,2,700,DE,7.098920548289727
2,1,3,700,DE,5.90306239013019
2,1,4,700,DE,7.272218307885775
2,1,5,700,DE,7.108205135109411
2,1,6,700,DE,5.937668365815022
2,1,7,700,DE,6.828827322318238
2,1,8,700,DE,6.954009057595588
2,1,9,700,DE,7.128066564268272
2,1,10,700,DE,7.895444643541551
2,1,11,700,DE,5.862284713321289
2,1,12,700,DE,6.89921729540189
2,1,13,700,DE,6.242441092366742
2,1,14,700,DE,6.960844508177647
2,1,15,700,DE,5.789248781715846
2,1,16,700,DE,7.553239226781761
2,1,17,700,DE,6.735110513274389
2,1,18,700,DE,5.913513849432194
2,1,19,700,DE,8.12573424191535
2,2,0,700,DE,6.522504622338011
2,2,1,700,DE,6.649577380601113
2,2,2,700,DE,5.43968296006629
2,2,3,700,DE,6.068909564293656
2,2,4,700,DE,8.679884136972214
2,2,5,700,DE,6.82190409427058
2,2,6,700,DE,6.112325019612375
2,2,7,700,DE,6.202527350610337
2,2,8,700,DE,7.320045331728489
2,2,9,700,DE,9.673595213438466
2,2,10,700,DE,6.547395333642168
2,2,11,700,DE,6.603775444834454
2,2,12,700,DE,5.081215899366816
2,2,13,700,DE,5.014958729984641
2,2,14,700,DE,7.06193968080611
2,2,15,700,DE,6.869383002340167
2,2,16,700,DE,9.325242034653357
2,2,17,700,DE,5.587578900261539
2,2,18,700,DE,8.335008250101998
2,2,19,700,DE,7.018405246915579
2,3,0,700,DE,5.467737557158013
2,3,1,700,DE,7.5650490178597005
2,3,2,700,DE,6.137471947718442
2,3,3,700,DE,5.842276250818491
2,3,4,700,DE,8.447073793634948
2,3,5,700,DE,7.427706378381978
2,3,6,700,DE,6.896800522151975
2,3,7,700,DE,5.871853703172093
2,3,8,700,DE,6.95513442521254
2,3,9,700,DE,7.403116531931873
