fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,150,PSO,15.055805311243804
1,1,1,150,PSO,12.790098469875764
1,1,2,150,PSO,15.870154244860863
1,1,3,150,PSO,16.166179022161057
1,1,4,150,PSO,14.36882654373183
1,1,5,150,PSO,14.111412267859762
1,1,6,150,PSO,12.640953923280897
1,1,7,150,PSO,15.551885799211792
1,1,8,150,PSO,13.771571295442987
1,1,9,150,PSO,14.214232267948049
1,1,10,150,PSO,17.09885211758804
1,1,11,150,PSO,15.508052746632998
1,1,12,150,PSO,14.036570273179601
1,1,13,150,PSO,16.471165584307844
1,1,14,150,PSO,14.829289185198904
1,1,15,150,PSO,15.059022163005933
1,1,16,150,PSO,13.849319273594107
1,1,17,150,PSO,15.122771891553475
1,1,18,150,PSO,13.711046813828492
1,1,19,150,PSO,12.04924388218357
1,2,0,150,PSO,14.173972006657612
1,2,1,150,PSO,17.430302443029383
1,2,2,150,PSO,16.86855492371273
1,2,3,150,PSO,15.678800927609004
1,2,4,150,PSO,15.07476563463107
1,2,5,150,PSO,18.57660294454612
1,2,6,150,PSO,15.46628051972125
1,2,7,150,PSO,14.290939427336626
1,2,8,150,PSO,12.094065936514305
1,2,9,150,PSO,13.13668411712476
1,2,10,150,PSO,16.451105954236827
1,2,11,150,PSO,16.385397603083327
1,2,12,150,PSO,20.208577737601495
1,2,13,150,PSO,13.647605553242883
1,2,14,150,PSO,16.13395327171433
1,2,15,150,PSO,20.021083746306306
1,2,16,150,PSO,17.674725479660037
1,2,17,150,PSO,18.420980664912168
1,2,18,150,PSO,15.526674116255206
1,2,19,150,PSO,19.00955718129846
1,3,0,150,PSO,12.150209304055197
1,3,1,150,PSO,14.947847795717465
1,3,2,150,PSO,17.108871907825044
1,3,3,150,PSO,17.044716543090153
1,3,4,150,PSO,12.98455153636521
1,3,5,150,PSO,15.040233317642679
1,3,6,150,PSO,12.611980921649215
1,3,7,150,PSO,14.578164102584099
1,3,8,150,PSO,14.70729025511982
1,3,9,150,PSO,17.08024569868709
1,3,10,150,PSO,18.679034316409023
1,3,11,150,PSO,14.235947969744707
1,3,12,150,PSO,14.317925689720091
1,3,13,150,PSO,16.22326679580079
1,3,14,150,PSO,15.990748577958023
1,3,15,150,PSO,15.044409089025823
1,3,16,150,PSO,16.97640279502498
1,3,17,150,PSO,14.13162594016848
1,3,18,150,PSO,17.21257214728847
1,3,19,150,PSO,19.219212633503844
1,4,0,150,PSO,15.387630487601507
1,4,1,150,PSO,15.135973553458495
1,4,2,150,PSO,16.041651550303417
1,4,3,150,PSO,16.141712955581085
1,4,4,150,PSO,16.569780878887745
1,4,5,150,PSO,13.577917720492897
1,4,6,150,PSO,17.4853278910779
1,4,7,150,PSO,16.399933590892935
1,4,8,150,PSO,13.751670422201345
1,4,9,150,PSO,15.876053895155769
1,4,10,150,PSO,15.104001722122682
1,4,11,150,PSO,16.84956874672914
1,4,12,150,PSO,17.0099145178335
1,4,13,150,PSO,14.68284149873076
1,4,14,150,PSO,14.125472044602198
1,4,15,150,PSO,13.926139609205181
1,4,16,150,PSO,14.246191023006112
1,4,17,150,PSO,15.946997096312407
1,4,18,150,PSO,13.124737176462833
1,4,19,150,PSO,18.699258103681615
1,5,0,150,PSO,16.944327447679004
1,5,1,150,PSO,17.575832808818646
1,5,2,150,PSO,15.491138742283447
1,5,3,150,PSO,16.260083149429686
1,5,4,150,PSO,16.191579197390542
1,5,5,150,PSO,14.749672732577846
1,5,6,150,PSO,16.194747736773504
1,5,7,150,PSO,18.510938763754087
1,5,8,150,PSO,17.07284673516461
1,5,9,150,PSO,17.428252669246152
1,5,10,150,PSO,16.58616737533814
1,5,11,150,PSO,17.753556014744387
1,5,12,150,PSO,14.393935115612734
1,5,13,150,PSO,14.319953570079933
1,5,14,150,PSO,17.25924236509366
1,5,15,150,PSO,18.2477830451794
1,5,16,150,PSO,15.795062074516666
1,5,17,150,PSO,15.631097263250249
1,5,18,150,PSO,17.106591837914674
1,5,19,150,PSO,17.093496327981796
1,6,0,150,PSO,15.950582086211712
1,6,1,150,PSO,17.91456433435964
1,6,2,150,PSO,13.469795630649934
1,6,3,150,PSO,16.259514375564535
1,6,4,150,PSO,14.447236814037263
1,6,5,150,PSO,13.311551749592804
1,6,6,150,PSO,14.439006939678228
1,6,7,150,PSO,17.162956274293904
1,6,8,150,PSO,13.850316938600935
1,6,9,150,PSO,17.014434021946247
1,6,10,150,PSO,17.121439525089915
1,6,11,150,PSO,16.533503641179156
1,6,12,150,PSO,14.7520467098492
1,6,13,150,PSO,14.193717124348542
1,6,14,150,PSO,13.122355989552327
1,6,15,150,PSO,15.899575589539042
1,6,16,150,PSO,17.186423689197053
1,6,17,150,PSO,15.270062174461284
1,6,18,150,PSO,12.876441381445371
1,6,19,150,PSO,11.943674362085334
1,7,0,150,PSO,19.635201472655105
