fid,iid,rep,a1_budget,algname,achieved_auc
1,6,0,0,BFGS,53055.98375251362
1,6,1,0,BFGS,44618.05022267901
1,6,2,0,BFGS,48274.297169638514
1,6,3,0,BFGS,45001.135457992394
1,6,4,0,BFGS,55762.06829683384
1,6,5,0,BFGS,47146.9017579584
1,6,6,0,BFGS,41690.99595228498
1,6,7,0,BFGS,55305.49182406822
1,6,8,0,BFGS,54468.71180200331
1,6,9,0,BFGS,45136.11389217309
1,6,10,0,BFGS,50076.74099306596
1,6,11,0,BFGS,65174.08996079497
1,6,12,0,BFGS,69293.15882840345
1,6,13,0,BFGS,72727.1705741661
1,6,14,0,BFGS,51979.465742521636
1,6,15,0,BFGS,46530.180869709744
1,6,16,0,BFGS,34820.68200751595
1,6,17,0,BFGS,52530.86249976733
1,6,18,0,BFGS,44572.567273134664
1,6,19,0,BFGS,45739.55715207226
1,7,0,0,BFGS,64997.459064134295
1,7,1,0,BFGS,53695.76190542918
1,7,2,0,BFGS,46500.19502150438
1,7,3,0,BFGS,29466.382400924747
1,7,4,0,BFGS,53903.98945947384
1,7,5,0,BFGS,42432.931032815046
1,7,6,0,BFGS,50925.201781227246
1,7,7,0,BFGS,44149.36526064995
1,7,8,0,BFGS,34460.76677512711
1,7,9,0,BFGS,57125.68090517039
1,7,10,0,BFGS,59216.62211215728
1,7,11,0,BFGS,60585.876726818475
1,7,12,0,BFGS,58681.21970358114
1,7,13,0,BFGS,46150.412869092805
1,7,14,0,BFGS,49217.62838548809
1,7,15,0,BFGS,31427.660512218616
1,7,16,0,BFGS,39654.89570135333
1,7,17,0,BFGS,46167.49789575762
1,7,18,0,BFGS,46350.55841003689
1,7,19,0,BFGS,55294.14081434671
2,6,0,0,BFGS,51216.157445238736
2,6,1,0,BFGS,58339.93509178909
2,6,2,0,BFGS,69550.20505106429
2,6,3,0,BFGS,43588.4200088346
2,6,4,0,BFGS,40172.20753111754
2,6,5,0,BFGS,52169.955361652566
2,6,6,0,BFGS,117732.06495505015
2,6,7,0,BFGS,19499.870218067448
2,6,8,0,BFGS,55396.03008853394
2,6,9,0,BFGS,48113.77362873591
2,6,10,0,BFGS,71078.86039181189
2,6,11,0,BFGS,64177.603022537674
2,6,12,0,BFGS,66134.50515459411
2,6,13,0,BFGS,63668.05208157284
2,6,14,0,BFGS,24678.031461037426
2,6,15,0,BFGS,75538.19412504713
2,6,16,0,BFGS,84048.309489718
2,6,17,0,BFGS,67791.94117344602
2,6,18,0,BFGS,56807.973718561
2,6,19,0,BFGS,65455.03455816684
2,7,0,0,BFGS,42143.09392084585
2,7,1,0,BFGS,51682.167815415756
2,7,2,0,BFGS,36048.15047142417
2,7,3,0,BFGS,82433.98894034803
2,7,4,0,BFGS,45774.47701085809
2,7,5,0,BFGS,56480.626639691545
2,7,6,0,BFGS,62501.67007383472
2,7,7,0,BFGS,139407.49558025203
2,7,8,0,BFGS,63230.16354061533
2,7,9,0,BFGS,82750.86306624507
2,7,10,0,BFGS,100941.9504646241
2,7,11,0,BFGS,23970.54984703372
2,7,12,0,BFGS,69375.04436973305
2,7,13,0,BFGS,38157.47661721266
2,7,14,0,BFGS,87910.6720320903
2,7,15,0,BFGS,55512.951021658824
2,7,16,0,BFGS,28609.595151081157
2,7,17,0,BFGS,50924.60735020899
2,7,18,0,BFGS,31625.175525099025
2,7,19,0,BFGS,24130.735619423598
3,6,0,0,BFGS,14969.23794675525
3,6,1,0,BFGS,14482.764186006716
3,6,2,0,BFGS,18214.866016766828
3,6,3,0,BFGS,13679.202829945956
3,6,4,0,BFGS,14131.12705722134
3,6,5,0,BFGS,21724.24720229875
3,6,6,0,BFGS,11778.33470622241
3,6,7,0,BFGS,12832.98260902454
3,6,8,0,BFGS,14369.363456152403
3,6,9,0,BFGS,12131.06626021048
3,6,10,0,BFGS,13042.489749708122
3,6,11,0,BFGS,21370.399976969853
3,6,12,0,BFGS,21969.17186771678
3,6,13,0,BFGS,17389.368352276484
3,6,14,0,BFGS,13414.56488321927
3,6,15,0,BFGS,17214.677303612138
3,6,16,0,BFGS,15860.343689666679
3,6,17,0,BFGS,16681.55808385393
3,6,18,0,BFGS,17575.44576911337
3,6,19,0,BFGS,17610.419878445275
3,7,0,0,BFGS,16781.918969745955
3,7,1,0,BFGS,15207.85844190063
3,7,2,0,BFGS,21153.799464100724
3,7,3,0,BFGS,15192.796512498166
3,7,4,0,BFGS,17322.353215333336
3,7,5,0,BFGS,20891.394823632014
3,7,6,0,BFGS,12670.40326671188
3,7,7,0,BFGS,16257.167316989751
3,7,8,0,BFGS,16855.859869678898
3,7,9,0,BFGS,21318.492060759767
3,7,10,0,BFGS,19005.12666993335
3,7,11,0,BFGS,18290.227989432104
3,7,12,0,BFGS,19655.00395911607
3,7,13,0,BFGS,13245.698496731813
3,7,14,0,BFGS,16643.212628051268
3,7,15,0,BFGS,14985.525182728825
3,7,16,0,BFGS,18318.30706570378
3,7,17,0,BFGS,14023.057244142028
3,7,18,0,BFGS,16730.84482452252
3,7,19,0,BFGS,15279.311060450422
4,6,0,0,BFGS,98930.35648071548
4,6,1,0,BFGS,68284.43419520425
4,6,2,0,BFGS,73364.78843666021
4,6,3,0,BFGS,84618.78145896454
4,6,4,0,BFGS,131781.35808723414
4,6,5,0,BFGS,129410.9287569224
4,6,6,0,BFGS,54892.78514331352
4,6,7,0,BFGS,76990.73666772518
4,6,8,0,BFGS,79115.81501278147
4,6,9,0,BFGS,72134.0001273556
4,6,10,0,BFGS,97216.62321282904
4,6,11,0,BFGS,118702.09347674031
