fid,iid,rep,a1_budget,algname,achieved_regret
1,6,0,0,Non-elitist,0.02291963107298709
1,6,1,0,Non-elitist,0.023474413202128102
1,6,2,0,Non-elitist,0.023367114704181364
1,6,3,0,Non-elitist,0.027753608615086422
1,6,4,0,Non-elitist,8.913240134445202
1,6,5,0,Non-elitist,0.0228927426699185
1,6,6,0,Non-elitist,0.0272243819131745
1,6,7,0,Non-elitist,0.023382514754961888
1,6,8,0,Non-elitist,0.0231354823762584
1,6,9,0,Non-elitist,0.02219091348826463
1,6,10,0,Non-elitist,0.025193441637163923
1,6,11,0,Non-elitist,11.575138261610105
1,6,12,0,Non-elitist,12.555262529129788
1,6,13,0,Non-elitist,0.021432864568065993
1,6,14,0,Non-elitist,0.019492092418817896
1,6,15,0,Non-elitist,0.020782074214104804
1,6,16,0,Non-elitist,0.02253696130161925
1,6,17,0,Non-elitist,0.022734096563154522
1,6,18,0,Non-elitist,0.02075314613215249
1,6,19,0,Non-elitist,0.022490535079826512
1,7,0,0,Non-elitist,9.878847453148188
1,7,1,0,Non-elitist,0.020290609376926064
1,7,2,0,Non-elitist,10.287037645980327
1,7,3,0,Non-elitist,0.022640257254423892
1,7,4,0,Non-elitist,0.024266119384837397
1,7,5,0,Non-elitist,0.021618236390735176
1,7,6,0,Non-elitist,0.026020684786304173
1,7,7,0,Non-elitist,0.020307466302492694
1,7,8,0,Non-elitist,0.024309729266106375
1,7,9,0,Non-elitist,11.036758971929872
1,7,10,0,Non-elitist,12.462411967274553
1,7,11,0,Non-elitist,11.825497527011995
1,7,12,0,Non-elitist,0.021186735414425333
1,7,13,0,Non-elitist,0.02659026564242142
1,7,14,0,Non-elitist,0.022907777610997257
1,7,15,0,Non-elitist,0.02233174941585946
1,7,16,0,Non-elitist,0.01984762401868221
1,7,17,0,Non-elitist,0.019923977627822758
1,7,18,0,Non-elitist,0.023530016403137215
1,7,19,0,Non-elitist,6.303996532938198
2,6,0,0,Non-elitist,5.825402111028231
2,6,1,0,Non-elitist,6.276050538584312
2,6,2,0,Non-elitist,5.35182387280836
2,6,3,0,Non-elitist,5.277894641883125
2,6,4,0,Non-elitist,5.9933602409326445
2,6,5,0,Non-elitist,5.524396857290656
2,6,6,0,Non-elitist,6.042627068004677
2,6,7,0,Non-elitist,7.308361192164612
2,6,8,0,Non-elitist,5.586163937001992
2,6,9,0,Non-elitist,4.498982980276247
2,6,10,0,Non-elitist,5.321106018505234
2,6,11,0,Non-elitist,5.333015940084398
