evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 4344.7929573335 0.0000000000 1.0000000000 0.3300957080 67.0000000000 5.4207930753 0.8555319320 5.2218072516 0.0356057110 4.0316672156 0.0137911543 27.2672709731 -127.7758290013 28.0974471082 7.1102794840 3.528105 0.800314 1.957476 4.481786 3.735116 -1.954556 1.900177 -0.302714 -0.206438 0.821197 0.288087 2.908547 1.522075 0.243350 0.887726 0.667349 2.988158 -0.410317 0.626135 -1.708191 -5.000000 1.307237 1.728872 -1.484330 4.539509 -2.908731 0.091517 -0.374368 3.065558 2.938718 0.309895 0.756325 -1.775571 -3.961593 -0.695824 0.312698 2.460581 2.404760 -0.774654 -0.604606
2 3585.3742706628 0.0000000000 1.0000000000 0.3300957080 67.0000000000 5.4207930753 0.8555319320 5.2218072516 0.0356057110 4.0316672156 0.0137911543 27.2672709731 -127.7758290013 28.0974471082 7.1102794840 -2.097106 -2.840036 -3.412540 3.901551 -1.019304 -0.876149 -2.505591 1.554981 -3.227796 -0.425481 -1.790933 0.773805 -1.021610 -2.361264 -0.056364 0.856664 0.133034 0.604944 -1.268644 -0.725482 -1.344921 -0.719106 -1.626293 -3.452565 0.354852 -0.803562 -3.260397 0.925565 -1.814597 0.103891 1.458181 0.257966 2.278801 -2.469652 0.804683 -1.369620 -1.741594 -1.157699 -0.623105 0.112331
5 3130.4523552694 0.0000000000 1.0000000000 0.3300957080 67.0000000000 5.4207930753 0.8555319320 5.2218072516 0.0356057110 4.0316672156 0.0137911543 27.2672709731 -127.7758290013 28.0974471082 7.1102794840 -0.996065 3.859064 1.898842 0.175102 -2.450871 1.688726 -2.000431 -3.089542 2.376060 0.633885 1.841718 0.637455 1.713661 -1.302051 -2.068486 1.363189 -1.606819 -1.379100 -0.911065 0.034958 -0.707988 -2.749903 -1.287237 -4.446806 1.250463 -3.204115 -2.208767 0.104330 -1.479126 3.086029 -2.585714 0.534102 -0.078566 -2.336187 1.046553 -0.343093 1.543581 1.647008 4.326472 2.673056
17 3019.9880684550 0.0000000000 1.0000000000 1.9108843794 1.0000000000 6.3097660311 0.9976372785 3.8288786926 -0.0792244091 3.2470334907 -0.0671852859 14.6603120429 -1306.0719242259 27.1252738824 6.8598915348 -4.113749 1.331674 1.709466 3.679994 1.545265 0.059273 -3.020221 -0.549471 3.410318 -0.430051 0.924812 0.706905 5.000000 0.686559 0.158924 2.550658 -3.142667 -0.386712 -1.613473 3.536930 -0.533126 -0.985759 0.900591 -2.886143 0.982499 0.179723 -5.000000 -0.309502 -0.349492 -0.890143 0.823571 -2.179444 -2.375283 -0.111836 -1.002143 -1.298082 0.513420 0.024504 2.862259 0.543679
39 2916.0485579157 0.0000000000 1.0000000000 1.8374844716 2.0000000000 6.2951675284 0.9953052774 4.1744373019 -0.0371354160 3.6219383598 -0.0343007178 17.4259267879 -1214.9601786024 24.6205745265 6.2592517695 0.963879 0.028768 -0.352389 1.389511 1.962138 -1.559274 -4.240421 0.724530 2.466780 1.313537 2.579933 -1.327856 4.205153 -2.921084 1.286379 -0.129418 -0.099749 -2.419462 -4.126608 -0.557891 0.202759 -1.565126 0.328841 -2.267330 0.038279 -0.671306 -4.876185 1.703101 0.384673 -0.744625 0.229691 0.391185 -4.606150 1.202076 -1.586343 -1.152239 0.061389 4.040611 1.193723 2.118077
50 2794.1685458673 0.0000000000 1.0000000000 1.7772898249 3.0000000000 6.2809667319 0.9930356614 4.4902722015 -0.0312512006 3.9744105813 -0.0304926495 20.1625444436 -1222.5404207606 25.8175644171 6.5852478660 -3.552566 1.386484 1.354968 1.490858 4.074942 -0.270412 -3.412693 -1.349351 1.577411 -2.521014 0.785215 -0.033912 5.000000 -0.622046 -0.288270 2.510004 -2.027266 -3.710903 -0.748241 -0.015872 0.031836 -0.574812 -0.877118 0.212239 3.099690 0.647952 -3.814472 -2.327741 1.918700 -1.882564 -2.008862 -0.056522 -2.300509 0.120341 -2.037384 0.306088 -1.613941 4.915720 4.762976 1.359262
51 2632.8288114605 0.0000000000 1.0000000000 1.7772898249 3.0000000000 6.2809667319 0.9930356614 4.4902722015 -0.0312512006 3.9744105813 -0.0304926495 20.1625444436 -1222.5404207606 25.8175644171 6.5852478660 2.040235 -0.693943 1.570616 0.928175 -0.256958 -0.249181 -3.872499 -2.199107 1.732727 -0.493612 3.404970 -2.473349 1.912277 0.189406 -1.292338 4.136853 -0.024596 -3.261588 0.295361 -3.263459 1.086845 -1.575087 -5.000000 -2.284382 4.061775 1.172056 -3.880007 0.809327 0.543583 1.933010 -0.367042 0.326743 -4.509641 -0.091331 -1.224281 -3.315995 0.116638 3.491760 0.358342 -0.721003
66 2365.1287189791 0.0000000000 1.0000000000 1.7446105123 4.0000000000 6.2684464002 0.9910351379 5.2851181029 -0.0642419385 4.6833416162 -0.0593235101 27.9324733614 -1195.2266009110 25.2066828117 6.4048176213 -1.114132 0.098180 1.505946 -1.326506 -1.411688 2.908252 -4.438459 -3.063718 2.549402 0.765116 1.836991 -4.032163 1.286736 -4.499883 0.129309 2.041214 -1.180966 0.927620 1.162330 -1.917580 -0.615055 -1.561406 -0.243210 -0.203052 1.667419 1.571404 -3.538973 2.103385 -0.768767 2.245365 -0.328218 0.927080 -4.939477 -0.265757 0.252740 -1.366585 -2.267351 3.827194 -1.379082 -0.780367
107 2259.9682775628 0.0000000000 1.0000000000 1.6228671700 7.0000000000 6.2309805848 0.9850391183 5.0533696351 -0.1507702668 4.5736613483 -0.1371808978 25.5365446687 -1154.8123985160 25.5474356461 6.5168021191 2.934818 0.026027 -1.528438 0.932208 0.609503 2.478992 -5.000000 -2.883947 2.398708 -0.095804 1.471788 -1.510062 4.927596 -0.448771 0.857176 0.561346 -4.014614 1.209447 0.675012 -1.796533 0.723910 -0.586879 -2.473777 2.723477 4.521067 2.312324 -1.224000 -0.003638 0.790623 3.349068 1.260923 1.837347 -4.861029 1.445481 1.336726 -3.069564 -0.138177 2.617919 2.048397 0.819603
108 2124.2046168682 0.0000000000 1.0000000000 1.6228671700 7.0000000000 6.2309805848 0.9850391183 5.0533696351 -0.1507702668 4.5736613483 -0.1371808978 25.5365446687 -1154.8123985160 25.5474356461 6.5168021191 3.417015 -0.010452 -2.082082 -0.333692 0.972447 1.232303 -2.731962 -4.167290 1.376158 -0.064647 1.001362 -2.481286 3.452244 -0.012527 -2.982653 -0.206317 -2.963716 -1.782752 -2.309349 1.689586 -1.303269 -2.721041 0.176742 -2.478878 1.727657 0.210073 -4.205094 0.331213 0.025073 1.459199 -1.045467 -0.145782 -5.000000 0.677646 -0.604382 -1.230743 -0.288022 2.365884 -1.053189 1.004793
