fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,900,BFGS,567.3309087364185
1,1,1,900,BFGS,627.1535790163401
1,1,2,900,BFGS,341.4162227578569
1,1,3,900,BFGS,338.391015989205
1,1,4,900,BFGS,244.08529587917818
1,1,5,900,BFGS,160.89981152239392
1,1,6,900,BFGS,459.9362261356781
1,1,7,900,BFGS,228.42638555153738
1,1,8,900,BFGS,477.51812704037025
1,1,9,900,BFGS,346.7683271909956
1,1,10,900,BFGS,227.85823449968154
1,1,11,900,BFGS,256.15767642514345
1,1,12,900,BFGS,387.64207748037114
1,1,13,900,BFGS,379.7164745897921
1,1,14,900,BFGS,486.88697243940953
1,1,15,900,BFGS,436.93992237165776
1,1,16,900,BFGS,189.65646446530596
1,1,17,900,BFGS,548.1822904168896
1,1,18,900,BFGS,491.71446594102923
1,1,19,900,BFGS,266.7992226042684
1,2,0,900,BFGS,776.9021336547071
1,2,1,900,BFGS,1083.9946079601395
1,2,2,900,BFGS,1246.271025808894
1,2,3,900,BFGS,691.4992398104102
1,2,4,900,BFGS,797.4901190752256
1,2,5,900,BFGS,788.8691357414335
1,2,6,900,BFGS,894.5282110118067
1,2,7,900,BFGS,628.6793276783625
1,2,8,900,BFGS,1447.4344345386494
1,2,9,900,BFGS,839.5983685360195
1,2,10,900,BFGS,771.224157727223
1,2,11,900,BFGS,1587.1595701069969
1,2,12,900,BFGS,1421.9186526452627
1,2,13,900,BFGS,1190.583539263178
1,2,14,900,BFGS,951.0291133716387
1,2,15,900,BFGS,649.8534523723379
1,2,16,900,BFGS,693.9191098166789
1,2,17,900,BFGS,1650.7335160082184
1,2,18,900,BFGS,1025.9032201372693
1,2,19,900,BFGS,997.7222079668227
1,3,0,900,BFGS,1028.6754014192427
1,3,1,900,BFGS,616.8702972969105
1,3,2,900,BFGS,545.3461309085124
1,3,3,900,BFGS,603.1534012083106
1,3,4,900,BFGS,574.2645284202865
1,3,5,900,BFGS,839.5612304241538
1,3,6,900,BFGS,409.0970443479905
1,3,7,900,BFGS,502.9446549079519
1,3,8,900,BFGS,834.3912016058606
1,3,9,900,BFGS,592.8217021888635
1,3,10,900,BFGS,631.3125313743693
1,3,11,900,BFGS,978.390932531158
1,3,12,900,BFGS,675.5682515511477
1,3,13,900,BFGS,783.4768511584813
1,3,14,900,BFGS,640.1740766521995
1,3,15,900,BFGS,558.6485016627223
