fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,950,Elitist,567.3309087364165
1,1,1,950,Elitist,627.1535790163548
1,1,2,950,Elitist,341.4162227578562
1,1,3,950,Elitist,338.3910159892043
1,1,4,950,Elitist,244.08529587917414
1,1,5,950,Elitist,160.89981152237164
1,1,6,950,Elitist,459.93622613568164
1,1,7,950,Elitist,228.4263855515266
1,1,8,950,Elitist,477.51812704036485
1,1,9,950,Elitist,346.7683271909018
1,1,10,950,Elitist,227.85823449968032
1,1,11,950,Elitist,256.1576764251381
1,1,12,950,Elitist,387.64207748036944
1,1,13,950,Elitist,379.71647458979015
1,1,14,950,Elitist,486.88697243942164
1,1,15,950,Elitist,436.93992237154646
1,1,16,950,Elitist,189.65646446529797
1,1,17,950,Elitist,548.1822904167547
1,1,18,950,Elitist,491.7144659410014
1,1,19,950,Elitist,266.79922260375133
1,2,0,950,Elitist,776.9021336547071
1,2,1,950,Elitist,1083.994607960099
1,2,2,950,Elitist,1246.2710258088389
1,2,3,950,Elitist,691.4992398104065
1,2,4,950,Elitist,797.4901190763512
1,2,5,950,Elitist,788.8691357413998
1,2,6,950,Elitist,894.5282110117556
1,2,7,950,Elitist,628.679327678215
1,2,8,950,Elitist,1447.4344345386019
1,2,9,950,Elitist,839.5983685359131
1,2,10,950,Elitist,771.2241577271113
1,2,11,950,Elitist,1587.1595701066938
1,2,12,950,Elitist,1421.918652645255
1,2,13,950,Elitist,1190.5835392631122
1,2,14,950,Elitist,951.0291133716962
1,2,15,950,Elitist,649.8534523721889
1,2,16,950,Elitist,693.9191098166744
1,2,17,950,Elitist,1650.73351600816
1,2,18,950,Elitist,1025.903220137266
1,2,19,950,Elitist,997.7222079668093
1,3,0,950,Elitist,1028.6754014192154
1,3,1,950,Elitist,616.8702972968908
1,3,2,950,Elitist,545.3461309085124
1,3,3,950,Elitist,603.1534012083036
1,3,4,950,Elitist,574.2645284202772
1,3,5,950,Elitist,839.5612304233912
1,3,6,950,Elitist,409.09704434799585
1,3,7,950,Elitist,502.9446549079318
1,3,8,950,Elitist,834.3912016058625
1,3,9,950,Elitist,592.8217021888244
1,3,10,950,Elitist,631.3125313743662
1,3,11,950,Elitist,978.3909325311656
1,3,12,950,Elitist,675.5682515500424
1,3,13,950,Elitist,783.4768511584624
1,3,14,950,Elitist,640.1740766520276
1,3,15,950,Elitist,558.6485016627021
1,3,16,950,Elitist,463.08323018208364
1,3,17,950,Elitist,805.3179207358342
1,3,18,950,Elitist,1210.3508201454983
1,3,19,950,Elitist,488.75446430998556
1,4,0,950,Elitist,468.37889696788926
1,4,1,950,Elitist,766.6160558448089
1,4,2,950,Elitist,681.4707411819945
1,4,3,950,Elitist,1070.106476776822
1,4,4,950,Elitist,669.5241676216438
1,4,5,950,Elitist,758.6658630367883
1,4,6,950,Elitist,796.0465161545337
1,4,7,950,Elitist,295.0666007612461
1,4,8,950,Elitist,1132.9627541027423
1,4,9,950,Elitist,476.89877641144534
1,4,10,950,Elitist,433.68518709116495
1,4,11,950,Elitist,1133.252927193127
1,4,12,950,Elitist,1255.5959723266135
1,4,13,950,Elitist,623.4974401691168
1,4,14,950,Elitist,578.1481392022275
