fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,150,BFGS,1.4210854715202004e-14
1,1,1,150,BFGS,1.4210854715202004e-13
1,1,2,150,BFGS,9.947598300641403e-14
1,1,3,150,BFGS,7.105427357601002e-14
1,1,4,150,BFGS,2.842170943040401e-14
1,1,5,150,BFGS,7.105427357601002e-14
1,1,6,150,BFGS,2.4158453015843406e-13
1,1,7,150,BFGS,2.842170943040401e-14
1,1,8,150,BFGS,4.547473508864641e-13
1,1,9,150,BFGS,4.263256414560601e-14
1,1,10,150,BFGS,7.105427357601002e-14
1,1,11,150,BFGS,3.694822225952521e-13
1,1,12,150,BFGS,9.947598300641403e-14
1,1,13,150,BFGS,2.842170943040401e-14
1,1,14,150,BFGS,2.842170943040401e-14
1,1,15,150,BFGS,2.984279490192421e-13
1,1,16,150,BFGS,1.7053025658242404e-13
1,1,17,150,BFGS,1.4210854715202004e-13
1,1,18,150,BFGS,0.0
1,1,19,150,BFGS,2.842170943040401e-14
1,2,0,150,BFGS,3.410605131648481e-13
1,2,1,150,BFGS,1.3073986337985843e-12
1,2,2,150,BFGS,9.663381206337363e-13
1,2,3,150,BFGS,6.252776074688882e-13
1,2,4,150,BFGS,1.6484591469634324e-12
1,2,5,150,BFGS,4.263256414560601e-12
1,2,6,150,BFGS,1.0800249583553523e-12
1,2,7,150,BFGS,4.604316927725449e-12
1,2,8,150,BFGS,3.410605131648481e-12
1,2,9,150,BFGS,2.1600499167107046e-12
1,2,10,150,BFGS,2.2737367544323206e-13
1,2,11,150,BFGS,1.0231815394945443e-12
1,2,12,150,BFGS,2.1032064978498966e-12
1,2,13,150,BFGS,1.0800249583553523e-12
1,2,14,150,BFGS,2.6716406864579767e-12
1,2,15,150,BFGS,6.821210263296962e-13
1,2,16,150,BFGS,1.0800249583553523e-12
1,2,17,150,BFGS,1.8758328224066645e-12
1,2,18,150,BFGS,2.8421709430404007e-13
1,2,19,150,BFGS,4.547473508864641e-13
1,3,0,150,BFGS,3.694822225952521e-13
1,3,1,150,BFGS,1.4210854715202004e-13
1,3,2,150,BFGS,8.810729923425242e-13
1,3,3,150,BFGS,2.5579538487363607e-13
1,3,4,150,BFGS,1.4210854715202004e-13
1,3,5,150,BFGS,5.400124791776761e-13
1,3,6,150,BFGS,1.1368683772161603e-13
1,3,7,150,BFGS,1.1368683772161603e-13
1,3,8,150,BFGS,2.5579538487363607e-13
1,3,9,150,BFGS,5.684341886080802e-14
1,3,10,150,BFGS,1.1368683772161603e-13
1,3,11,150,BFGS,8.526512829121202e-14
1,3,12,150,BFGS,1.7053025658242404e-13
1,3,13,150,BFGS,1.9895196601282805e-13
1,3,14,150,BFGS,3.126388037344441e-13
1,3,15,150,BFGS,3.126388037344441e-13
1,3,16,150,BFGS,6.536993168992922e-13
1,3,17,150,BFGS,1.7053025658242404e-13
1,3,18,150,BFGS,1.7053025658242404e-13
1,3,19,150,BFGS,4.547473508864641e-13
1,4,0,150,BFGS,2.2737367544323206e-13
1,4,1,150,BFGS,3.694822225952521e-13
1,4,2,150,BFGS,1.4210854715202004e-13
1,4,3,150,BFGS,1.1368683772161603e-13
1,4,4,150,BFGS,3.979039320256561e-13
1,4,5,150,BFGS,3.126388037344441e-13
1,4,6,150,BFGS,1.1368683772161603e-13
1,4,7,150,BFGS,7.389644451905042e-13
1,4,8,150,BFGS,5.684341886080802e-14
1,4,9,150,BFGS,3.410605131648481e-13
1,4,10,150,BFGS,7.389644451905042e-13
1,4,11,150,BFGS,8.526512829121202e-14
1,4,12,150,BFGS,3.694822225952521e-13
1,4,13,150,BFGS,8.810729923425242e-13
1,4,14,150,BFGS,1.1368683772161603e-13
1,4,15,150,BFGS,1.9895196601282805e-13
1,4,16,150,BFGS,1.1368683772161603e-13
1,4,17,150,BFGS,5.684341886080802e-14
1,4,18,150,BFGS,4.263256414560601e-13
1,4,19,150,BFGS,5.684341886080801e-13
1,5,0,150,BFGS,3.552713678800501e-15
1,5,1,150,BFGS,1.4210854715202004e-14
1,5,2,150,BFGS,7.105427357601002e-15
1,5,3,150,BFGS,7.105427357601002e-15
1,5,4,150,BFGS,3.552713678800501e-15
1,5,5,150,BFGS,1.0658141036401503e-14
1,5,6,150,BFGS,7.105427357601002e-15
1,5,7,150,BFGS,3.552713678800501e-15
1,5,8,150,BFGS,7.105427357601002e-15
1,5,9,150,BFGS,3.552713678800501e-15
1,5,10,150,BFGS,3.552713678800501e-15
1,5,11,150,BFGS,2.1316282072803006e-14
1,5,12,150,BFGS,3.552713678800501e-15
1,5,13,150,BFGS,7.105427357601002e-15
1,5,14,150,BFGS,7.105427357601002e-15
1,5,15,150,BFGS,0.0
1,5,16,150,BFGS,0.0
1,5,17,150,BFGS,3.552713678800501e-15
1,5,18,150,BFGS,3.552713678800501e-15
1,5,19,150,BFGS,1.0658141036401503e-14
1,6,0,150,BFGS,9.663381206337363e-13
1,6,1,150,BFGS,1.4210854715202004e-13
1,6,2,150,BFGS,3.694822225952521e-13
1,6,3,150,BFGS,1.2221335055073723e-12
1,6,4,150,BFGS,2.842170943040401e-14
1,6,5,150,BFGS,4.263256414560601e-13
1,6,6,150,BFGS,1.4210854715202004e-13
1,6,7,150,BFGS,6.821210263296962e-13
1,6,8,150,BFGS,2.2737367544323206e-13
1,6,9,150,BFGS,3.410605131648481e-13
1,6,10,150,BFGS,2.8421709430404007e-13
1,6,11,150,BFGS,1.9895196601282805e-13
1,6,12,150,BFGS,4.263256414560601e-13
1,6,13,150,BFGS,1.7053025658242404e-13
1,6,14,150,BFGS,3.410605131648481e-13
1,6,15,150,BFGS,1.4210854715202004e-13
1,6,16,150,BFGS,4.263256414560601e-13
1,6,17,150,BFGS,2.2737367544323206e-13
1,6,18,150,BFGS,1.7053025658242404e-13
1,6,19,150,BFGS,2.2737367544323206e-13
1,7,0,150,BFGS,3.865352482534945e-12
1,7,1,150,BFGS,7.048583938740194e-12
1,7,2,150,BFGS,1.5006662579253316e-11
1,7,3,150,BFGS,5.6843418860808015e-12
1,7,4,150,BFGS,3.069544618483633e-12
1,7,5,150,BFGS,2.7284841053187847e-12
1,7,6,150,BFGS,4.433786671143025e-12
1,7,7,150,BFGS,9.094947017729282e-13
1,7,8,150,BFGS,1.0118128557223827e-11
1,7,9,150,BFGS,1.9326762412674725e-12
1,7,10,150,BFGS,3.296918293926865e-12
1,7,11,150,BFGS,3.637978807091713e-12
1,7,12,150,BFGS,6.366462912410498e-12
1,7,13,150,BFGS,4.888534022029489e-12
1,7,14,150,BFGS,2.1600499167107046e-12
1,7,15,150,BFGS,2.1600499167107046e-12
1,7,16,150,BFGS,3.183231456205249e-12
1,7,17,150,BFGS,5.115907697472721e-12
1,7,18,150,BFGS,1.3642420526593924e-12
1,7,19,150,BFGS,1.2164491636212915e-11
2,1,0,150,BFGS,3.524291969370097e-11
2,1,1,150,BFGS,4.89137619297253e-11
2,1,2,150,BFGS,5.32054400537163e-11
2,1,3,150,BFGS,4.425260158313904e-11
2,1,4,150,BFGS,8.839151632855646e-12
2,1,5,150,BFGS,2.5295321393059567e-11
2,1,6,150,BFGS,3.82840426027542e-11
2,1,7,150,BFGS,2.4584778657299466e-11
2,1,8,150,BFGS,4.163780431554187e-11
2,1,9,150,BFGS,4.985167834092863e-11
2,1,10,150,BFGS,4.96527263749158e-11
2,1,11,150,BFGS,5.0675907914410345e-11
2,1,12,150,BFGS,5.1727511163335294e-11
2,1,13,150,BFGS,4.831690603168681e-11
2,1,14,150,BFGS,5.03348474012455e-11
2,1,15,150,BFGS,4.9539039537194185e-11
2,1,16,150,BFGS,3.1235458664014004e-11
2,1,17,150,BFGS,2.6489033189136535e-11
2,1,18,150,BFGS,4.069988790433854e-11
2,1,19,150,BFGS,5.155698090675287e-11
2,2,0,150,BFGS,5.0874859880423173e-11
2,2,1,150,BFGS,5.2366999625519384e-11
2,2,2,150,BFGS,5.125855295773363e-11
2,2,3,150,BFGS,5.097433586342959e-11
2,2,4,150,BFGS,5.1514348342607263e-11
2,2,5,150,BFGS,5.489653176482534e-11
2,2,6,150,BFGS,4.551736765279202e-11
2,2,7,150,BFGS,4.9894310905074235e-11
2,2,8,150,BFGS,4.285993782104924e-11
2,2,9,150,BFGS,3.225864020350855e-11
2,2,10,150,BFGS,2.7426949600339867e-11
2,2,11,150,BFGS,4.46647163698799e-11
2,2,12,150,BFGS,4.285993782104924e-11
2,2,13,150,BFGS,5.773870270786574e-11
2,2,14,150,BFGS,3.424815986363683e-11
2,2,15,150,BFGS,4.639844064513454e-11
2,2,16,150,BFGS,4.5133674575481564e-11
2,2,17,150,BFGS,4.573053047352005e-11
2,2,18,150,BFGS,5.2651216719823424e-11
2,2,19,150,BFGS,4.7052139962033834e-11
2,3,0,150,BFGS,5.1940673984063324e-11
2,3,1,150,BFGS,4.999378688808065e-11
2,3,2,150,BFGS,4.7975845518521965e-11
2,3,3,150,BFGS,4.952482868247898e-11
2,3,4,150,BFGS,3.427658157306723e-11
2,3,5,150,BFGS,3.275602011854062e-11
2,3,6,150,BFGS,5.093170329928398e-11
2,3,7,150,BFGS,5.2011728257639334e-11
2,3,8,150,BFGS,3.292655037512304e-11
2,3,9,150,BFGS,5.03632691106759e-11
2,3,10,150,BFGS,5.312017492542509e-11
2,3,11,150,BFGS,5.3432813729159534e-11
2,3,12,150,BFGS,1.77209358298569e-11
2,3,13,150,BFGS,1.2065015653206501e-11
2,3,14,150,BFGS,5.228173449722817e-11
2,3,15,150,BFGS,2.7426949600339867e-11
2,3,16,150,BFGS,5.140066150488565e-11
2,3,17,150,BFGS,4.729372449219227e-11
2,3,18,150,BFGS,5.1528559197322465e-11
2,3,19,150,BFGS,3.659295089164516e-11
2,4,0,150,BFGS,7.270273272297345e-11
2,4,1,150,BFGS,5.03632691106759e-11
2,4,2,150,BFGS,3.376499080331996e-11
2,4,3,150,BFGS,4.2234660213580355e-11
2,4,4,150,BFGS,5.3432813729159534e-11
2,4,5,150,BFGS,5.638867150992155e-11
2,4,6,150,BFGS,5.860556484549306e-11
2,4,7,150,BFGS,3.922195901395753e-11
2,4,8,150,BFGS,5.46265255252365e-11
2,4,9,150,BFGS,4.069988790433854e-11
2,4,10,150,BFGS,4.990852175978944e-11
2,4,11,150,BFGS,4.860112312599085e-11
2,4,12,150,BFGS,4.615685611497611e-11
2,4,13,150,BFGS,3.1377567211166024e-11
2,4,14,150,BFGS,3.956301952712238e-11
2,4,15,150,BFGS,4.934008757118136e-11
2,4,16,150,BFGS,4.4792614062316716e-11
2,4,17,150,BFGS,4.638422979041934e-11
2,4,18,150,BFGS,5.121592039358802e-11
2,4,19,150,BFGS,4.666844688472338e-11
2,5,0,150,BFGS,5.5010218602546956e-11
2,5,1,150,BFGS,2.872013737942325e-11
2,5,2,150,BFGS,4.233413619658677e-11
2,5,3,150,BFGS,5.121592039358802e-11
2,5,4,150,BFGS,3.228706191293895e-11
2,5,5,150,BFGS,3.413447302591521e-11
2,5,6,150,BFGS,4.816058662981959e-11
2,5,7,150,BFGS,2.603428583825007e-11
2,5,8,150,BFGS,4.382627594168298e-11
2,5,9,150,BFGS,5.1386450650170445e-11
2,5,10,150,BFGS,5.509548373083817e-11
2,5,11,150,BFGS,2.1330492927518208e-11
2,5,12,150,BFGS,2.0605739337042905e-11
2,5,13,150,BFGS,5.5933924159035087e-11
2,5,14,150,BFGS,5.313438578014029e-11
2,5,15,150,BFGS,5.488232091011014e-11
2,5,16,150,BFGS,5.006484116165666e-11
2,5,17,150,BFGS,5.1883830565202516e-11
2,5,18,150,BFGS,5.3930193644191604e-11
2,5,19,150,BFGS,4.8757442527858075e-11
2,6,0,150,BFGS,5.3148596634855494e-11
2,6,1,150,BFGS,4.9901416332431836e-11
2,6,2,150,BFGS,1.184972120427119e-10
2,6,3,150,BFGS,2.8421709430404007e-11
