fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,100,PSO,1.8024931591753557e-07
1,1,1,100,PSO,2.796618872480394e-06
1,1,2,100,PSO,1.366876233532821e-06
1,1,3,100,PSO,7.84325493441429e-07
1,1,4,100,PSO,9.594678118673983e-07
1,1,5,100,PSO,8.473091810401456e-07
1,1,6,100,PSO,8.916159401906043e-07
1,1,7,100,PSO,1.2272028442339433e-06
1,1,8,100,PSO,5.222977009111673e-06
1,1,9,100,PSO,6.93225089776206e-07
1,1,10,100,PSO,4.805191196055603e-07
1,1,11,100,PSO,9.200752657534395e-07
1,1,12,100,PSO,2.257815424400178e-06
1,1,13,100,PSO,2.06147088022135e-06
1,1,14,100,PSO,1.78315147536523e-07
1,1,15,100,PSO,2.4457726510718203e-07
1,1,16,100,PSO,1.0565086512315247e-06
1,1,17,100,PSO,5.421610040912128e-07
1,1,18,100,PSO,9.01595157642987e-07
1,1,19,100,PSO,9.183009836988276e-07
1,2,0,100,PSO,5.614277824861347e-07
1,2,1,100,PSO,1.7262624396607862e-06
1,2,2,100,PSO,4.496955682498083e-06
1,2,3,100,PSO,1.9347074271536258e-06
1,2,4,100,PSO,1.1591289990064979e-05
1,2,5,100,PSO,1.4106500429988955e-06
1,2,6,100,PSO,5.212693679368385e-06
1,2,7,100,PSO,1.961173722975218e-06
1,2,8,100,PSO,3.2894626542656624e-06
1,2,9,100,PSO,2.9504324743356847e-06
1,2,10,100,PSO,1.1880881629622309e-06
1,2,11,100,PSO,1.3934011349192588e-06
1,2,12,100,PSO,9.173861030831176e-07
1,2,13,100,PSO,4.612822294802754e-06
1,2,14,100,PSO,2.44936182980382e-06
1,2,15,100,PSO,5.4849095931786e-07
1,2,16,100,PSO,9.975045713872532e-07
1,2,17,100,PSO,1.744272537962388e-06
1,2,18,100,PSO,1.4255103337745823e-06
1,2,19,100,PSO,1.6163738223440305e-06
1,3,0,100,PSO,8.294429960642447e-07
1,3,1,100,PSO,1.6336904593572399e-06
1,3,2,100,PSO,2.1473758806678234e-06
1,3,3,100,PSO,3.652203531601117e-06
1,3,4,100,PSO,3.0280909868452e-07
1,3,5,100,PSO,4.845577677770052e-06
1,3,6,100,PSO,3.997497998398103e-06
1,3,7,100,PSO,6.660943370206951e-07
1,3,8,100,PSO,3.989812086047095e-06
1,3,9,100,PSO,6.10749907536956e-07
