fid,iid,rep,high_level_category,a1_budget,ela_budget,a2_algorithm,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25
4,1,0,1,1000,50,Non-elitist,3.3071254857929775,12.999942358486825,2,0.2557246887424889,-477.08111262751345,11.280429684439525,362.3471520150022,32.121750868659895,0.629181125411415,0.8066089416746365,18.444181312283156,0.38,0.34,1.1176470588235294,0.0,0.6143639576445176,0.6042911548147807,0.6715548051715854,0.0,0.6663595079987529,0.6700818723658494,0.6875989664403611,-4.671824642345496,-1.8016239656529343,-1.8486823341303862,-1.534438354859355,-4.45195801664822,-1.4853534630434084,-1.4687816531584277,-1.390796285765024,0.779100954468043,2.9979979979979987,30.093900344497243,2.117117117117117,0.5,1.004229199083562,0.8971114702132345,0.8966053640698347,0.18961685249651258,-0.34352336207925177,,,,,,,
4,1,0,1,1000,100,Non-elitist,4.605409476366835,26.383427938211835,3,0.2797555465735859,-454.11760093221744,89.38353590973855,314.6381925389792,3.5200911368812675,0.6328059968578021,0.7970214066040283,20.264061588704134,0.38,0.15,2.5333333333333337,0.20018610784625732,0.44977982278346224,0.44973217518137204,0.5419779478135262,0.21240419941835315,0.48321799347566663,0.4466187056725572,0.5576141976860453,-2.966045416610185,-2.04044722249692,-2.0406239197926013,-1.698537899780495,-2.7527266173743152,-1.806205141887585,-1.934123337538399,-1.5461829180383933,0.8078399129135496,2.9539539539539543,14.431076523958177,1.5225225225225216,0.5,0.9839835463726818,0.8854981300221778,0.938117837730775,0.21315432123510902,-0.25472916479912483,0.9943315188371484,0.1,0.09000000000000001,1.111111111111111,0.3,0.21000000000000002,1.4285714285714284
4,1,0,1,1000,150,Non-elitist,5.707368574266225,40.7451625450348,3,0.2782030065771829,-468.41588540513,60.156773810010904,303.9969857082748,5.05341238325659,0.6404437365424136,0.7917943379339394,12.943392315819782,0.3666666666666667,0.21999999999999997,1.666666666666667,0.6095387823284474,0.45531696078560846,0.49109811075443144,0.5221687145628339,0.7220777729615792,0.5086297718481134,0.5228680781322184,0.5340060998765659,-1.2052949981167236,-1.6813545443490316,-1.5709035209632365,-1.4749932444393452,-0.7758093854814074,-1.371641407772954,-1.3318957142878465,-1.3008043478396125,0.8490090910112064,2.7997997997998003,18.124175473742394,1.5445445445445447,0.6013513513513513,0.9636307267836175,0.869271054056483,0.9305624076078519,0.23171421772814463,-0.1954016714807329,0.9942235628437525,0.1,0.2,0.5,0.27999999999999997,0.28666666666666674,0.9767441860465113
4,1,0,1,1000,200,Non-elitist,6.625031053214888,55.05776799839028,4,0.2334931898337208,-609.109490677124,25.516838262739476,293.0447340839403,11.484366952776192,0.6299909925577113,0.7961186304174566,13.412627195007161,0.505,0.28500000000000003,1.7719298245614032,0.6056367478139942,0.5177525690258001,0.53499357506465,0.5318308534223135,0.7364361337482809,0.5841478753191464,0.6180082467363159,0.5703928888516377,-1.064824333242885,-1.302121321646355,-1.2555687012944574,-1.264108399010626,-0.6144833078844487,-0.9695342263670426,-0.8905908061990182,-1.0016031503233642,0.8554552513677163,2.8878878878878886,18.124175473742394,1.4564564564564562,0.6363636363636364,0.9555274224567541,0.8683444200038657,0.9410761420745147,0.23298297173897323,-0.17143401240304731,0.9945747968025813,0.12000000000000002,0.34,0.35294117647058826,0.275,0.325,0.8461538461538461
4,1,0,1,1000,250,Non-elitist,7.422913783490212,69.26069144005417,5,0.20644575857076175,-727.186408900867,3.8958532646576427,292.1195170211859,74.98216621021957,0.6259371461010182,0.7991955463746641,13.900627419151652,0.4879999999999999,0.26,1.8769230769230765,0.5581566049469524,0.2945391716714711,0.3555009936537441,0.4934198916498889,0.3613403565778925,0.18704321729413767,0.24527028550372654,0.46250064860496254,-1.077829172140113,-1.7208953875689992,-1.5721856165167067,-1.235747382259942,-1.367687230204075,-1.7409439000355489,-1.616250851926601,-1.1510528443709687,0.8443712855882957,2.821821821821821,18.124175473742394,1.5005005005005005,0.6169354838709677,0.9422129571430616,0.8715287736231944,0.9506437858636232,0.21436579752726087,-0.15671509731515185,0.9947474486532197,0.12800000000000003,0.248,0.5161290322580646,0.304,0.32,0.95
4,1,0,1,1000,300,Non-elitist,8.121343667267507,83.10844120036528,5,0.2011032787493101,-791.6948746577018,9.477851161500437,297.4648233691752,31.38526004475508,0.6297628423464743,0.8024270545870982,14.159193998086485,0.3566666666666667,0.27,1.3209876543209877,0.03252791677612345,0.05701169928310429,0.08479205748892543,0.268508262202397,0.03444649079974189,0.062307475633564736,0.08288624500313004,0.14125313359702116,-2.134168314825578,-2.08015899118767,-2.0188776774573505,-1.613613990971452,-1.9026658195006998,-1.8477645188106437,-1.8072131452059945,-1.692198614307356,0.8167584171574865,2.8878878878878886,21.102034285685964,1.588588588588589,0.5369127516778524,0.9338597482143279,0.874517501619488,0.9568478831669308,0.20139624548408533,-0.14803659432644095,0.9945680823828146,0.12000000000000002,0.14333333333333334,0.8372093023255816,0.29,0.24666666666666665,1.1756756756756757
4,1,0,1,1000,350,Non-elitist,8.749208677723493,96.69442952968129,5,0.1999562280091094,-829.9895864979603,19.911035065644565,301.61020031831663,15.14789157489502,0.6341199430948203,0.8055712852261854,14.079353162867001,0.28285714285714286,0.22857142857142856,1.2375,0.0219086641621792,0.030380550439963263,0.03690144574061091,0.10728795027327338,0.023569240233880684,0.032980344090551145,0.040980783444649754,0.07819417309655452,-1.9587379746667788,-1.9417720689672466,-1.9287132422644584,-1.7877563456224033,-1.7358811652349033,-1.7191502728849155,-1.7049272346925193,-1.6387699352166591,0.8204271554596272,2.8878878878878886,20.058677795082296,1.654654654654655,0.5459770114942529,0.9284424778702758,0.8753361913023252,0.960188843176994,0.19482647157310815,-0.14629100210189855,0.994372280476714,0.10857142857142858,0.07142857142857142,1.5200000000000002,0.29428571428571426,0.12285714285714286,2.395348837209302
4,1,0,1,1000,400,Non-elitist,9.332129601471932,110.22621403730246,7,0.20028829371175927,-854.6256866815204,24.659239458497495,304.61497921348285,12.352975432440335,0.637859517191097,0.8079770432433435,13.98395336121373,0.2525,0.1775,1.4225352112676057,0.013398528986228498,0.017588975409827005,0.020928801865915798,0.03905137511602483,0.016084620620300583,0.018784753491657,0.02272231511341774,0.04199608977745823,-1.8029482526433926,-1.7952904918562944,-1.7891871822119756,-1.756069390748405,-1.5984538726878539,-1.594067278133643,-1.5876703757626092,-1.5563584963076185,0.800920992160498,2.7997997997998003,16.37624074521689,1.5445445445445447,0.5100502512562815,0.9250623652265635,0.8754393520789977,0.9625202271167442,0.19065707936780554,-0.13767417933352072,0.9942956834955073,0.11000000000000001,0.0925,1.1891891891891893,0.28250000000000003,0.0375,7.533333333333334
4,1,0,1,1000,450,Non-elitist,9.88086891825105,123.75816065916267,8,0.20091587119989796,-871.5067014181627,20.496243263683226,306.7814284751029,14.967690641078658,0.6408664852139186,0.8097348476543567,13.891879801866637,0.21555555555555556,0.1488888888888889,1.4477611940298507,0.010935717891292985,0.013834159857733659,0.01673642447135297,0.02733053202632087,0.013618309763195523,0.01622803436751205,0.019876243875591688,0.03135970911516653,-1.6603413589594493,-1.655475746925452,-1.6506037178169262,-1.6328193985841297,-1.3857029672128192,-1.382036736215626,-1.376911605862541,-1.3607792384292567,0.8182880931856997,2.7557557557557555,14.065272421052391,1.4564564564564562,0.578125,0.9226934577800914,0.8755383827862039,0.9641675446437767,0.18724340719216437,-0.12754135153539375,0.9942978322757795,0.10666666666666669,0.1288888888888889,0.8275862068965519,0.27999999999999997,0.07333333333333333,3.818181818181818
4,1,0,1,1000,500,Non-elitist,10.401030969920056,137.29497249891028,8,0.20144901599118448,-883.812814000252,17.248353213219737,308.350655154417,17.877106952916893,0.6431576079341343,0.8110723068626811,13.811166100516239,0.198,0.10800000000000001,1.8333333333333333,0.006680410289904167,0.00900530282227605,0.012079067128277908,0.0217951235842058,0.008117085188194517,0.011253572007770957,0.015042710434301226,0.026888193594949508,-1.540311037057023,-1.536705895605389,-1.5319395010482975,-1.5168731023275164,-1.2121226365387354,-1.208289717737089,-1.2036592312238221,-1.1891835526277406,0.7812079563532837,2.7557557557557555,12.708787092020595,1.4784784784784792,0.5421686746987951,0.9208941091549194,0.8757254350037906,0.9654032780840878,0.17957583108000694,-0.12148498279923389,0.9943178246699209,0.10600000000000001,0.11600000000000002,0.9137931034482758,0.2699999999999999,0.086,3.1395348837209296
