fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,150,BFGS,19.272796884608134
1,1,1,150,BFGS,44.70977166375051
1,1,2,150,BFGS,21.015588382839198
1,1,3,150,BFGS,19.348837902489574
1,1,4,150,BFGS,6.524325751538267
1,1,5,150,BFGS,96.79134404920994
1,1,6,150,BFGS,11.509269194678875
1,1,7,150,BFGS,34.012917509408716
1,1,8,150,BFGS,13.57238588363358
1,1,9,150,BFGS,35.720265157872575
1,1,10,150,BFGS,18.375034433133813
1,1,11,150,BFGS,28.57014664550793
1,1,12,150,BFGS,25.059314716051
1,1,13,150,BFGS,5.729894606199491
1,1,14,150,BFGS,40.307468980977205
1,1,15,150,BFGS,10.9379554616039
1,1,16,150,BFGS,26.495571331353915
1,1,17,150,BFGS,44.9005382985564
1,1,18,150,BFGS,6.379492859850108
1,1,19,150,BFGS,10.724173524115178
1,2,0,150,BFGS,360.58169302062345
1,2,1,150,BFGS,339.47905787431586
1,2,2,150,BFGS,5.776416406935178
1,2,3,150,BFGS,180.17164227776397
1,2,4,150,BFGS,193.72749206956433
1,2,5,150,BFGS,188.81812780801178
1,2,6,150,BFGS,439.4308669359826
1,2,7,150,BFGS,155.303254706039
1,2,8,150,BFGS,129.15870190380727
1,2,9,150,BFGS,177.96908786070202
1,2,10,150,BFGS,564.130988297304
1,2,11,150,BFGS,322.5852822040989
1,2,12,150,BFGS,221.4125378183653
1,2,13,150,BFGS,401.627803325302
1,2,14,150,BFGS,437.8870096801264
1,2,15,150,BFGS,307.21473628679644
1,2,16,150,BFGS,185.17856937098318
1,2,17,150,BFGS,264.62370500729827
1,2,18,150,BFGS,350.9714377348079
1,2,19,150,BFGS,344.9468895879955
1,3,0,150,BFGS,162.42956146115918
1,3,1,150,BFGS,25.449519145801197
1,3,2,150,BFGS,9.51986908004353
1,3,3,150,BFGS,11.898425586317531
1,3,4,150,BFGS,13.314261113151485
1,3,5,150,BFGS,11.236086807595782
1,3,6,150,BFGS,31.692708112263592
1,3,7,150,BFGS,8.48194425670604
1,3,8,150,BFGS,34.18334549480018
1,3,9,150,BFGS,11.18541605780004
1,3,10,150,BFGS,13.876999808991197
1,3,11,150,BFGS,18.01116546906151
1,3,12,150,BFGS,51.960979784380974
1,3,13,150,BFGS,25.54444471402502
1,3,14,150,BFGS,8.627507108712992
1,3,15,150,BFGS,10.70699064524639
1,3,16,150,BFGS,13.151886215914551
1,3,17,150,BFGS,9.551083464054784
1,3,18,150,BFGS,190.43936892928767
1,3,19,150,BFGS,6.6725473667069135
1,4,0,150,BFGS,1033.4087034057147
1,4,1,150,BFGS,640.6741795801804
1,4,2,150,BFGS,423.4416641311515
1,4,3,150,BFGS,190.16214840168118
1,4,4,150,BFGS,880.5675230604453
1,4,5,150,BFGS,355.2721273579117
1,4,6,150,BFGS,278.5743613616701
1,4,7,150,BFGS,117.85166954781593
1,4,8,150,BFGS,3411.281779284643
1,4,9,150,BFGS,543.5725115095952
1,4,10,150,BFGS,469.7350224977219
1,4,11,150,BFGS,901.1762371895535
1,4,12,150,BFGS,487.83512600927224
1,4,13,150,BFGS,73.90061179634455
1,4,14,150,BFGS,358.6339358714421
1,4,15,150,BFGS,610.9738441854622
1,4,16,150,BFGS,385.32251071977544
1,4,17,150,BFGS,605.6047030037042
1,4,18,150,BFGS,861.2209055372779
1,4,19,150,BFGS,388.23786159848225
1,5,0,150,BFGS,167.1364232936436
1,5,1,150,BFGS,1013.266660979879
1,5,2,150,BFGS,337.45320413400714
1,5,3,150,BFGS,298.76094497925726
1,5,4,150,BFGS,323.9493889541241
1,5,5,150,BFGS,2543.198755795215
