fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,600,MLSL,19.263982466134784
1,1,1,600,MLSL,45.150646275399126
1,1,2,600,MLSL,24.489149381574986
1,1,3,600,MLSL,23.247610730194307
1,1,4,600,MLSL,10.333002979956646
1,1,5,600,MLSL,98.99091080485785
1,1,6,600,MLSL,9.490020226767285
1,1,7,600,MLSL,35.308851772126694
1,1,8,600,MLSL,19.58340351175966
1,1,9,600,MLSL,37.33000177153606
1,1,10,600,MLSL,18.750583220505742
1,1,11,600,MLSL,35.23631370136661
1,1,12,600,MLSL,30.166494951007728
1,1,13,600,MLSL,9.525396624608227
1,1,14,600,MLSL,37.41497190742719
1,1,15,600,MLSL,11.419092897114492
1,1,16,600,MLSL,28.219975439975713
1,1,17,600,MLSL,48.79260012521574
1,1,18,600,MLSL,11.499828687155752
1,1,19,600,MLSL,12.793730543322882
1,2,0,600,MLSL,355.40308544034656
1,2,1,600,MLSL,340.96600673989343
1,2,2,600,MLSL,8.163375548547108
1,2,3,600,MLSL,182.93379428560752
1,2,4,600,MLSL,194.95394850854666
1,2,5,600,MLSL,190.66458864353143
1,2,6,600,MLSL,437.13496158955326
1,2,7,600,MLSL,157.40200418640214
1,2,8,600,MLSL,132.90765429419872
1,2,9,600,MLSL,181.78083101165402
1,2,10,600,MLSL,566.7948669296603
1,2,11,600,MLSL,326.4121753186077
1,2,12,600,MLSL,222.68876535307294
1,2,13,600,MLSL,395.9329206109837
1,2,14,600,MLSL,443.9020478844705
1,2,15,600,MLSL,309.3553228234202
1,2,16,600,MLSL,186.64832326501065
1,2,17,600,MLSL,268.49764270656436
1,2,18,600,MLSL,355.20853373147776
1,2,19,600,MLSL,341.42677796405764
1,3,0,600,MLSL,162.7109585949163
1,3,1,600,MLSL,25.076089604210058
1,3,2,600,MLSL,10.689979028662147
1,3,3,600,MLSL,15.487774689326002
1,3,4,600,MLSL,12.96110223760424
1,3,5,600,MLSL,14.797809809827614
1,3,6,600,MLSL,36.07396433537911
1,3,7,600,MLSL,12.504696474519132
1,3,8,600,MLSL,38.55203707256677
1,3,9,600,MLSL,10.123652064326995
1,3,10,600,MLSL,15.062862401540674
1,3,11,600,MLSL,21.178331578797152
1,3,12,600,MLSL,55.80904459885657
1,3,13,600,MLSL,25.248372999249987
1,3,14,600,MLSL,8.75701717659484
1,3,15,600,MLSL,15.270253078765338
1,3,16,600,MLSL,13.797884069759068
1,3,17,600,MLSL,11.089733611905057
1,3,18,600,MLSL,190.4730357208992
1,3,19,600,MLSL,7.718959673099541
1,4,0,600,MLSL,1030.861348081247
1,4,1,600,MLSL,639.940355906373
