fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,600,Elitist,0.006593080991175345
1,1,1,600,Elitist,0.004486231409000186
1,1,2,600,Elitist,0.0036888041346117874
1,1,3,600,Elitist,0.006430686332722974
1,1,4,600,Elitist,0.006614326638602804
1,1,5,600,Elitist,0.0051381772659822925
1,1,6,600,Elitist,0.006625038692679481
1,1,7,600,Elitist,0.006263207604991181
1,1,8,600,Elitist,0.011790961609993461
1,1,9,600,Elitist,0.009939297913632485
1,1,10,600,Elitist,0.003891582842537693
1,1,11,600,Elitist,0.007851838961755493
1,1,12,600,Elitist,0.006063514733149582
1,1,13,600,Elitist,0.006674228212419373
1,1,14,600,Elitist,0.009753049856427307
1,1,15,600,Elitist,0.009101919488216823
1,1,16,600,Elitist,0.009261316062148922
1,1,17,600,Elitist,0.00949003933472606
1,1,18,600,Elitist,0.009725647899932155
1,1,19,600,Elitist,0.005142875118214627
1,2,0,600,Elitist,0.004018834206578191
1,2,1,600,Elitist,0.0037395247606060093
1,2,2,600,Elitist,0.005573146193694121
1,2,3,600,Elitist,0.004326394385524599
1,2,4,600,Elitist,0.004607751744615335
1,2,5,600,Elitist,0.008269447862447417
1,2,6,600,Elitist,0.004460918399735646
1,2,7,600,Elitist,0.0039358073224460745
1,2,8,600,Elitist,0.004374031594710241
1,2,9,600,Elitist,0.006399170410516077
1,2,10,600,Elitist,0.007904763996452721
1,2,11,600,Elitist,0.0085556112887524
1,2,12,600,Elitist,0.014875245486625392
1,2,13,600,Elitist,0.003120718786144715
1,2,14,600,Elitist,0.005146547333980628
1,2,15,600,Elitist,0.007996569897894967
1,2,16,600,Elitist,0.006193946670080726
1,2,17,600,Elitist,0.011002428301492949
1,2,18,600,Elitist,0.011285141854699336
1,2,19,600,Elitist,0.004405404577695455
1,3,0,600,Elitist,0.005712734628361821
1,3,1,600,Elitist,0.003901143619811947
1,3,2,600,Elitist,0.0031116731992223024
1,3,3,600,Elitist,0.0036207839673531887
1,3,4,600,Elitist,0.008271105749557714
1,3,5,600,Elitist,0.004615330677351328
1,3,6,600,Elitist,0.007755516695801604
1,3,7,600,Elitist,0.009545955719681325
1,3,8,600,Elitist,0.006612075287790136
1,3,9,600,Elitist,0.00423432062492278
1,3,10,600,Elitist,0.004688671849015261
1,3,11,600,Elitist,0.006807190491076866
1,3,12,600,Elitist,0.005141148928391338
1,3,13,600,Elitist,0.005017153553724863
1,3,14,600,Elitist,0.0052903601235702365
1,3,15,600,Elitist,0.007246787098479903
1,3,16,600,Elitist,0.00665072967318051
1,3,17,600,Elitist,0.008182282329716866
1,3,18,600,Elitist,0.004218935898012502
1,3,19,600,Elitist,0.002321240389980563
1,4,0,600,Elitist,0.0029941490665416105
1,4,1,600,Elitist,0.004972516228190965
1,4,2,600,Elitist,0.003408564005983098
1,4,3,600,Elitist,0.0035612833246655875
1,4,4,600,Elitist,0.004674785845058411
1,4,5,600,Elitist,0.006365338335094513
