fid,iid,rep,a1_budget,algname,achieved_regret
1,1,0,350,MLSL,0.010184447406772976
1,1,1,350,MLSL,0.005934849289451645
1,1,2,350,MLSL,0.009644109676431988
1,1,3,350,MLSL,0.008925905574620844
1,1,4,350,MLSL,0.00804399649891568
1,1,5,350,MLSL,0.008367018157101223
1,1,6,350,MLSL,0.00966930081571332
1,1,7,350,MLSL,0.009586288497704393
1,1,8,350,MLSL,0.013043089956592181
1,1,9,350,MLSL,0.011228340651429584
1,1,10,350,MLSL,0.008280384476107766
1,1,11,350,MLSL,0.012240534861872102
1,1,12,350,MLSL,0.011179279349082964
1,1,13,350,MLSL,0.008715065064111701
1,1,14,350,MLSL,0.012533075331445966
1,1,15,350,MLSL,0.010062527773034438
1,1,16,350,MLSL,0.009492026753688898
1,1,17,350,MLSL,0.011541124084059943
1,1,18,350,MLSL,0.007425668563408109
1,1,19,350,MLSL,0.007763008842733921
1,2,0,350,MLSL,0.0060633569623041875
1,2,1,350,MLSL,0.006938358071645372
1,2,2,350,MLSL,0.008303186215371494
1,2,3,350,MLSL,0.007748042208474806
1,2,4,350,MLSL,0.010943152382394536
1,2,5,350,MLSL,0.008822605307361222
1,2,6,350,MLSL,0.008555820675751804
1,2,7,350,MLSL,0.0062579920603303045
1,2,8,350,MLSL,0.011718426340692588
1,2,9,350,MLSL,0.010994966955834446
1,2,10,350,MLSL,0.01008132415188137
1,2,11,350,MLSL,0.01104388243545985
1,2,12,350,MLSL,0.015141576859417203
1,2,13,350,MLSL,0.007962506866876056
1,2,14,350,MLSL,0.011753795248597654
1,2,15,350,MLSL,0.012078905744760523
1,2,16,350,MLSL,0.010020140455142046
1,2,17,350,MLSL,0.011998437072734966
1,2,18,350,MLSL,0.012154094072409584
1,2,19,350,MLSL,0.005102913798488756
1,3,0,350,MLSL,0.00995071149806036
1,3,1,350,MLSL,0.010319833171148447
1,3,2,350,MLSL,0.011924500917004706
1,3,3,350,MLSL,0.009885208923327374
1,3,4,350,MLSL,0.01274710310671449
1,3,5,350,MLSL,0.010184649139440534
1,3,6,350,MLSL,0.011221947963511914
1,3,7,350,MLSL,0.013101567593117824
1,3,8,350,MLSL,0.01242880496172089
1,3,9,350,MLSL,0.010321535348058632
1,3,10,350,MLSL,0.015117597957521786
1,3,11,350,MLSL,0.010066864499815874
1,3,12,350,MLSL,0.014639806492952784
1,3,13,350,MLSL,0.008277609321734325
1,3,14,350,MLSL,0.009249650285128216
1,3,15,350,MLSL,0.012124415029041775
1,3,16,350,MLSL,0.013495791306163813
1,3,17,350,MLSL,0.01065433327606042
1,3,18,350,MLSL,0.010820937733458566
1,3,19,350,MLSL,0.006621271256986228
1,4,0,350,MLSL,0.008072575093687803
1,4,1,350,MLSL,0.008489243437635078
1,4,2,350,MLSL,0.007881642297642544
1,4,3,350,MLSL,0.009442700149012462
1,4,4,350,MLSL,0.009293066948154976
1,4,5,350,MLSL,0.009190107254171735
1,4,6,350,MLSL,0.006619156295508349
1,4,7,350,MLSL,0.008780636362005415
1,4,8,350,MLSL,0.008016668720413548
1,4,9,350,MLSL,0.011945108170085435
1,4,10,350,MLSL,0.007451571134552451
1,4,11,350,MLSL,0.008090829289671768
1,4,12,350,MLSL,0.01051879024403384
1,4,13,350,MLSL,0.009471189846002304
1,4,14,350,MLSL,0.010946017141288834
1,4,15,350,MLSL,0.006687778303811368
1,4,16,350,MLSL,0.008242712152493137
1,4,17,350,MLSL,0.008591916778368564
1,4,18,350,MLSL,0.008327721348642347
1,4,19,350,MLSL,0.010554588538613721
1,5,0,350,MLSL,0.008209072902726162
1,5,1,350,MLSL,0.009615502957745783
1,5,2,350,MLSL,0.008655066155444285
1,5,3,350,MLSL,0.009379455609020801
1,5,4,350,MLSL,0.01033124292544728
1,5,5,350,MLSL,0.01276814245843713
1,5,6,350,MLSL,0.007416951615958055
1,5,7,350,MLSL,0.009083583221314532
1,5,8,350,MLSL,0.01290400607115414
1,5,9,350,MLSL,0.012018308777796586
1,5,10,350,MLSL,0.009981052131501108
1,5,11,350,MLSL,0.009349034591819107
1,5,12,350,MLSL,0.009477884706995501
1,5,13,350,MLSL,0.00875779360611801
1,5,14,350,MLSL,0.010491857735374277
1,5,15,350,MLSL,0.008582322674471883
1,5,16,350,MLSL,0.00756946948125467
1,5,17,350,MLSL,0.010402145261479477
1,5,18,350,MLSL,0.00647511400038205
1,5,19,350,MLSL,0.009061262366734305
1,6,0,350,MLSL,0.006324679997495039
1,6,1,350,MLSL,0.003055897925533359
1,6,2,350,MLSL,0.005446943097676516
1,6,3,350,MLSL,0.007146421383499204
1,6,4,350,MLSL,0.004902360075842154
1,6,5,350,MLSL,0.007171239426044711
1,6,6,350,MLSL,0.008062318201196695
1,6,7,350,MLSL,0.007841440948950677
1,6,8,350,MLSL,0.00666444214703973
1,6,9,350,MLSL,0.006656149095243034
1,6,10,350,MLSL,2.3871875990216007
1,6,11,350,MLSL,0.007169561694319139
1,6,12,350,MLSL,0.009934971992991778
1,6,13,350,MLSL,0.009339250676489969
1,6,14,350,MLSL,0.007870320243265642
1,6,15,350,MLSL,0.010571190409854091
1,6,16,350,MLSL,0.006216761028764886
1,6,17,350,MLSL,0.007473619057044698
1,6,18,350,MLSL,0.0079444736808819
1,6,19,350,MLSL,0.00851335150637949
1,7,0,350,MLSL,0.0061266442099069535
1,7,1,350,MLSL,0.011416970434562156
1,7,2,350,MLSL,0.008257092577752485
1,7,3,350,MLSL,0.010770657221437205
1,7,4,350,MLSL,0.008179677657699749
1,7,5,350,MLSL,0.007953087809850172
1,7,6,350,MLSL,0.006986026613332128
1,7,7,350,MLSL,0.009978857177840814
1,7,8,350,MLSL,0.009125112901031717
1,7,9,350,MLSL,0.005780073298884796
1,7,10,350,MLSL,0.00667226997559156
1,7,11,350,MLSL,0.007427815028613781
1,7,12,350,MLSL,0.00864182107484253
1,7,13,350,MLSL,0.009677109160024715
1,7,14,350,MLSL,0.007491220959191854
1,7,15,350,MLSL,0.010879653071677589
1,7,16,350,MLSL,0.008357992657056959
1,7,17,350,MLSL,0.008933748014430105
1,7,18,350,MLSL,0.0076356312967097
1,7,19,350,MLSL,0.006419651453992503
2,1,0,350,MLSL,0.07804088524376726
2,1,1,350,MLSL,2.090482240924944
2,1,2,350,MLSL,0.035087225049430466
2,1,3,350,MLSL,0.07348207172268309
2,1,4,350,MLSL,2.6770169851802152
2,1,5,350,MLSL,1.1116839650603363
2,1,6,350,MLSL,0.06394029840290107
2,1,7,350,MLSL,1.3870770599680806
2,1,8,350,MLSL,0.019211901996177463
2,1,9,350,MLSL,0.0489683806053502
2,1,10,350,MLSL,1.3672173089453514
