fid,iid,rep,a1_budget,algname,achieved_regret
15,1,0,1000,Non-elitist,1.1039428955074568
15,1,1,1000,Non-elitist,0.4472909424410537
15,1,2,1000,Non-elitist,1.137077661837838
15,1,3,1000,Non-elitist,0.4536269621768868
15,1,4,1000,Non-elitist,0.9100117130331746
15,1,5,1000,Non-elitist,1.048467741062157
15,1,6,1000,Non-elitist,0.21889368185585564
15,1,7,1000,Non-elitist,1.1666749648853234
15,1,8,1000,Non-elitist,0.17318802981837622
15,1,9,1000,Non-elitist,0.6729621160184176
15,1,10,1000,Non-elitist,0.45438451023817555
15,1,11,1000,Non-elitist,0.6958013831298633
15,1,12,1000,Non-elitist,0.15204160181988857
15,1,13,1000,Non-elitist,0.21967393997849202
15,1,14,1000,Non-elitist,1.0586825620996876
15,1,15,1000,Non-elitist,0.7899040002524662
15,1,16,1000,Non-elitist,1.0174624576666704
15,1,17,1000,Non-elitist,0.5232582442830599
15,1,18,1000,Non-elitist,0.10579208029717266
15,1,19,1000,Non-elitist,0.7897133249594772
15,2,0,1000,Non-elitist,0.5703890399008692
15,2,1,1000,Non-elitist,0.14092032705984048
15,2,2,1000,Non-elitist,0.92209910119476
15,2,3,1000,Non-elitist,0.1219411766885888
15,2,4,1000,Non-elitist,0.7160360340241299
15,2,5,1000,Non-elitist,1.2621686122611067
15,2,6,1000,Non-elitist,0.9673611275367315
15,2,7,1000,Non-elitist,1.4032972443380218
15,2,8,1000,Non-elitist,0.8609348050214233
15,2,9,1000,Non-elitist,0.8141445582410171
15,2,10,1000,Non-elitist,0.27899899115520854
15,2,11,1000,Non-elitist,0.22434503248771265
15,2,12,1000,Non-elitist,0.956342986274807
15,2,13,1000,Non-elitist,1.849411512162318
15,2,14,1000,Non-elitist,0.5041094906531787
15,2,15,1000,Non-elitist,0.3322033978587056
15,2,16,1000,Non-elitist,0.36935437216074474
15,2,17,1000,Non-elitist,0.7853986865496488
15,2,18,1000,Non-elitist,0.8532549922620667
15,2,19,1000,Non-elitist,0.09945769747230025
15,3,0,1000,Non-elitist,0.8478388773882455
15,3,1,1000,Non-elitist,0.6616194279091776
15,3,2,1000,Non-elitist,0.4545797309190107
15,3,3,1000,Non-elitist,0.35664227887411754
15,3,4,1000,Non-elitist,0.6316264893984745
15,3,5,1000,Non-elitist,0.9343777896477936
15,3,6,1000,Non-elitist,0.8452395252153622
15,3,7,1000,Non-elitist,0.6285181591523588
15,3,8,1000,Non-elitist,1.5710995082745942
15,3,9,1000,Non-elitist,0.8175443553320605
15,3,10,1000,Non-elitist,0.8787685575933424
15,3,11,1000,Non-elitist,0.6818651161038651
15,3,12,1000,Non-elitist,0.8987390624086065
15,3,13,1000,Non-elitist,1.6241337872851673
