fid,iid,rep,a1_budget,algname,achieved_regret
1,6,0,0,BFGS,17.139343020041792
1,6,1,0,BFGS,11.564492145701914
1,6,2,0,BFGS,12.241137102933601
1,6,3,0,BFGS,23.2734066468816
1,6,4,0,BFGS,30.402292400889085
1,6,5,0,BFGS,20.059767951816074
1,6,6,0,BFGS,18.183361206077016
1,6,7,0,BFGS,27.849242464315925
1,6,8,0,BFGS,28.08604689472414
1,6,9,0,BFGS,12.235152957851787
1,6,10,0,BFGS,14.641274742938624
1,6,11,0,BFGS,20.482440551952337
1,6,12,0,BFGS,18.087504816129215
1,6,13,0,BFGS,28.572416995269464
1,6,14,0,BFGS,14.176542959216022
1,6,15,0,BFGS,10.878723145520015
1,6,16,0,BFGS,12.829831606158116
1,6,17,0,BFGS,19.883639249377058
1,6,18,0,BFGS,23.10112213339453
1,6,19,0,BFGS,11.482323347752768
1,7,0,0,BFGS,5.643005311561681
1,7,1,0,BFGS,17.2677333621995
1,7,2,0,BFGS,21.314800899492283
1,7,3,0,BFGS,13.225810300810918
1,7,4,0,BFGS,12.414148629807045
1,7,5,0,BFGS,6.784222256465817
1,7,6,0,BFGS,21.432706871156242
1,7,7,0,BFGS,18.893889236639183
1,7,8,0,BFGS,11.182800621542434
1,7,9,0,BFGS,22.959548151574275
1,7,10,0,BFGS,18.016279299908653
1,7,11,0,BFGS,12.045966225310595
1,7,12,0,BFGS,14.820421235351798
1,7,13,0,BFGS,16.155223634931055
1,7,14,0,BFGS,16.09267874829597
1,7,15,0,BFGS,19.300102305850732
1,7,16,0,BFGS,19.128477984605734
1,7,17,0,BFGS,18.633475509827885
1,7,18,0,BFGS,14.925507392830236
1,7,19,0,BFGS,20.250008410025373
2,6,0,0,BFGS,1.8524478867646414
2,6,1,0,BFGS,2.4192774113520787
2,6,2,0,BFGS,17.653346608851823
2,6,3,0,BFGS,1.1844708320394215
2,6,4,0,BFGS,1.1583479272769912
2,6,5,0,BFGS,2.9559012916632423
2,6,6,0,BFGS,33.45751133035104
2,6,7,0,BFGS,7.476547419292619
2,6,8,0,BFGS,38.45431995034051
2,6,9,0,BFGS,8.638554071700613
2,6,10,0,BFGS,2.6036077326128284
2,6,11,0,BFGS,14.28055752242646
2,6,12,0,BFGS,15.49201740158882
2,6,13,0,BFGS,35.987167026266896
2,6,14,0,BFGS,2.3811042721569096
2,6,15,0,BFGS,17.83136495326533
2,6,16,0,BFGS,6.674605021522027
2,6,17,0,BFGS,0.7267844327060785
2,6,18,0,BFGS,3.612404261976465
2,6,19,0,BFGS,11.55238495730154
