fid,iid,rep,predicted_algo,precision,BFGS,DE,Elitist,MLSL,Non-elitist,PSO
1.0,6.0,0.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,3.11625e-05
1.0,7.0,0.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,6.1871e-06
2.0,6.0,0.0,BFGS,1e-10,1e-10,388.8471233986,290.6564422729,3.17787e-05,5.9704973786,15.2510766727
2.0,7.0,0.0,BFGS,1e-10,1e-10,157.0754296156,109.7950801447,5.3782e-06,15.840238594,79.6685271992
3.0,6.0,0.0,PSO,1.0010290665,81.5848783162,27.5992269208,2.9848771718,3.9798362643,4.974795294,1.0010290665
3.0,7.0,0.0,Non-elitist,5.969749362,82.5803371542,9.1651473272,3.9798311949,10.9445396769,5.969749362,2.0287217853
4.0,6.0,0.0,MLSL,24.8738656962,114.4182491855,12.0375124816,11.9394977459,24.8738656962,30.8435957631,3.4939673835
4.0,7.0,0.0,Non-elitist,22.8839521722,395.9439954566,20.7197034426,9.949599176,20.8940952782,22.8839521722,2.7496749855
5.0,6.0,0.0,Elitist,0.0,40.669710122,3.0090030158,0.0,7.0090350484,0.0,0.0
5.0,7.0,0.0,Elitist,0.0,37.7520562431,5.2826369645,0.0,15.942871567,2.6044600693,0.0
6.0,6.0,0.0,Non-elitist,0.0001022071,0.0269375393,2.5400208777,0.0146094725,23.5107594454,0.0001022071,0.0305442127
6.0,7.0,0.0,Non-elitist,0.0013462156,1.3386784917,2.5879548393,0.0001758576,42.6548499327,0.0013462156,0.0806621037
7.0,6.0,0.0,Non-elitist,9.7097309259,181.2567072475,2.067705962,2.4274327315,5.467643296,9.7097309259,0.4547481898
7.0,7.0,0.0,Non-elitist,0.649829961,178.0646931415,2.0933350616,5.0814268868,2.1365194094,0.649829961,0.0600823896
8.0,6.0,0.0,Non-elitist,3.9937595292,0.0,6.3707510579,4.1176025551,7.7852769449,3.9937595292,1.5342376293
8.0,7.0,0.0,PSO,2.4182509903,0.0,28.8531104197,4.1975550344,133.9902220232,0.1266156043,2.4182509903
9.0,6.0,0.0,Non-elitist,4.0261321829,3.9308394341,13.2728754656,3.3758487813,87.410293833,4.0261321829,0.9375704917
9.0,7.0,0.0,Non-elitist,3.2084916969,3.9308394341,12.1181636242,0.1616722791,1.3370062503,3.2084916969,2.0524468563
10.0,6.0,0.0,BFGS,9.237e-07,9.237e-07,1155.0901426803,1.274674427,2649.1453201208,20.1570349631,635.339031259
10.0,7.0,0.0,BFGS,6.701e-07,6.701e-07,3461.2359773643,1024.1152704372,790.1837573201,0.4438882327,446.2334988848
11.0,6.0,0.0,BFGS,1.98536e-05,1.98536e-05,142.10960784,18.8222985279,66.6659231412,11.5016885741,38.8655925442
11.0,7.0,0.0,BFGS,1.396e-07,1.396e-07,82.4674777328,22.6915272445,72.0438829024,8.7667465462,86.1138178492
12.0,6.0,0.0,Elitist,3.8554414252,6.8372e-05,28945.1236519671,3.8554414252,10012.0563502811,0.440154338,53.3731444717
12.0,7.0,0.0,Elitist,4.1594073433,312790147.78297067,216403.0474751934,4.1594073433,696.9049901735,31.6812821394,41.8972709135
13.0,6.0,0.0,Non-elitist,0.2823991575,0.0007673778,63.914471429,1.2267300496,30.3876756027,0.2823991575,28.5931091452
13.0,7.0,0.0,MLSL,65.6878284204,0.0014022235,65.8389226803,0.2731715376,65.6878284204,2.3078219593,26.7707849451
14.0,6.0,0.0,BFGS,2.1161e-06,2.1161e-06,0.3206646724,8.25301e-05,0.1076802441,3.32173e-05,0.0005185346
14.0,7.0,0.0,Non-elitist,1.25595e-05,7.892e-07,3.1978e-06,8.13187e-05,0.1135890285,1.25595e-05,0.000536898
15.0,6.0,0.0,BFGS,41.7881086565,41.7881086565,20.7949840353,29.4258286792,20.9238896893,1.989927422,9.9655867054
15.0,7.0,0.0,BFGS,54.7223582161,54.7223582161,13.1554973551,5.9698464215,12.7218168404,6.9647083947,3.2122435225
16.0,6.0,0.0,Non-elitist,1.262781185,70.2091284633,9.9556460627,0.0393284198,1.2459634059,1.262781185,1.6791666524
16.0,7.0,0.0,Non-elitist,0.0185202288,19.9787178832,8.3832944777,1.0266390055,3.2222097003,0.0185202288,0.0524195361
17.0,6.0,0.0,Non-elitist,0.211423812,5.0605251572,0.8287736745,0.0022901715,3.9123355529,0.211423812,0.0133339733
17.0,7.0,0.0,Non-elitist,0.0509940545,9.881502097,0.7948037423,0.343213156,1.3673367347,0.0509940545,0.4477783759
18.0,6.0,0.0,Non-elitist,0.0009571759,26.882080748,5.2834272849,1.4170649515,6.1595456469,0.0009571759,0.2605349964
18.0,7.0,0.0,Non-elitist,0.0508991233,48.2701043772,5.4589271578,5.2575114511,6.1046846585,0.0508991233,0.2901533617
19.0,6.0,0.0,Non-elitist,0.5912876482,1.4333882872,2.3961101516,1.4051636967,3.5544450918,0.5912876482,0.8395367914
19.0,7.0,0.0,Non-elitist,1.3841786854,3.1180674937,2.6960698737,2.0128928383,6.0881285785,1.3841786854,1.7994388796
20.0,6.0,0.0,PSO,0.9086533322,2.295169185,1.626077856,1.5002461048,1.7459000851,1.8162926256,0.9086533322
20.0,7.0,0.0,PSO,1.4411569054,3.1192018586,1.4013522199,1.737306531,1.7367586849,1.5004298621,1.4411569054
21.0,6.0,0.0,DE,1.2477433955,3.1698055873,1.2477433955,0.6918569118,2.1618027804,1.9377404964,1.9414643348
21.0,7.0,0.0,Non-elitist,2.4729738585,1.18e-08,1.5505549864,1.9377404959,2.4730686703,2.4729738585,0.6937415399
22.0,6.0,0.0,DE,2.1786044703,5.0627374564,2.1786044703,5.0627374564,8.1423449797,5.0627374564,7.2717091289
22.0,7.0,0.0,DE,6.6676467145,8.7427505321,6.6676467145,11.1256191371,8.7572679584,23.59722717,1.70199e-05
23.0,6.0,0.0,Non-elitist,1.7805409831,23.9841848492,0.9284351916,1.5080663814,1.7161861315,1.7805409831,1.4988348525
23.0,7.0,0.0,Non-elitist,2.2311504063,22.2550685941,2.3104841112,3.8854823342,0.9877537099,2.2311504063,2.9890277468
24.0,6.0,0.0,Non-elitist,5.83046899,37.584897717,15.7613388995,29.938702226,34.1622125504,5.83046899,12.717410589
24.0,7.0,0.0,Non-elitist,15.7014203476,27.6797086794,29.9996494622,27.5288240978,33.2849409524,15.7014203476,19.8617539639
