fid,iid,rep,predicted_algo,precision,BFGS,DE,Elitist,MLSL,Non-elitist,PSO
1.0,6.0,0.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,4.05928e-05
1.0,6.0,1.0,BFGS,0.0,0.0,0.26233739,0.0,0.0,0.0,3.88365e-05
1.0,6.0,2.0,MLSL,0.0,0.0,0.0,0.0,0.0,3e-10,0.0002625986
1.0,6.0,3.0,MLSL,0.0,0.0,0.0,0.0,0.0,1e-10,0.0002205632
1.0,6.0,4.0,MLSL,0.0,0.0,0.2605195397,0.0,0.0,2e-10,0.0002092386
1.0,6.0,5.0,MLSL,0.0,0.0,0.0,0.0,0.0,4e-10,0.0001315287
1.0,6.0,6.0,MLSL,0.0,0.0,0.0,0.0,0.0,3e-10,0.0003945308
1.0,6.0,7.0,MLSL,0.0,0.0,0.0,0.0,0.0,1e-10,0.0001379759
1.0,6.0,8.0,MLSL,0.0,0.0,0.2983172896,0.0,0.0,0.0,5.02888e-05
1.0,6.0,9.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,7.73545e-05
1.0,6.0,10.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0001017857
1.0,6.0,11.0,Elitist,0.0,0.0,0.0,0.0,0.0,3.6e-09,6.72142e-05
1.0,6.0,12.0,MLSL,0.0,0.0,0.0,0.0,0.0,3e-10,0.0001746021
1.0,6.0,13.0,MLSL,0.0,0.0,0.0,0.0,0.0,1e-10,4.9367e-06
1.0,6.0,14.0,BFGS,0.0,0.0,0.0,0.0,0.0,5e-10,0.0001434574
1.0,6.0,15.0,MLSL,0.0,0.0,0.0,0.0,0.0,1.35e-08,3.06577e-05
1.0,6.0,16.0,MLSL,0.0,0.0,0.0,0.0,0.0,1e-10,7.86849e-05
1.0,6.0,17.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,5.41152e-05
1.0,6.0,18.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,6.23952e-05
1.0,6.0,19.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,8.8407e-05
1.0,7.0,0.0,MLSL,0.0,0.0,0.0,0.0,0.0,2e-10,9.95615e-05
1.0,7.0,1.0,MLSL,0.0,0.0,0.0,0.0,0.0,2e-10,3.08971e-05
1.0,7.0,2.0,Elitist,0.0,0.0,0.0,0.0,0.0,3e-10,0.0001084197
1.0,7.0,3.0,MLSL,0.0,0.0,0.0,0.0,0.0,1e-10,3.93586e-05
1.0,7.0,4.0,BFGS,0.0,0.0,0.0,0.0,0.0,4e-10,7.66494e-05
1.0,7.0,5.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,9.97433e-05
1.0,7.0,6.0,BFGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0002011466
1.0,7.0,7.0,MLSL,0.0,0.0,0.0,0.0,0.0,1e-10,2.06956e-05
1.0,7.0,8.0,MLSL,0.0,0.0,0.0,0.0,0.0,5e-10,3.55311e-05
1.0,7.0,9.0,MLSL,0.0,0.0,1e-10,0.0,0.0,0.0,0.0002028844
1.0,7.0,10.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,2.71946e-05
1.0,7.0,11.0,MLSL,0.0,0.0,0.0,0.0,0.0,2e-10,0.0003125833
1.0,7.0,12.0,MLSL,0.0,0.0,0.0,0.0,0.0,5.7e-09,6.1399e-05
1.0,7.0,13.0,MLSL,0.0,0.0,0.0,0.0,0.0,1e-10,7.73638e-05
1.0,7.0,14.0,BFGS,0.0,0.0,0.0,0.0,0.0,7e-10,5.19313e-05
1.0,7.0,15.0,BFGS,0.0,0.0,0.0,0.0,0.0,3e-10,0.0002883534
1.0,7.0,16.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,5.55522e-05
1.0,7.0,17.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,3.33336e-05
1.0,7.0,18.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0003520331
1.0,7.0,19.0,MLSL,0.0,0.0,1e-10,0.0,0.0,2.9e-09,0.0001565133
2.0,6.0,0.0,BFGS,1e-10,1e-10,388.8471233986,310.2804963776,3.17787e-05,8.848941598,153.5046313148
2.0,6.0,1.0,BFGS,0.0,0.0,45.0790826392,831.6524602853,3.26484e-05,2.0395003322,33.1267233937
2.0,6.0,2.0,BFGS,0.0,0.0,97.4734679527,13.6197323904,2.46694e-05,24.8417607305,198.2034957253
2.0,6.0,3.0,BFGS,0.0,0.0,407.491659918,42.9178549294,2.46776e-05,9.1951884885,4.5622900385
2.0,6.0,4.0,BFGS,0.0,0.0,482.8928252942,24.1408262515,2.46726e-05,6.4815290147,39.8240334261
2.0,6.0,5.0,BFGS,0.0,0.0,476.8683645315,1029.0031637422,3.26699e-05,5.5448217796,68.9470176837
2.0,6.0,6.0,BFGS,0.0,0.0,437.6219599788,344.3594548708,2.46599e-05,48.0982822471,11.8336646019
2.0,6.0,7.0,BFGS,0.0,0.0,339.9654999361,147.247524549,2.46629e-05,6.7311428466,49.3350628371
2.0,6.0,8.0,BFGS,0.0,0.0,504.0776569472,13.3502688156,2.46721e-05,18.4195589092,141.3640937345
2.0,6.0,9.0,BFGS,2e-10,2e-10,192.5075178997,74.3705774843,2.46495e-05,9.5706387088,98.5639044433
2.0,6.0,10.0,BFGS,1e-10,1e-10,255.8642022275,108.8563600283,3.26605e-05,3.1423660739,40.98933869
2.0,6.0,11.0,BFGS,1e-10,1e-10,1007.0287845476,117.69533796,2.46589e-05,28.2811066125,29.4302501753
2.0,6.0,12.0,BFGS,0.0,0.0,1179.8376800952,11.5398341474,3.26622e-05,14.6647121045,24.5443540718
2.0,6.0,13.0,BFGS,1e-10,1e-10,1753.7405263676,829.7295295431,3.26608e-05,11.6732250834,168.6522146394
2.0,6.0,14.0,BFGS,0.0,0.0,1699.7943549189,250.837832118,3.26389e-05,197.6928945749,256.7359960728
2.0,6.0,15.0,BFGS,0.0,0.0,277.1957952069,281.1884434481,3.26596e-05,15.6020501594,3.6281119804
2.0,6.0,16.0,BFGS,0.0,0.0,421.8213807817,35.3951005524,3.26535e-05,1.9887422842,128.6568915415
2.0,6.0,17.0,BFGS,0.0,0.0,325.8757951266,5.5592516286,3.26612e-05,0.7338574462,424.3448524615
2.0,6.0,18.0,BFGS,1e-10,1e-10,219.1519749026,187.5986236037,3.26619e-05,7.9219772729,244.6649454687
2.0,6.0,19.0,BFGS,0.0,0.0,59.720601597,233.3852671592,2.46538e-05,5.0768783301,15.2979664955
2.0,7.0,0.0,BFGS,1e-10,1e-10,158.2971424138,111.1576575243,5.3782e-06,25.4258851761,78.2148875984
2.0,7.0,1.0,BFGS,0.0,0.0,988.7406390919,18.7395286011,5.3782e-06,27.8998835676,12.5405510431
2.0,7.0,2.0,BFGS,0.0,0.0,986.7660688789,133.7952869701,3.8731e-06,11.7098859086,20.9695445381
2.0,7.0,3.0,BFGS,0.0,0.0,683.4931162851,900.8310902563,5.3782e-06,2.0978582516,66.940484295
2.0,7.0,4.0,BFGS,0.0,0.0,151.8518733661,417.5095969091,5.3782e-06,5.9596632381,66.8654239564
2.0,7.0,5.0,BFGS,0.0,0.0,513.5333810116,699.6151209852,5.3782e-06,67.7968434778,8.9600160805
2.0,7.0,6.0,BFGS,0.0,0.0,194.2600679474,349.3660445553,5.3782e-06,24.1485061318,45.4974900421
2.0,7.0,7.0,BFGS,1e-10,1e-10,1063.1153927656,22.1439706421,5.3782e-06,37.2866168938,236.3676411895
2.0,7.0,8.0,BFGS,0.0,0.0,308.7709519745,639.9636537071,5.3782e-06,17.7022410812,226.4812496601
2.0,7.0,9.0,BFGS,0.0,0.0,994.4268093197,256.1892009713,5.3782e-06,10.0791550721,61.9818729813
2.0,7.0,10.0,BFGS,1e-10,1e-10,591.8349226599,340.5665805447,5.3782e-06,3.098822998,158.6756796773
2.0,7.0,11.0,BFGS,1e-10,1e-10,538.4966405724,383.7101650063,5.3782e-06,14.3879899661,83.8321803863
2.0,7.0,12.0,BFGS,1e-10,1e-10,231.1140391259,366.0682417254,2.5847e-06,1.4778983412,28.4486553869
2.0,7.0,13.0,BFGS,0.0,0.0,734.9899234426,854.7925792382,5.3782e-06,0.5822207456,301.1126674887
2.0,7.0,14.0,BFGS,1e-10,1e-10,271.3730093009,51.1973374304,5.3782e-06,13.6462714458,263.873561149
2.0,7.0,15.0,BFGS,0.0,0.0,329.3334393959,34.108543371,5.3782e-06,2.1651216004,60.2932703768
2.0,7.0,16.0,BFGS,1e-10,1e-10,1166.3253753228,154.4775253537,5.3782e-06,67.8533557246,25.6270932542
2.0,7.0,17.0,BFGS,1e-10,1e-10,456.5447525825,179.867252063,5.3782e-06,5.413599253,176.7806396291
2.0,7.0,18.0,BFGS,0.0,0.0,843.6520557011,19.2922127809,2.5536e-06,3.218328338,34.4219672306
2.0,7.0,19.0,BFGS,0.0,0.0,2644.1479045346,53.1211282581,5.3782e-06,2.014250723,1.5541599982
3.0,6.0,0.0,BFGS,81.5848783162,81.5848783162,27.5992269208,2.9848771815,4.2562531802,4.9747972446,10.1690915123
3.0,6.0,1.0,BFGS,245.8640226492,245.8640226492,23.1151005452,9.9495806201,4.2562531802,4.9747956411,8.0432534079
3.0,6.0,2.0,BFGS,130.2357246943,130.2357246943,14.7142042424,13.4294296907,4.5813773623,3.9798814404,6.3701725422
3.0,6.0,3.0,PSO,10.0703670432,549.8168531624,24.435746359,39.3975088941,4.2562531802,2.9852208112,10.0703670432
3.0,6.0,4.0,Elitist,12.5559657305,864.7815098707,34.0159885737,12.5559657305,4.2562531802,10.944784526,7.4972357881
3.0,6.0,5.0,Elitist,18.9042006603,1259.4894835629,27.734589342,18.9042006603,6.7776721729,5.9701280905,6.5707047605
3.0,6.0,6.0,BFGS,201.9704002137,201.9704002137,27.254998872,6.9647120919,4.2562531802,11.9394791861,9.4099445363
3.0,6.0,7.0,BFGS,1438.0846442271,1438.0846442271,24.7838172462,5.9697493049,4.2562531802,1.989919404,6.073235139
3.0,6.0,8.0,BFGS,825.7258183353,825.7258183353,39.2883157945,25.8473513526,6.7776691951,12.935252825,6.1021832165
3.0,6.0,9.0,BFGS,125.3616960273,125.3616960273,9.7478890256,5.9697493086,4.2562531802,3.97983665,4.3510780332
3.0,6.0,10.0,Non-elitist,2.9883534534,607.7767998789,19.6135512434,4.9747902493,4.2562531802,2.9883534534,8.0142492223
3.0,6.0,11.0,PSO,18.3397813308,122.3766393473,13.8007025377,18.9041826449,4.2562531802,23.8791927998,18.3397813308
3.0,6.0,12.0,Non-elitist,13.9302910537,512.3537146549,23.9968387333,7.95966439,5.673527714,13.9302910537,3.1949798639
3.0,6.0,13.0,Non-elitist,6.9647121006,1089.8475399132,31.5141825386,10.9445410436,4.2562531802,6.9647121006,5.6118806534
3.0,6.0,14.0,BFGS,389.9827175981,389.9827175981,23.524541624,4.974790257,4.2562531802,2.9852201196,6.2254983283
3.0,6.0,15.0,BFGS,113.423223605,113.423223605,21.0541731949,23.6475547245,4.2562531802,0.9950167564,11.4367839018
3.0,6.0,16.0,PSO,8.9261566228,65.666505115,14.3678212828,45.5848946276,4.2562531802,3.9818897416,8.9261566228
3.0,6.0,17.0,BFGS,171.1236717791,171.1236717791,15.183735122,33.0653020319,6.7776720913,6.9647085543,7.7592962405
3.0,6.0,18.0,BFGS,324.337566409,324.337566409,18.98596015,18.9041209677,4.2562531802,7.959695042,7.4173702751
3.0,6.0,19.0,BFGS,68.6504458841,68.6504458841,14.1190701984,3.9798362874,4.2562531802,1.9899191983,4.1307025599
3.0,7.0,0.0,Non-elitist,5.969751891,82.5803371542,19.2354599353,3.9798316088,10.9445396769,5.969751891,5.1579957911
3.0,7.0,1.0,BFGS,393.4215568396,393.4215568396,25.566414527,16.9142028551,10.9445396769,6.9647104432,2.3253805873
3.0,7.0,2.0,BFGS,17.9092226797,17.9092226797,16.9281771309,4.974790773,10.9445396769,14.9439069782,8.9568042865
3.0,7.0,3.0,Non-elitist,2.984877695,177.0975421201,10.9639178985,20.5836680968,10.9445396769,2.984877695,4.544698954
3.0,7.0,4.0,BFGS,263.6529378292,263.6529378292,24.8949281992,5.969749319,10.9445396769,4.9747982695,1.2749475825
3.0,7.0,5.0,Non-elitist,6.9647650458,431.7692081356,14.9524481252,9.9495884701,10.9445396769,6.9647650458,8.1640345481
3.0,7.0,6.0,Non-elitist,9.9495805143,389.0008885553,22.1840899858,5.9697493207,10.9445396769,9.9495805143,10.9570275655
3.0,7.0,7.0,Non-elitist,3.9798316935,165.1585877863,28.6393880832,28.4422232331,10.9445396769,3.9798316935,7.1282059235
3.0,7.0,8.0,Elitist,20.8940340576,363.1378307754,17.1795132964,20.8940340576,10.9445396769,5.9697493879,3.043889852
3.0,7.0,9.0,Non-elitist,5.9697494516,305.6453748984,26.3697760259,2.9848776211,10.7581395639,5.9697494516,11.4583140614
3.0,7.0,10.0,Non-elitist,9.9496624961,107.4527018342,26.3886521716,10.9445605183,10.9445396769,9.9496624961,1.1695494038
3.0,7.0,11.0,BFGS,86.5596483671,86.5596483671,20.3376211838,0.9949590577,10.9445396769,2.9872715978,7.1197154898
3.0,7.0,12.0,BFGS,268.6159885381,268.6159885381,26.3200002812,8.9546214452,10.9445396769,1.9916793851,3.0937951684
3.0,7.0,13.0,BFGS,141.2796722867,141.2796722867,27.3169551982,10.9462587057,10.9445396769,6.9647087279,2.0744562074
3.0,7.0,14.0,Non-elitist,0.9949936335,262.0413715574,15.6305699422,8.954682095,10.9445396769,0.9949936335,2.2387960159
3.0,7.0,15.0,Non-elitist,4.9748472502,145.2610950599,29.6433679055,3.9798362288,10.9445396769,4.9748472502,2.1193438493
3.0,7.0,16.0,BFGS,169.1376512247,169.1376512247,15.022334794,5.969749326,10.9445396769,7.9597027033,6.347859102
3.0,7.0,17.0,Non-elitist,1.990167322,224.8533204305,14.9972902812,4.9747902791,10.9445396769,1.990167322,9.0511912329
3.0,7.0,18.0,Elitist,5.9697493299,317.3775365819,20.5306633381,5.9697493299,10.9445396769,18.5529378768,5.1405443199
3.0,7.0,19.0,PSO,8.6691838769,217.8903915616,19.9126553282,4.9747902552,10.9445396769,2.9868801352,8.6691838769
4.0,6.0,0.0,BFGS,114.4182491855,114.4182491855,12.0375124816,11.9402336941,24.873874894,30.8436400944,7.774418213
4.0,6.0,1.0,BFGS,177.093416046,177.093416046,30.6103803011,27.3217109964,24.873874894,14.9243990276,25.2160473523
4.0,6.0,2.0,Non-elitist,17.9092244398,66.6612154611,19.4627839695,39.9231236234,24.873874894,17.9092244398,6.6791264136
4.0,6.0,3.0,Non-elitist,7.9596755528,173.119800619,14.9876705394,30.8436278815,24.873874894,7.9596755528,9.5638174487
